hg
Chip Chan	RMS
0 0	763.90	659
1 0	490.39	432
2 2	310.71	311
0 28	272.05	271
3 60	216.16	251
2 0	166.13	245
2 4	127.03	247
0 4	90.61	215
0 2	85.48	229
0 6	71.77	226
0 16	69.05	230
0 14	64.78	227
0 8	63.98	229
0 18	63.23	220
0 22	60.99	228
0 56	60.73	220
0 40	60.49	222
0 46	59.61	228
0 52	58.71	235
0 24	58.55	236
0 62	58.42	224
0 42	57.22	233
0 34	56.75	218
0 54	56.44	223
0 26	56.22	235
0 50	56.18	228
0 30	56.15	225
0 36	55.51	228
0 44	55.09	232
0 32	54.73	235
0 58	53.67	233
0 38	53.09	219
0 10	49.68	218
3 62	43.34	238
3 58	42.84	232
3 32	42.65	233
0 12	42.57	234
0 48	41.41	222
2 56	40.53	245
3 54	40.46	241
2 58	40.09	247
2 62	39.87	251
2 20	39.56	259
3 42	39.50	229
3 52	39.44	238
2 42	39.05	241
3 44	39.01	237
3 2	38.98	231
2 46	38.97	254
3 0	38.93	235
3 48	38.66	234
2 6	38.65	244
3 40	38.47	238
2 52	38.45	242
2 48	38.13	259
2 18	37.86	251
3 6	37.86	240
3 12	37.78	237
3 34	37.76	236
3 38	37.68	236
3 36	37.67	234
2 40	37.63	252
3 30	37.55	235
2 50	37.44	247
3 4	37.36	237
3 16	37.27	236
3 22	36.99	238
3 8	36.85	232
3 14	36.65	227
2 54	36.64	245
2 10	36.54	262
2 28	36.36	247
3 28	36.23	242
3 20	36.23	244
2 38	36.15	248
2 8	36.13	247
3 18	35.99	247
3 24	35.91	236
2 30	35.84	246
2 14	35.83	245
0 60	35.47	223
2 24	35.26	237
2 12	35.17	258
2 32	34.98	254
2 36	34.78	247
2 44	34.62	253
0 20	33.18	227
3 26	32.28	226
2 60	29.29	242
1 58	29.07	243
1 2	29.01	237
1 56	28.54	241
1 30	28.37	241
1 4	28.12	248
1 24	28.00	235
1 48	27.85	249
1 50	27.40	235
1 46	27.38	245
1 60	27.37	241
1 52	27.35	238
1 32	27.34	242
1 36	27.27	246
1 40	27.14	235
1 38	27.06	229
1 34	26.74	227
1 26	26.65	247
3 56	26.37	227
1 22	26.34	236
1 14	26.28	240
1 8	26.20	229
1 10	26.19	243
1 28	26.15	236
3 10	25.91	236
2 22	25.90	247
1 20	25.78	237
1 18	25.65	237
1 6	25.65	242
3 50	25.30	234
1 44	24.62	234
2 26	24.12	241
2 16	22.03	249
3 46	21.82	236
2 34	20.59	240
1 62	16.14	237
1 54	16.13	225
1 16	14.94	247
1 42	12.85	235
1 12	11.78	239
0 1	5.10	235
2 15	5.03	244
2 1	4.88	248
2 13	4.88	253
2 7	4.84	253
2 11	4.83	247
2 43	4.83	254
2 41	4.82	255
2 63	4.81	242
2 3	4.79	255
2 59	4.79	251
0 3	4.79	241
2 25	4.77	254
2 57	4.77	246
0 5	4.77	237
2 19	4.76	246
2 21	4.76	249
2 55	4.73	245
2 35	4.70	248
2 39	4.70	243
2 37	4.70	252
2 9	4.69	233
2 17	4.69	247
2 61	4.69	247
2 47	4.68	239
2 5	4.67	243
2 23	4.65	253
0 7	4.65	221
2 29	4.64	251
2 53	4.63	238
2 49	4.60	245
2 33	4.60	238
2 31	4.60	248
2 27	4.54	244
0 9	4.54	231
2 45	4.53	266
2 51	4.53	247
0 13	4.37	233
0 11	4.36	229
0 23	4.35	237
0 21	4.29	230
0 63	4.25	235
0 17	4.22	231
0 31	4.19	237
3 59	4.19	240
0 27	4.16	230
0 19	4.14	233
0 51	4.14	230
0 43	4.13	228
0 25	4.12	225
0 33	4.10	233
0 39	4.09	226
3 61	4.08	231
3 9	4.08	232
0 57	4.07	228
3 57	4.07	236
3 5	4.05	238
0 45	4.05	230
0 41	4.04	225
0 29	4.04	226
3 33	4.03	240
0 53	4.02	235
3 37	4.01	240
0 37	3.99	222
0 59	3.99	218
0 55	3.98	219
3 1	3.98	230
3 49	3.98	241
3 45	3.97	241
3 53	3.97	230
3 39	3.96	233
0 61	3.95	229
3 55	3.95	225
3 51	3.95	234
3 41	3.94	247
3 47	3.94	231
3 13	3.94	226
3 63	3.94	240
3 43	3.93	234
0 35	3.93	233
3 35	3.93	236
3 15	3.91	243
3 27	3.90	229
3 19	3.89	227
1 53	3.89	240
3 17	3.89	230
0 47	3.88	222
3 3	3.88	239
0 15	3.88	234
0 49	3.87	223
3 7	3.86	241
3 25	3.83	238
3 31	3.82	232
3 23	3.81	235
3 21	3.81	232
3 11	3.79	229
1 59	3.76	247
1 55	3.75	232
3 29	3.75	230
1 57	3.71	235
1 49	3.71	243
1 61	3.71	238
1 47	3.69	241
1 43	3.68	240
1 33	3.67	240
1 63	3.67	230
1 45	3.66	243
1 41	3.63	234
1 29	3.63	249
1 39	3.62	230
1 51	3.62	237
1 37	3.62	243
1 23	3.61	241
1 21	3.57	235
1 31	3.55	239
1 9	3.52	245
1 35	3.52	232
1 27	3.51	232
1 11	3.50	236
1 5	3.50	238
1 7	3.50	232
1 3	3.49	241
1 13	3.49	241
1 25	3.48	244
1 17	3.48	241
1 15	3.46	240
1 19	3.42	238
1 1	3.40	232
