hg
Chip Chan	RMS
0 0	774.24	689
1 0	493.98	458
2 2	314.55	331
0 28	269.41	284
3 60	220.63	265
2 0	171.45	254
2 4	130.89	255
0 4	81.91	220
0 2	77.13	235
0 6	65.35	231
0 16	62.37	235
0 8	59.15	233
0 14	59.10	231
0 18	58.23	224
0 22	55.32	231
0 40	54.81	226
0 46	54.66	232
0 56	54.22	225
0 52	53.90	239
0 62	53.20	227
0 24	52.15	240
0 42	51.81	237
0 34	51.54	222
0 54	51.09	228
0 50	50.71	231
0 30	50.65	229
0 36	50.42	232
0 26	50.42	239
0 44	49.73	236
0 32	49.15	239
0 38	47.68	223
0 10	47.31	221
0 58	46.85	236
0 48	39.38	225
3 32	36.42	236
3 62	35.98	241
0 12	35.18	236
3 58	35.16	235
2 56	34.71	248
0 60	33.93	226
2 58	33.46	250
2 62	33.04	253
2 42	32.91	243
2 20	32.73	261
3 54	32.33	245
2 6	32.17	246
2 46	32.15	256
0 20	32.01	230
3 0	31.76	238
2 52	31.42	243
3 42	31.37	233
3 52	30.94	241
3 44	30.91	240
3 2	30.57	233
2 18	30.34	253
2 48	30.22	262
2 50	30.00	249
3 48	29.84	237
3 6	29.69	243
3 34	29.54	239
3 30	29.49	238
2 40	29.44	254
3 4	29.16	239
3 40	29.13	241
3 38	29.09	239
2 54	28.93	247
2 10	28.69	264
3 36	28.66	237
2 28	28.57	249
3 16	28.55	239
2 30	28.10	248
2 38	28.09	250
2 8	28.01	249
2 14	27.87	247
3 22	27.61	241
3 14	27.60	230
3 8	27.46	234
3 18	27.32	250
3 28	27.31	245
2 24	27.26	239
2 32	27.13	256
2 60	27.01	243
3 20	26.65	246
3 12	26.45	239
3 24	26.44	238
2 36	26.32	249
2 44	25.96	254
2 12	24.66	260
3 26	24.32	229
2 22	22.55	249
3 56	22.39	230
3 10	21.94	238
2 26	20.85	242
3 50	20.84	237
2 16	19.60	250
3 46	18.99	238
2 34	18.05	242
1 58	17.75	247
1 2	17.17	240
1 30	17.06	245
1 56	16.65	245
1 4	16.44	251
1 24	15.25	238
1 48	15.15	251
1 50	15.01	237
1 46	14.89	248
1 40	14.20	238
1 60	14.15	244
1 32	13.88	245
1 38	13.85	231
1 52	13.80	240
1 36	13.70	250
1 34	13.55	230
1 44	13.23	237
1 42	12.84	238
1 26	12.45	250
1 10	12.31	246
1 28	12.25	239
1 22	12.15	239
1 6	11.99	245
1 20	11.90	240
1 18	11.79	239
1 14	11.22	243
1 8	11.20	232
1 62	10.34	240
1 54	10.17	228
1 16	8.69	249
1 12	7.59	241
0 3	5.30	241
0 1	5.25	236
0 13	5.06	233
0 5	5.00	237
0 9	4.93	231
2 3	4.89	255
0 7	4.89	221
2 13	4.86	254
0 11	4.82	229
2 51	4.80	246
2 49	4.77	245
2 39	4.75	243
2 5	4.75	243
2 17	4.75	247
0 17	4.75	232
0 33	4.71	233
2 21	4.71	249
2 1	4.71	248
2 45	4.71	266
2 19	4.70	246
2 43	4.70	254
2 7	4.68	253
0 15	4.68	235
2 61	4.68	247
2 31	4.68	248
2 9	4.67	233
2 37	4.66	252
2 35	4.66	248
2 59	4.66	251
2 55	4.62	245
2 23	4.62	253
2 25	4.61	254
0 19	4.61	233
2 15	4.60	244
0 23	4.58	238
0 27	4.57	230
2 29	4.56	251
0 53	4.56	235
2 33	4.56	238
2 53	4.55	237
2 11	4.54	247
2 41	4.54	255
2 57	4.54	246
2 27	4.54	244
2 63	4.52	243
2 47	4.48	239
0 63	4.48	235
0 25	4.48	225
0 21	4.44	230
0 55	4.43	220
0 61	4.38	230
0 59	4.37	218
0 37	4.35	222
0 41	4.31	225
0 29	4.31	227
0 47	4.31	222
0 57	4.30	228
0 45	4.28	230
0 31	4.27	237
0 39	4.26	227
0 43	4.24	228
0 49	4.24	224
0 35	4.11	233
1 59	4.10	246
0 51	4.10	230
3 63	3.94	240
1 47	3.92	241
1 51	3.89	237
3 33	3.89	240
1 63	3.88	230
3 57	3.86	236
1 9	3.86	245
1 49	3.85	243
1 55	3.84	232
1 57	3.84	235
3 47	3.81	231
3 11	3.81	229
3 3	3.79	240
1 43	3.79	240
3 55	3.77	225
1 35	3.76	232
1 41	3.76	234
1 53	3.75	240
1 45	3.74	243
3 59	3.74	240
3 35	3.74	236
1 13	3.74	241
3 17	3.72	230
3 61	3.71	231
1 25	3.70	244
3 19	3.69	228
1 29	3.68	249
1 3	3.68	241
1 27	3.68	232
3 41	3.67	247
3 21	3.67	232
3 31	3.67	232
1 23	3.67	241
3 43	3.67	234
3 53	3.66	229
3 23	3.66	235
1 5	3.66	238
3 1	3.66	230
1 31	3.66	239
3 37	3.65	240
3 51	3.64	233
1 17	3.64	241
1 37	3.63	243
1 33	3.63	240
3 25	3.63	238
1 7	3.62	232
1 11	3.62	236
1 15	3.62	240
3 5	3.62	238
3 7	3.62	241
1 19	3.61	238
3 45	3.60	241
3 29	3.59	230
1 39	3.59	230
3 49	3.59	241
3 39	3.57	233
1 21	3.57	234
1 61	3.53	238
3 13	3.52	226
3 9	3.51	232
3 15	3.48	243
1 1	3.45	232
3 27	3.41	229
