hg
Chip Chan	RMS
0 0	37.30	219
0 40	36.08	224
0 38	36.08	222
0 46	35.93	231
0 54	35.73	226
2 52	35.73	243
2 42	35.71	242
0 44	35.68	235
0 56	35.52	223
2 18	35.48	251
0 42	35.45	236
2 8	35.38	248
0 52	35.38	238
2 56	35.31	246
2 40	35.22	253
2 0	35.22	244
0 28	35.19	225
2 6	35.18	245
2 62	35.18	252
1 36	35.11	248
2 28	35.06	248
0 36	35.06	230
2 38	35.03	249
2 54	35.03	246
0 32	35.02	238
0 34	35.00	221
2 2	34.93	252
0 24	34.93	238
0 14	34.92	229
0 50	34.91	231
0 62	34.90	226
2 50	34.90	248
0 58	34.89	234
2 10	34.88	262
0 16	34.80	233
1 40	34.74	236
0 22	34.73	231
2 30	34.73	247
0 26	34.72	238
2 44	34.70	254
1 18	34.66	239
0 30	34.65	229
2 48	34.63	260
0 18	34.61	223
1 38	34.54	231
2 46	34.53	255
2 12	34.53	260
1 22	34.47	237
1 2	34.45	238
0 4	34.45	218
2 24	34.41	237
1 14	34.34	243
2 14	34.31	246
1 30	34.30	243
1 46	34.29	247
1 26	34.25	249
1 32	34.23	244
1 8	34.20	231
1 60	34.15	243
2 20	34.10	262
1 34	34.07	229
1 0	34.06	234
0 6	33.99	229
1 24	33.95	236
2 58	33.92	248
1 48	33.91	251
2 36	33.88	248
2 4	33.88	246
1 28	33.80	239
1 20	33.77	239
1 4	33.69	251
0 8	33.67	233
3 36	33.65	235
1 58	33.63	245
1 10	33.54	245
3 44	33.53	238
0 2	33.49	233
3 38	33.49	237
2 32	33.48	256
1 50	33.46	237
3 12	33.46	238
3 16	33.44	237
3 60	33.41	234
1 52	33.35	240
3 14	33.25	229
3 58	33.24	233
3 8	33.18	233
3 28	33.14	243
3 62	33.13	239
3 48	33.07	237
1 6	33.06	244
3 30	33.05	236
1 56	33.05	243
3 32	33.05	234
3 52	32.98	240
3 20	32.95	245
3 22	32.90	239
3 0	32.86	237
3 42	32.77	230
3 40	32.77	239
3 18	32.73	248
3 34	32.71	237
3 2	32.71	231
3 6	32.68	242
3 54	32.47	242
3 4	32.38	237
3 24	31.88	236
1 44	31.83	236
3 26	30.55	227
2 60	23.77	244
2 22	23.36	249
2 26	23.07	243
0 12	22.95	237
0 48	22.94	225
1 16	22.75	249
1 54	22.65	227
0 10	22.42	220
1 62	22.28	240
3 50	21.64	237
3 56	21.61	229
3 10	21.40	238
2 34	19.89	243
2 16	19.26	251
3 46	19.00	238
0 60	18.94	226
0 20	18.92	229
1 12	18.62	242
1 42	12.61	237
2 41	3.02	255
2 7	3.01	254
2 21	2.96	249
2 51	2.96	247
2 3	2.93	256
2 57	2.93	247
2 13	2.93	254
2 25	2.91	255
2 37	2.91	253
2 23	2.89	254
2 17	2.88	247
2 15	2.88	244
2 29	2.87	251
2 49	2.86	245
2 1	2.86	249
2 61	2.83	247
2 43	2.83	254
2 55	2.79	245
2 31	2.78	249
2 59	2.78	251
2 19	2.78	247
2 35	2.76	248
2 45	2.76	266
2 27	2.76	245
2 5	2.75	243
2 11	2.71	248
3 15	2.70	243
2 33	2.69	239
2 9	2.68	233
2 53	2.68	238
2 47	2.68	240
1 59	2.66	247
2 63	2.65	243
2 39	2.60	243
0 15	2.60	235
1 21	2.60	235
1 47	2.58	242
1 9	2.58	246
1 3	2.57	242
3 63	2.56	240
1 49	2.56	243
1 19	2.55	238
0 3	2.55	241
1 43	2.55	241
1 55	2.55	232
1 29	2.55	250
1 5	2.53	238
3 7	2.53	241
3 57	2.52	237
3 41	2.52	248
3 25	2.51	238
3 23	2.51	235
3 5	2.50	238
3 61	2.50	231
1 25	2.50	245
1 53	2.50	240
3 59	2.50	240
1 23	2.49	241
3 49	2.49	241
0 13	2.49	233
1 27	2.48	233
1 15	2.48	240
1 51	2.47	237
3 3	2.47	240
0 63	2.47	235
1 57	2.47	235
1 13	2.46	242
3 17	2.45	230
3 33	2.45	240
1 1	2.45	233
0 23	2.45	237
1 45	2.44	243
0 57	2.44	228
1 17	2.44	242
0 7	2.44	221
1 33	2.44	240
0 5	2.44	237
3 37	2.43	240
0 51	2.42	230
3 9	2.42	232
0 59	2.42	217
0 31	2.42	237
1 61	2.41	238
0 55	2.41	219
1 11	2.41	236
0 35	2.41	233
3 29	2.40	230
1 35	2.40	232
3 39	2.40	234
1 41	2.40	234
0 11	2.39	229
1 39	2.38	230
1 31	2.38	239
0 1	2.38	236
0 53	2.38	235
3 45	2.38	241
3 35	2.38	236
3 27	2.38	229
0 47	2.37	221
1 37	2.37	243
3 19	2.37	227
1 63	2.37	230
0 19	2.37	233
0 21	2.37	229
0 9	2.36	231
0 43	2.36	228
3 51	2.36	233
1 7	2.36	232
3 43	2.36	234
3 13	2.35	225
3 21	2.35	232
0 27	2.34	230
3 53	2.34	230
0 45	2.33	230
0 33	2.33	233
0 17	2.32	231
3 11	2.31	229
0 29	2.31	226
0 39	2.30	226
0 61	2.29	230
0 41	2.29	225
3 31	2.29	232
0 25	2.28	225
3 47	2.28	231
3 1	2.26	230
0 49	2.24	223
0 37	2.24	221
3 55	2.21	225
