hg
Chip Chan	RMS
0 22	27.30	238
0 0	19.35	229
3 18	17.84	253
0 28	13.48	237
0 4	13.07	237
1 4	12.49	247
1 0	12.16	254
1 20	12.03	251
1 2	11.99	249
1 22	11.94	253
1 28	11.90	261
1 34	11.88	253
1 56	11.76	259
1 40	11.74	251
1 32	11.73	255
1 14	11.70	261
1 38	11.68	262
1 30	11.67	257
1 8	11.66	250
1 46	11.65	254
1 24	11.61	257
3 32	11.58	241
1 26	11.55	249
1 58	11.51	247
1 36	11.45	254
1 6	11.45	256
0 58	11.42	239
1 18	11.42	252
1 48	11.32	255
1 50	11.30	251
1 52	11.28	253
3 22	11.22	252
1 10	11.21	256
3 44	11.15	241
3 40	11.13	253
0 40	11.12	246
1 60	11.09	249
3 36	11.08	251
0 38	11.03	246
0 26	10.98	252
0 42	10.98	248
3 12	10.96	250
0 50	10.95	240
0 54	10.95	249
3 28	10.94	252
3 8	10.94	250
0 56	10.94	250
3 24	10.88	237
0 44	10.81	252
0 16	10.79	246
0 18	10.76	250
0 36	10.75	250
3 2	10.70	249
3 14	10.68	259
2 2	10.65	245
3 16	10.64	246
0 34	10.62	242
3 34	10.61	241
0 6	10.59	245
3 58	10.57	252
0 24	10.56	244
1 44	10.55	254
3 4	10.54	256
3 42	10.54	242
3 20	10.54	246
0 30	10.51	239
3 52	10.51	249
3 60	10.50	233
3 48	10.45	238
0 32	10.45	243
3 38	10.44	247
3 6	10.43	246
2 46	10.42	247
0 46	10.41	253
2 38	10.35	255
0 52	10.35	243
0 8	10.35	247
2 28	10.33	253
2 14	10.30	248
3 0	10.29	241
3 30	10.29	243
0 2	10.27	247
0 62	10.27	233
3 54	10.24	244
0 14	10.21	238
2 62	10.21	256
2 36	10.19	233
2 56	10.16	249
2 8	10.16	239
2 24	10.14	245
2 4	10.13	243
2 48	10.12	251
2 6	10.11	252
2 52	10.06	249
2 50	10.06	249
2 20	10.05	244
2 54	10.05	249
3 62	9.98	244
2 40	9.94	259
2 44	9.93	249
2 10	9.93	239
2 32	9.92	239
3 26	9.86	237
2 18	9.83	242
2 42	9.76	246
2 0	9.75	240
2 30	9.71	244
2 12	9.71	239
2 58	9.55	246
1 16	8.77	252
1 62	8.53	266
1 54	8.14	251
0 12	7.72	242
3 10	7.71	253
0 48	7.69	246
3 50	7.68	247
0 10	7.50	250
3 56	7.43	254
1 12	7.23	249
2 22	7.16	244
2 60	7.14	243
2 26	6.77	236
3 46	6.31	251
0 60	6.23	235
0 20	6.07	239
2 16	5.93	242
2 34	5.83	239
1 42	5.01	256
3 57	3.41	252
3 53	3.39	247
3 61	3.38	249
3 37	3.34	251
3 13	3.33	255
3 7	3.33	242
3 21	3.32	247
1 5	3.29	266
3 15	3.29	254
3 43	3.27	248
3 63	3.26	246
1 21	3.24	257
3 55	3.24	242
3 1	3.24	263
3 31	3.23	252
3 59	3.23	246
1 61	3.20	261
3 45	3.19	244
3 5	3.19	248
1 53	3.19	261
1 7	3.18	255
1 15	3.18	255
3 41	3.18	244
3 51	3.17	237
3 19	3.16	245
1 41	3.15	255
1 37	3.15	261
3 9	3.15	250
3 49	3.14	241
3 25	3.14	239
1 57	3.14	257
3 29	3.14	246
3 23	3.13	254
1 23	3.13	253
3 35	3.12	246
3 3	3.12	240
1 17	3.10	248
1 63	3.10	252
3 17	3.09	241
1 33	3.09	260
3 47	3.09	237
1 43	3.08	254
3 39	3.06	239
1 49	3.05	248
1 51	3.05	249
1 45	3.04	251
1 9	3.04	246
1 19	3.03	255
1 55	3.03	250
3 27	3.02	239
1 27	3.01	248
1 1	3.00	252
1 47	3.00	253
1 39	3.00	255
3 33	2.99	237
1 13	2.99	250
1 59	2.99	254
1 11	2.99	249
1 31	2.97	255
1 35	2.94	250
1 25	2.93	251
3 11	2.93	247
1 29	2.91	254
0 5	2.86	247
1 3	2.83	243
0 7	2.82	241
0 45	2.81	246
0 23	2.80	243
0 43	2.78	244
0 57	2.75	244
0 53	2.75	252
0 55	2.73	248
0 29	2.72	241
0 17	2.72	246
0 47	2.71	243
0 61	2.71	243
0 37	2.71	244
0 11	2.70	238
0 35	2.70	239
0 41	2.69	236
0 31	2.69	237
0 33	2.68	239
0 1	2.66	240
0 27	2.66	243
0 19	2.65	256
0 21	2.64	235
0 3	2.64	237
0 51	2.63	233
0 49	2.61	239
0 13	2.61	253
0 25	2.60	228
0 9	2.59	237
0 59	2.58	233
0 39	2.58	237
0 63	2.56	240
2 23	2.56	246
2 43	2.55	254
2 63	2.54	250
0 15	2.53	239
2 3	2.50	246
2 9	2.49	249
2 49	2.48	247
2 33	2.46	244
2 57	2.46	249
2 37	2.46	243
2 53	2.45	243
2 27	2.45	246
2 35	2.45	248
2 19	2.44	243
2 51	2.43	244
2 59	2.42	237
2 61	2.42	237
2 5	2.42	243
2 41	2.41	246
2 47	2.40	243
2 15	2.39	231
2 11	2.38	239
2 29	2.37	245
2 13	2.37	237
2 55	2.35	237
2 17	2.35	241
2 31	2.35	242
2 1	2.34	239
2 7	2.34	242
2 21	2.31	240
2 39	2.29	236
2 25	2.25	240
2 45	2.25	232
