hg
Chip Chan	RMS
0 0	770.88	598
1 0	489.70	395
2 2	316.29	284
0 28	270.95	245
3 60	223.52	228
2 0	174.94	225
2 4	133.86	232
0 4	83.24	210
0 2	77.36	226
0 6	66.15	224
0 16	63.25	228
0 8	59.16	229
0 14	59.15	225
0 18	57.55	218
0 40	54.68	221
0 56	54.34	220
0 22	54.10	229
0 52	54.01	234
0 46	53.55	228
0 62	53.19	223
0 24	52.10	235
0 42	51.02	232
0 54	50.95	222
0 34	50.77	217
0 30	50.62	225
0 50	50.30	227
0 36	49.75	227
0 26	49.37	234
0 32	49.01	235
0 44	48.56	232
0 58	47.51	231
0 10	47.35	216
0 38	46.86	219
0 48	39.49	221
3 32	34.98	230
3 62	34.83	236
0 12	34.33	233
3 58	34.28	229
0 60	34.23	222
2 56	33.31	244
2 58	32.97	246
2 20	32.30	258
0 20	31.98	225
2 62	31.89	250
3 54	31.81	240
2 46	31.19	253
2 42	31.05	239
2 6	30.68	243
3 0	30.44	234
3 42	30.33	228
2 52	30.20	241
3 52	30.14	237
3 44	29.99	235
3 2	29.97	229
2 40	29.54	251
2 48	29.47	258
2 18	29.29	250
2 50	29.01	246
3 40	28.92	237
3 6	28.77	239
3 38	28.67	234
3 48	28.63	233
3 30	28.54	233
3 36	28.45	233
3 4	28.40	235
2 10	28.35	261
2 54	28.07	245
3 34	28.05	234
3 8	27.73	229
3 16	27.65	235
2 8	27.55	245
2 28	27.32	246
2 38	27.10	247
3 18	27.09	246
3 22	27.05	237
2 14	27.01	244
3 14	26.80	226
2 30	26.72	246
3 20	26.57	243
2 32	26.38	254
3 28	26.27	240
3 12	26.25	235
3 24	26.21	234
2 24	26.07	236
2 60	25.76	242
2 44	25.49	252
2 36	25.36	246
2 12	24.43	258
3 26	24.08	225
3 56	21.83	227
2 22	21.78	248
3 10	20.85	235
3 50	20.33	234
2 26	19.79	241
2 16	19.35	249
3 46	18.16	236
2 34	17.63	241
1 2	17.00	237
1 58	16.80	244
1 56	16.63	242
1 30	16.45	242
1 4	15.88	248
1 24	15.31	235
1 50	14.53	235
1 48	14.44	249
1 46	13.94	245
1 52	13.87	238
1 32	13.87	244
1 60	13.62	241
1 44	13.45	234
1 40	13.37	235
1 34	13.19	228
1 36	13.09	247
1 38	12.91	230
1 26	12.67	248
1 10	12.66	244
1 22	12.41	236
1 42	12.41	235
1 28	12.28	237
1 6	12.23	243
1 20	12.21	238
1 8	11.97	230
1 18	11.63	238
1 14	11.51	241
1 62	9.89	239
1 54	9.71	226
1 16	8.90	248
1 12	7.53	241
0 1	5.40	235
0 3	5.10	241
0 5	4.96	237
0 7	4.96	221
0 13	4.86	233
0 9	4.84	231
2 1	4.79	249
0 63	4.79	235
2 23	4.74	254
2 3	4.72	256
2 45	4.72	266
2 17	4.71	247
2 7	4.71	254
2 63	4.71	243
2 43	4.69	254
0 17	4.67	231
0 11	4.67	229
2 15	4.66	244
2 31	4.65	249
0 25	4.65	225
2 37	4.65	252
2 49	4.64	245
2 59	4.64	251
2 53	4.63	238
0 15	4.62	234
2 19	4.61	247
0 21	4.61	229
2 57	4.61	246
2 29	4.58	251
2 5	4.57	244
2 61	4.56	247
2 21	4.56	249
0 33	4.55	233
0 43	4.55	228
2 41	4.55	255
2 25	4.54	254
0 23	4.53	237
2 33	4.53	238
2 55	4.52	245
0 41	4.51	225
2 47	4.51	240
2 35	4.50	248
2 27	4.49	245
0 59	4.48	217
2 13	4.48	254
2 39	4.46	243
0 31	4.46	236
0 61	4.43	229
0 51	4.42	230
0 39	4.41	226
0 19	4.41	232
2 9	4.41	233
2 51	4.40	247
2 11	4.40	248
0 37	4.38	221
0 57	4.37	228
0 27	4.36	230
0 45	4.36	230
0 35	4.34	233
0 29	4.33	226
0 47	4.33	222
0 55	4.30	219
0 49	4.29	223
0 53	4.27	235
1 45	4.00	243
1 61	3.98	238
1 51	3.93	237
1 59	3.90	246
3 3	3.89	239
1 47	3.86	241
3 59	3.85	240
3 63	3.84	240
3 9	3.83	232
1 39	3.82	230
3 61	3.82	232
1 17	3.81	241
1 11	3.81	236
1 43	3.80	240
1 57	3.79	235
3 25	3.79	238
3 1	3.77	230
3 45	3.76	241
3 47	3.76	231
1 55	3.76	232
3 49	3.76	241
3 55	3.76	226
1 9	3.75	245
3 37	3.75	240
1 37	3.74	243
3 33	3.73	240
3 35	3.73	236
3 39	3.73	234
1 19	3.73	237
1 41	3.73	234
3 5	3.73	238
1 29	3.72	250
1 49	3.72	243
1 27	3.70	232
3 41	3.69	247
3 57	3.69	237
1 63	3.69	230
3 23	3.68	235
1 15	3.68	240
3 29	3.68	230
1 53	3.68	240
3 17	3.67	230
3 7	3.67	241
3 43	3.66	234
1 5	3.65	238
3 11	3.65	229
3 19	3.65	228
1 23	3.64	241
3 53	3.64	230
1 35	3.64	232
3 13	3.62	226
3 27	3.62	229
1 1	3.62	232
3 51	3.62	234
3 21	3.61	232
1 25	3.60	244
3 31	3.59	232
1 13	3.58	242
1 33	3.56	240
3 15	3.54	243
1 31	3.52	239
1 7	3.49	232
1 3	3.47	241
1 21	3.44	235
