hg
Chip Chan	RMS
0 0	788.89	692
1 0	517.44	471
2 2	333.95	335
0 28	270.63	275
3 60	231.98	260
2 0	192.00	251
2 4	154.01	251
0 4	86.66	218
0 2	82.83	232
0 6	77.73	228
0 14	77.09	228
0 8	76.28	231
0 16	76.14	232
0 18	75.43	222
0 22	75.23	230
0 46	73.74	230
0 40	73.66	224
0 52	73.33	237
0 24	72.89	238
0 62	72.41	225
0 42	72.20	235
0 54	71.78	225
0 56	71.65	223
0 34	71.35	220
0 30	71.33	227
0 36	71.29	230
0 50	71.28	229
0 44	71.19	234
0 32	70.93	237
0 26	70.89	236
0 38	69.38	221
0 58	68.18	234
2 20	65.95	260
2 18	65.41	252
2 6	65.01	245
2 42	64.97	243
2 56	64.86	247
2 58	64.82	249
2 48	64.48	260
2 50	64.30	248
2 52	64.30	243
2 46	64.29	255
3 32	64.17	235
2 62	63.92	252
2 40	63.86	253
2 28	63.83	247
2 8	63.81	248
3 62	63.67	239
3 58	63.42	233
2 10	63.40	263
2 38	62.95	249
2 54	62.92	246
2 14	62.90	246
2 30	62.87	247
3 44	62.75	238
2 24	62.62	238
2 12	62.56	260
2 44	62.55	254
2 36	62.48	248
3 54	62.42	242
3 52	62.39	239
3 48	62.19	236
2 32	62.08	256
3 2	62.00	232
3 42	61.99	231
3 0	61.68	237
3 4	61.68	238
3 38	61.56	237
3 30	61.41	236
3 36	61.36	235
3 6	61.34	242
3 12	61.32	238
3 16	61.19	238
3 34	60.98	237
3 28	60.93	244
3 14	60.90	229
3 18	60.84	248
3 22	60.80	240
3 8	60.79	233
3 40	60.74	240
3 24	60.64	237
3 20	60.41	245
1 58	59.27	245
1 2	59.24	238
1 56	58.81	243
1 4	58.77	250
1 40	58.63	236
1 48	58.43	250
1 30	58.31	242
1 50	58.07	236
1 24	58.02	236
1 60	58.02	242
1 36	57.96	248
1 46	57.76	247
1 52	57.75	239
1 26	57.62	248
1 22	57.50	238
1 10	57.49	245
1 14	57.42	242
1 6	57.36	243
1 38	57.29	230
1 32	57.28	244
1 20	57.17	238
1 34	57.09	229
1 18	57.02	238
1 28	57.02	238
1 8	56.76	230
3 26	54.26	227
0 10	51.15	219
1 44	50.62	235
0 12	46.20	235
0 48	45.31	223
0 60	36.63	224
2 60	36.61	242
0 20	35.36	228
2 22	35.24	248
2 26	34.54	242
3 50	33.87	236
3 56	33.82	228
3 10	33.65	237
1 62	30.75	238
1 54	30.59	226
1 16	29.63	248
2 16	27.03	250
2 34	25.60	241
3 46	25.58	237
1 12	21.93	241
1 42	14.79	236
0 5	5.58	237
0 9	5.37	231
0 3	5.36	241
0 1	5.34	236
0 7	5.32	221
0 11	5.28	229
0 13	5.23	234
0 23	5.19	238
0 17	5.19	232
0 63	5.18	235
0 19	5.13	233
0 31	5.04	237
0 57	4.99	228
0 47	4.98	222
0 49	4.98	224
0 21	4.98	230
0 33	4.96	233
0 39	4.95	227
0 37	4.95	222
0 51	4.95	230
0 41	4.93	225
0 59	4.93	218
0 53	4.92	235
0 25	4.91	225
0 43	4.90	228
0 45	4.87	230
0 55	4.87	219
0 27	4.84	230
0 35	4.81	233
2 15	4.79	244
0 29	4.78	227
0 61	4.73	230
0 15	4.60	235
2 7	4.53	254
2 1	4.47	249
2 5	4.46	243
2 9	4.43	233
2 3	4.43	256
2 21	4.41	249
2 59	4.37	251
1 59	4.37	247
2 47	4.36	240
2 41	4.36	255
2 43	4.35	254
2 39	4.35	243
2 13	4.34	254
2 31	4.34	249
2 45	4.34	266
2 61	4.33	247
2 11	4.32	247
2 53	4.31	238
2 57	4.30	246
2 23	4.29	254
2 27	4.29	245
2 37	4.29	252
2 55	4.29	246
2 63	4.26	243
2 33	4.24	238
1 49	4.23	243
2 51	4.23	247
2 17	4.23	247
2 19	4.22	246
2 29	4.22	251
2 49	4.20	245
2 25	4.20	254
1 63	4.19	230
2 35	4.18	248
1 61	4.17	238
1 57	4.14	236
1 43	4.14	241
1 53	4.12	240
1 51	4.11	237
1 45	4.10	243
1 21	4.09	235
1 37	4.09	243
1 47	4.08	242
1 55	4.06	232
1 27	4.05	233
1 5	4.04	238
1 11	4.03	236
1 35	4.03	232
1 9	4.02	246
1 29	4.02	250
1 25	4.01	245
1 23	4.00	241
1 15	3.98	241
1 33	3.98	240
1 19	3.97	238
1 7	3.97	232
1 3	3.97	242
1 39	3.96	230
1 13	3.94	242
1 17	3.93	242
1 41	3.92	234
1 31	3.92	239
1 1	3.82	233
3 15	3.68	243
3 61	3.65	232
3 45	3.55	242
3 57	3.54	237
3 47	3.54	231
3 39	3.52	234
3 55	3.52	226
3 19	3.50	228
3 41	3.50	248
3 59	3.49	240
3 3	3.49	240
3 37	3.49	240
3 49	3.46	241
3 1	3.45	230
3 5	3.45	238
3 31	3.45	233
3 63	3.44	240
3 23	3.44	235
3 53	3.44	230
3 17	3.43	231
3 43	3.43	234
3 35	3.42	236
3 9	3.42	232
3 7	3.40	242
3 25	3.40	238
3 27	3.38	229
3 13	3.36	226
3 51	3.36	234
3 29	3.34	230
3 33	3.30	240
3 21	3.30	233
3 11	3.27	229
