hg
Chip Chan	RMS
0 0	543.00	417
1 0	406.93	354
2 2	341.68	337
0 28	317.07	309
2 18	314.56	322
2 10	314.37	327
2 20	312.95	324
2 48	312.82	325
2 40	312.28	321
2 28	311.80	318
2 44	311.59	321
2 12	310.96	323
2 4	309.76	317
2 50	309.63	317
2 36	309.30	317
2 46	309.17	320
2 8	308.79	316
2 32	308.08	319
2 38	308.02	316
2 62	307.75	317
2 54	307.11	314
2 42	306.97	312
2 58	306.96	315
2 30	306.65	315
2 0	306.36	314
2 52	306.22	312
2 6	305.26	313
2 56	304.58	313
2 14	304.24	312
2 24	303.66	309
3 60	303.28	308
0 24	299.91	307
0 26	297.89	305
0 52	297.39	305
3 52	296.02	304
0 44	295.96	302
0 22	295.89	300
3 44	295.31	303
3 28	295.27	306
3 18	295.09	308
0 32	294.96	302
1 48	294.59	308
0 16	294.53	300
3 62	294.41	303
3 38	294.39	302
3 48	294.39	302
0 42	294.03	301
1 14	293.96	303
0 14	293.67	298
0 58	293.63	301
0 36	293.50	299
3 6	293.45	304
0 40	293.30	296
1 36	293.29	306
3 58	293.20	300
3 54	293.10	304
3 22	293.04	302
3 16	292.75	301
1 4	292.74	306
3 20	292.59	304
3 4	292.49	301
1 26	292.42	305
3 42	292.41	298
0 30	292.34	297
0 8	292.27	298
1 10	292.19	304
1 58	292.11	303
3 40	292.07	302
0 46	292.05	298
0 38	291.98	294
0 2	291.86	298
0 56	291.78	295
3 36	291.66	300
0 54	291.49	295
3 12	291.41	301
0 50	291.40	297
0 18	291.40	294
0 6	291.23	297
1 40	291.15	299
3 24	291.11	300
0 62	291.08	295
1 46	291.03	303
3 2	290.81	297
3 30	290.60	299
1 60	290.57	301
1 6	290.31	302
3 34	290.11	299
1 56	289.93	301
0 4	289.19	291
1 2	289.16	299
1 30	288.99	300
3 8	288.82	296
3 14	288.70	295
0 34	288.60	291
3 0	288.60	298
1 32	288.53	300
1 50	288.46	297
3 32	288.12	297
1 22	287.94	298
1 20	287.93	298
1 52	287.81	298
1 28	287.54	298
1 24	287.30	297
1 18	287.26	297
1 8	286.54	293
1 38	284.77	292
1 34	284.12	291
3 26	266.77	280
1 44	257.27	277
2 22	187.66	253
2 26	185.90	247
2 60	185.45	248
0 12	180.70	239
3 50	179.42	240
0 48	178.26	230
3 10	177.40	241
0 10	176.88	226
3 56	175.82	234
1 62	175.81	242
1 16	173.83	250
1 54	173.24	230
2 16	133.46	251
0 20	133.21	228
0 60	132.72	224
2 34	132.42	243
3 46	128.35	238
1 12	124.09	242
1 42	48.82	236
0 53	4.19	235
0 49	4.17	224
0 51	4.11	230
2 49	4.11	245
0 59	4.10	218
0 55	4.10	219
2 43	4.10	254
0 47	4.09	222
0 45	4.08	230
0 17	4.07	232
2 45	4.07	266
2 59	4.06	251
2 55	4.06	245
2 15	4.05	244
0 63	4.04	235
2 25	4.04	254
2 63	4.04	243
2 51	4.03	247
2 53	4.02	238
0 41	4.02	225
2 57	4.02	246
2 39	4.02	243
2 41	4.01	255
2 37	4.01	252
0 31	4.01	237
0 37	4.01	222
0 35	4.00	233
0 7	4.00	221
2 7	4.00	254
2 29	4.00	251
2 47	3.99	240
2 61	3.99	247
0 9	3.98	231
2 21	3.97	249
0 61	3.96	230
2 35	3.96	248
0 1	3.96	236
2 13	3.96	254
2 17	3.95	247
2 33	3.95	239
0 25	3.95	225
0 57	3.95	228
0 3	3.94	241
2 31	3.94	249
2 23	3.94	254
0 11	3.94	229
0 43	3.93	228
0 13	3.93	233
0 19	3.92	233
0 5	3.91	237
0 29	3.91	227
2 11	3.90	247
2 19	3.89	247
0 21	3.89	229
2 1	3.89	249
0 15	3.88	235
0 27	3.87	230
0 33	3.87	233
2 27	3.87	245
2 3	3.86	256
2 9	3.86	233
0 23	3.86	237
0 39	3.86	227
2 5	3.73	243
3 59	3.66	241
3 49	3.61	241
3 63	3.60	240
3 21	3.60	233
3 57	3.56	237
3 45	3.55	242
1 53	3.54	240
1 61	3.54	238
1 45	3.54	243
1 55	3.53	232
3 33	3.53	240
1 59	3.52	247
3 17	3.52	230
1 25	3.52	245
3 39	3.51	234
1 49	3.51	243
3 25	3.51	238
3 41	3.50	248
3 55	3.50	226
1 29	3.49	249
3 47	3.49	231
3 35	3.49	236
1 23	3.48	241
1 31	3.47	239
3 53	3.46	230
3 5	3.46	238
3 9	3.45	232
3 29	3.45	230
3 23	3.45	235
3 27	3.44	229
1 63	3.44	230
3 7	3.44	241
1 51	3.43	237
1 27	3.42	233
3 61	3.41	232
3 19	3.41	228
3 37	3.41	240
1 57	3.41	235
3 31	3.41	232
1 43	3.40	241
3 15	3.40	243
1 47	3.40	241
3 51	3.39	234
3 43	3.38	234
1 5	3.38	238
1 17	3.37	242
1 21	3.36	235
1 9	3.36	246
3 1	3.36	230
3 13	3.35	226
1 41	3.33	234
1 11	3.33	236
3 11	3.33	229
1 37	3.32	243
1 3	3.31	242
1 7	3.31	232
1 33	3.31	241
3 3	3.31	240
1 19	3.30	238
1 35	3.30	232
1 39	3.30	230
1 13	3.24	242
1 15	3.23	240
1 1	3.19	233
