hg
Chip Chan	RMS
0 0	774.57	644
1 0	516.09	449
2 2	332.25	320
0 28	267.48	261
3 60	228.46	251
2 0	189.87	244
2 4	150.53	246
0 4	72.89	214
0 2	69.09	228
0 6	64.24	225
0 8	62.94	229
0 14	62.33	226
0 18	61.64	219
0 16	61.57	229
0 22	59.80	228
0 40	58.82	221
0 46	58.70	227
0 52	58.49	235
0 62	58.40	223
0 34	57.29	217
0 54	56.87	223
0 24	56.61	236
0 30	56.49	225
0 42	56.48	233
0 36	56.15	228
0 50	56.13	227
0 56	56.12	221
0 32	56.07	235
0 44	55.18	232
0 26	54.71	235
0 38	54.23	219
0 58	50.55	232
3 32	48.09	236
2 56	47.10	248
3 62	46.82	241
2 20	46.40	261
2 6	46.26	246
3 58	45.98	234
2 42	45.86	244
2 58	45.79	250
0 10	45.44	217
2 62	45.33	253
2 46	45.16	256
2 52	44.80	244
3 2	44.43	233
3 54	44.40	244
3 42	44.34	233
3 44	44.08	239
3 0	44.05	238
2 18	44.02	253
3 48	43.74	236
2 48	43.74	261
3 52	43.73	241
2 40	43.72	254
3 4	43.72	239
2 50	43.60	249
3 40	43.46	241
2 10	43.28	265
3 30	43.16	237
2 8	43.13	249
3 38	42.96	239
3 34	42.96	238
3 12	42.92	239
2 54	42.81	248
3 6	42.80	243
3 22	42.79	241
3 36	42.78	237
2 38	42.62	250
3 16	42.60	239
2 28	42.55	249
3 8	42.54	234
2 30	42.46	249
3 14	42.45	230
3 18	42.39	249
3 20	42.33	246
2 14	42.14	247
3 28	41.80	244
2 12	41.77	261
2 32	41.76	257
2 24	41.65	239
2 36	41.62	249
3 24	41.50	238
2 44	41.30	255
1 2	40.28	240
1 30	40.10	244
0 12	40.03	233
1 56	39.59	244
1 58	39.37	245
1 48	38.99	251
1 24	38.87	238
1 4	38.85	251
0 48	38.64	222
1 40	38.57	238
1 50	38.54	237
1 60	38.44	243
1 32	38.43	245
1 46	38.39	248
1 36	38.26	249
1 52	37.92	240
1 38	37.74	232
3 26	37.70	228
1 26	37.69	249
1 34	37.63	230
1 22	37.42	238
1 20	37.23	240
1 18	36.76	239
1 28	36.68	239
1 10	36.63	246
1 8	36.45	231
1 14	36.37	242
1 6	35.79	244
1 44	34.70	236
0 60	32.16	223
0 20	30.71	226
2 60	28.04	244
2 22	26.83	250
3 56	26.06	230
3 10	25.83	238
2 26	25.75	243
3 50	25.49	237
1 54	21.91	227
1 62	21.69	240
2 16	21.11	250
1 16	20.87	249
3 46	19.78	238
2 34	19.75	242
1 12	15.88	241
1 42	13.85	237
0 3	5.57	241
0 7	5.54	221
0 5	5.51	237
0 1	5.49	236
0 9	5.45	231
0 11	5.39	229
0 17	5.24	231
0 63	5.24	235
0 13	5.23	233
0 21	5.20	230
0 23	5.18	237
0 61	5.18	230
0 25	5.17	225
0 19	5.15	233
0 41	5.14	225
0 53	5.13	235
0 37	5.11	222
0 47	5.10	222
0 31	5.09	237
0 27	5.07	230
0 45	5.05	230
0 49	5.05	224
0 57	5.04	228
0 35	5.02	233
0 29	5.02	226
0 51	5.01	230
0 33	4.99	233
0 39	4.95	226
0 55	4.94	220
0 59	4.92	218
0 43	4.92	228
2 15	4.71	244
0 15	4.60	235
2 7	4.49	254
2 3	4.46	256
2 55	4.45	245
2 17	4.42	247
2 1	4.42	249
2 41	4.42	255
2 19	4.41	247
2 11	4.39	248
2 13	4.38	254
2 43	4.37	254
2 59	4.35	251
2 21	4.33	249
2 31	4.32	249
2 9	4.32	233
2 45	4.31	266
2 29	4.30	251
2 47	4.29	240
2 23	4.28	254
2 33	4.28	239
2 49	4.27	246
2 37	4.27	252
2 27	4.26	245
2 5	4.26	243
2 53	4.25	238
2 57	4.25	246
2 61	4.25	247
2 51	4.22	247
2 39	4.19	243
2 25	4.19	254
2 35	4.18	248
1 63	4.18	230
1 53	4.14	240
1 55	4.14	232
2 63	4.13	243
1 57	4.10	236
1 49	4.09	243
1 61	4.08	238
1 51	4.08	237
1 29	4.07	250
1 41	4.07	234
1 11	4.05	236
1 59	4.05	247
1 45	4.01	243
1 33	3.99	241
1 3	3.98	242
1 25	3.98	245
1 5	3.97	238
1 13	3.97	242
1 17	3.96	242
1 39	3.94	230
1 47	3.93	242
1 35	3.93	232
1 43	3.93	241
1 21	3.93	235
1 15	3.92	241
1 7	3.90	232
1 37	3.89	243
1 31	3.88	239
1 23	3.87	241
1 19	3.86	238
1 9	3.84	246
1 27	3.81	233
1 1	3.74	233
3 63	3.62	240
3 57	3.61	237
3 55	3.59	226
3 59	3.59	241
3 23	3.57	235
3 39	3.55	234
3 41	3.55	248
3 33	3.54	240
3 35	3.53	236
3 45	3.53	242
3 49	3.50	242
3 37	3.50	240
3 29	3.49	230
3 43	3.48	235
3 5	3.47	238
3 51	3.46	234
3 61	3.46	232
3 47	3.45	231
3 3	3.45	240
3 25	3.44	238
3 7	3.44	242
3 11	3.43	229
3 27	3.42	229
3 19	3.41	228
3 1	3.41	230
3 31	3.38	233
3 17	3.38	231
3 21	3.37	233
3 15	3.34	243
3 53	3.34	230
3 13	3.29	226
3 9	3.15	232
