hg
Chip Chan	RMS
0 0	38.35	220
0 46	36.58	231
0 56	36.41	224
0 38	36.34	223
0 62	36.19	227
0 40	36.08	225
0 44	36.02	236
0 50	35.89	231
0 52	35.86	239
0 36	35.83	231
2 52	35.74	243
0 32	35.61	239
2 40	35.58	252
2 42	35.58	242
2 48	35.55	261
0 54	35.52	227
2 50	35.40	248
2 62	35.33	253
2 44	35.31	254
2 0	35.30	244
2 32	35.22	255
0 28	35.20	225
1 0	35.19	235
2 30	35.16	249
0 58	35.13	234
2 38	35.13	250
2 10	35.09	263
1 30	35.06	243
1 14	35.03	243
2 20	35.02	262
2 18	35.02	252
0 18	35.01	223
2 8	34.96	249
2 54	34.96	247
0 34	34.92	221
0 42	34.92	236
2 36	34.89	249
2 56	34.84	247
0 14	34.80	230
0 26	34.79	239
1 4	34.75	251
1 46	34.75	247
0 22	34.66	231
2 58	34.65	249
0 2	34.64	232
2 46	34.63	256
0 16	34.63	233
2 14	34.62	247
2 2	34.59	252
1 36	34.55	248
1 26	34.51	250
0 6	34.46	230
2 24	34.45	238
2 6	34.42	246
0 30	34.42	228
0 4	34.35	217
2 28	34.31	248
1 40	34.31	238
1 34	34.28	231
1 38	34.27	231
2 12	34.22	261
1 32	34.22	245
2 4	34.16	246
1 6	34.12	244
1 48	34.03	252
1 28	34.00	240
0 8	33.99	233
3 2	33.98	232
1 8	33.94	231
1 18	33.94	239
1 2	33.93	240
1 24	33.90	238
1 60	33.88	244
1 50	33.80	238
0 24	33.73	240
1 22	33.71	238
1 58	33.63	246
3 30	33.62	237
1 52	33.62	240
3 52	33.57	240
3 48	33.48	237
3 58	33.44	233
1 56	33.43	244
1 20	33.34	240
3 42	33.25	232
1 10	33.24	245
3 44	33.24	238
3 54	33.17	243
3 32	33.16	235
3 28	33.11	244
3 38	33.06	237
3 40	33.04	240
3 24	33.03	237
3 8	32.96	233
3 22	32.90	240
3 18	32.90	248
3 60	32.82	236
3 4	32.74	238
3 62	32.70	239
3 36	32.69	237
3 6	32.69	242
3 12	32.62	238
3 14	32.61	229
3 0	32.59	237
3 34	32.57	237
3 16	32.49	238
3 20	32.02	247
1 44	31.08	237
3 26	30.70	228
0 48	24.04	225
2 22	23.75	249
2 60	23.65	244
2 26	23.10	243
1 16	23.02	249
1 62	22.96	240
1 54	22.61	228
0 12	22.46	237
0 10	22.29	221
3 56	21.74	231
3 50	21.64	237
3 10	21.01	238
2 34	19.50	242
1 12	19.08	243
0 60	18.95	226
2 16	18.94	251
0 20	18.81	230
3 46	18.79	238
1 42	11.87	239
2 55	2.94	245
2 61	2.94	247
2 3	2.91	256
2 43	2.89	254
2 45	2.87	266
2 41	2.86	255
2 23	2.86	254
2 31	2.84	249
2 21	2.84	249
2 29	2.83	251
2 19	2.82	247
2 13	2.81	254
2 7	2.81	254
2 17	2.80	247
2 35	2.78	248
2 59	2.77	251
2 37	2.76	252
2 57	2.76	247
2 1	2.75	249
2 63	2.75	243
2 39	2.73	243
2 49	2.73	245
2 9	2.71	233
2 11	2.71	248
2 25	2.71	254
2 5	2.71	243
1 9	2.71	246
2 15	2.71	244
2 47	2.71	240
2 33	2.70	238
2 27	2.70	245
2 51	2.69	247
2 53	2.68	238
1 13	2.67	242
1 29	2.66	250
1 59	2.65	247
1 25	2.63	245
1 51	2.63	237
1 61	2.60	238
1 49	2.60	243
1 53	2.60	240
3 15	2.59	243
1 57	2.59	235
1 5	2.58	238
1 37	2.58	243
1 47	2.57	242
1 45	2.55	243
0 63	2.53	235
1 23	2.53	241
3 33	2.53	240
0 5	2.52	237
0 3	2.52	241
1 11	2.52	236
1 43	2.52	241
3 57	2.52	237
3 25	2.51	238
0 15	2.51	234
1 3	2.50	242
1 19	2.50	238
0 23	2.50	237
1 33	2.49	240
3 35	2.49	236
1 55	2.48	232
3 59	2.47	240
0 61	2.47	229
1 7	2.47	232
1 63	2.47	230
0 53	2.46	235
0 11	2.46	229
1 41	2.46	234
3 45	2.46	241
0 19	2.46	233
0 49	2.45	223
3 63	2.45	240
1 15	2.45	240
3 3	2.44	240
3 55	2.43	225
3 7	2.43	241
3 51	2.43	233
3 47	2.42	231
0 57	2.42	228
0 1	2.42	236
1 17	2.42	242
3 41	2.42	248
1 1	2.42	232
3 23	2.41	235
0 13	2.41	233
0 33	2.40	233
0 35	2.40	233
3 61	2.40	231
3 11	2.39	229
1 21	2.39	235
1 39	2.39	230
0 9	2.39	231
3 43	2.39	234
3 53	2.38	230
1 35	2.38	232
3 49	2.38	241
0 41	2.38	224
0 31	2.37	237
3 37	2.37	240
3 39	2.37	234
3 9	2.37	232
3 13	2.37	226
3 31	2.36	232
1 27	2.36	233
1 31	2.36	239
0 29	2.36	226
0 43	2.36	228
0 51	2.36	230
3 5	2.35	238
0 39	2.35	226
0 37	2.35	221
0 55	2.34	219
0 7	2.34	220
0 27	2.33	230
0 21	2.32	229
0 17	2.32	231
0 45	2.31	230
3 27	2.29	229
3 17	2.29	230
3 1	2.28	230
0 59	2.27	217
3 29	2.27	230
3 21	2.27	232
0 25	2.26	225
3 19	2.25	227
0 47	2.24	221
