hg
Chip Chan	RMS
0 0	770.88	622
1 0	492.95	431
2 2	317.01	313
0 28	274.72	267
3 60	224.26	252
2 0	173.90	246
2 4	131.59	250
0 4	84.42	214
0 2	78.82	228
0 6	67.34	225
0 16	63.60	229
0 8	60.31	228
0 14	59.98	225
0 18	59.36	218
0 40	56.39	221
0 22	55.94	227
0 46	55.53	227
0 56	55.12	221
0 52	54.92	234
0 62	54.04	223
0 24	53.79	235
0 42	52.96	232
0 34	52.74	217
0 50	52.48	227
0 54	52.24	222
0 30	51.86	224
0 36	51.29	228
0 26	51.24	234
0 44	50.11	232
0 32	50.04	234
0 38	47.98	219
0 58	47.87	232
0 10	47.58	217
0 48	39.80	222
3 32	36.68	237
3 62	36.45	242
3 58	35.98	236
2 56	35.91	250
0 12	35.32	233
2 58	34.63	251
0 60	34.28	224
2 62	33.80	255
2 20	33.65	263
3 54	33.59	245
2 42	33.43	245
2 6	33.30	248
2 46	33.06	257
2 52	32.79	246
3 0	32.48	240
3 42	31.94	233
0 20	31.94	227
3 52	31.77	241
3 44	31.68	239
2 18	31.50	255
3 2	31.40	235
2 40	31.38	255
2 50	30.92	250
2 48	30.92	263
3 30	30.88	238
3 48	30.54	237
3 34	30.38	239
3 40	30.36	242
3 4	30.32	240
3 36	30.31	237
2 54	29.95	248
3 38	29.90	239
2 10	29.71	265
3 8	29.59	234
3 6	29.57	244
2 60	29.53	244
2 30	29.25	250
3 16	29.19	240
2 28	29.06	251
3 22	29.05	241
2 32	28.77	258
2 38	28.68	252
2 8	28.66	250
2 14	28.58	248
3 14	28.56	231
2 24	28.44	240
3 18	28.23	250
3 20	28.12	247
3 28	28.07	245
3 24	27.80	239
2 36	27.62	250
3 12	27.33	240
2 44	26.60	256
2 12	26.29	262
3 26	24.89	229
2 22	23.67	251
3 56	23.28	231
3 10	22.85	239
2 26	21.62	244
3 50	21.46	237
2 16	20.77	251
3 46	19.41	239
1 56	19.37	246
1 58	18.90	248
1 2	18.65	242
2 34	18.55	244
1 10	18.39	247
1 30	17.73	245
1 6	17.65	247
1 4	17.22	253
1 50	16.48	239
1 60	16.48	245
1 24	16.31	239
1 52	16.00	242
1 48	15.58	253
1 46	15.37	249
1 38	14.72	232
1 44	14.66	237
1 40	14.49	239
1 36	14.48	250
1 34	14.40	231
1 32	14.28	246
1 26	13.96	250
1 18	13.91	240
1 20	13.58	240
1 14	13.51	244
1 22	13.49	239
1 8	13.11	232
1 42	12.82	238
1 62	12.66	241
1 28	12.46	240
1 54	11.72	228
1 12	10.67	243
1 16	9.77	250
0 1	5.12	236
2 59	5.02	251
0 11	4.96	229
2 3	4.95	256
2 63	4.87	243
2 49	4.86	246
2 61	4.86	247
2 27	4.86	245
2 1	4.85	249
2 13	4.84	254
0 9	4.84	231
2 9	4.83	233
2 21	4.80	249
2 43	4.80	254
2 23	4.80	254
0 7	4.79	221
2 35	4.78	248
2 15	4.78	244
2 5	4.77	243
2 45	4.75	266
0 3	4.74	241
0 13	4.74	233
2 7	4.73	254
2 51	4.73	247
2 19	4.72	247
0 5	4.72	237
2 17	4.72	247
2 37	4.69	253
2 11	4.68	248
2 41	4.67	255
2 25	4.65	254
2 33	4.65	238
2 55	4.64	246
2 39	4.63	243
2 31	4.63	249
0 17	4.60	231
2 57	4.60	246
0 63	4.60	235
0 21	4.59	229
2 53	4.55	238
0 23	4.53	237
2 29	4.51	251
0 19	4.47	233
2 47	4.47	240
0 29	4.46	226
0 15	4.45	234
0 45	4.41	230
0 41	4.38	225
0 33	4.38	233
0 53	4.37	235
0 35	4.34	233
0 27	4.31	230
0 31	4.31	237
0 49	4.25	223
0 43	4.24	228
0 57	4.24	228
0 39	4.20	226
0 25	4.20	225
0 59	4.17	218
0 37	4.16	222
0 61	4.16	229
0 51	4.14	230
0 47	4.09	222
3 59	4.05	241
0 55	4.05	219
3 63	4.05	240
3 49	4.03	242
3 41	4.00	248
1 61	3.98	238
1 51	3.98	237
3 57	3.97	237
1 53	3.97	240
3 33	3.96	240
1 33	3.96	240
3 21	3.95	233
1 37	3.95	243
1 31	3.92	239
1 41	3.91	234
3 39	3.91	234
1 11	3.90	236
1 55	3.90	232
1 43	3.88	241
3 35	3.87	236
1 29	3.87	249
1 27	3.87	233
1 25	3.86	244
1 59	3.85	247
3 5	3.83	238
1 47	3.83	242
1 5	3.83	238
3 47	3.83	231
3 19	3.82	228
3 23	3.82	235
3 27	3.82	229
1 49	3.81	243
3 13	3.81	226
3 11	3.81	229
3 53	3.81	230
3 55	3.81	226
3 15	3.81	243
1 63	3.80	230
1 35	3.79	232
3 43	3.79	234
1 39	3.78	230
1 57	3.78	235
1 23	3.78	241
3 17	3.78	230
3 7	3.77	242
3 37	3.77	240
1 45	3.77	243
3 25	3.76	238
1 19	3.75	238
1 21	3.75	235
3 61	3.73	232
3 51	3.73	233
3 31	3.70	232
1 13	3.69	242
1 15	3.69	240
3 1	3.69	230
1 9	3.69	245
3 45	3.67	242
1 17	3.67	241
1 3	3.66	241
1 7	3.66	232
3 9	3.65	232
3 29	3.65	230
3 3	3.64	240
1 1	3.55	233
