hg
Chip Chan	RMS
2 2	1285.08	1137
2 10	1284.71	1149
2 20	1283.26	1149
2 18	1283.22	1150
2 4	1283.10	1144
2 12	1282.95	1147
2 0	1282.83	1136
2 8	1281.84	1144
2 48	1280.54	1148
2 32	1278.83	1144
2 30	1278.62	1143
2 14	1278.46	1140
2 6	1278.41	1143
2 44	1278.18	1144
2 40	1278.11	1146
2 46	1276.41	1144
2 28	1276.14	1143
2 36	1276.01	1145
2 62	1275.47	1142
2 50	1275.23	1141
2 52	1274.63	1142
2 24	1274.53	1138
2 38	1274.03	1141
2 42	1273.82	1140
2 56	1273.77	1139
2 54	1273.67	1139
2 58	1272.46	1141
0 8	1266.79	1121
0 6	1266.67	1117
0 2	1266.50	1118
0 26	1266.37	1123
0 28	1265.46	1105
0 16	1264.57	1120
0 4	1264.47	1116
0 24	1264.33	1123
0 14	1264.15	1119
0 22	1263.40	1119
0 42	1263.28	1119
0 18	1262.31	1114
0 32	1261.70	1118
0 52	1260.42	1118
0 36	1260.31	1117
0 40	1260.21	1115
0 30	1260.04	1116
0 46	1259.24	1114
0 38	1259.22	1114
0 44	1258.95	1116
0 58	1258.79	1114
0 50	1258.06	1112
0 56	1257.59	1114
0 54	1256.95	1113
0 62	1256.23	1113
0 34	1254.84	1109
3 6	1243.39	1099
3 16	1240.30	1098
3 18	1240.23	1100
3 12	1240.19	1096
3 4	1239.92	1097
3 28	1239.82	1098
3 60	1239.68	1087
3 2	1239.49	1095
3 8	1239.41	1096
3 22	1239.24	1099
3 0	1239.00	1093
3 20	1238.38	1098
3 44	1238.09	1098
3 48	1237.12	1097
3 30	1236.84	1094
3 54	1236.71	1096
3 38	1236.23	1096
3 24	1236.09	1094
1 4	1235.93	1098
3 14	1235.68	1093
3 32	1235.60	1091
1 6	1235.59	1097
3 36	1234.81	1095
1 10	1234.75	1096
3 40	1234.72	1095
3 34	1234.35	1093
1 2	1234.12	1095
3 52	1233.86	1095
3 62	1233.51	1094
3 58	1233.23	1093
3 42	1232.95	1093
1 14	1232.83	1097
1 26	1230.91	1095
1 20	1230.07	1091
1 22	1229.99	1092
1 18	1228.98	1091
1 36	1228.38	1092
1 28	1227.97	1090
1 48	1227.86	1094
1 24	1227.71	1090
1 8	1227.19	1088
1 30	1227.17	1091
1 56	1227.14	1091
1 58	1227.07	1092
1 0	1226.74	1082
1 32	1226.24	1090
1 40	1225.67	1090
1 46	1225.32	1090
1 60	1225.24	1090
1 50	1224.90	1089
1 38	1224.13	1087
1 52	1223.99	1088
1 34	1223.37	1086
3 26	1222.42	1075
1 44	1209.17	1069
0 0	1187.46	952
2 22	1148.52	1001
2 26	1144.53	996
2 60	1142.59	993
0 12	1127.62	968
0 10	1122.26	960
0 48	1121.35	962
3 50	1106.22	953
3 10	1104.94	951
3 56	1097.34	944
1 16	1096.23	949
1 62	1093.47	948
1 54	1088.60	941
2 16	1003.32	870
2 34	990.88	859
0 20	982.61	837
0 60	976.39	833
3 46	961.84	828
1 12	946.64	818
1 42	440.40	406
2 57	39.70	237
2 49	39.67	236
2 55	39.64	236
2 53	39.50	229
2 51	39.48	238
2 61	39.48	238
2 63	39.48	233
2 45	39.48	257
2 59	39.33	242
2 47	39.31	231
3 57	39.28	228
2 43	39.24	245
2 41	38.94	246
3 55	38.87	217
2 37	38.81	243
2 39	38.74	234
3 53	38.71	222
3 63	38.69	231
3 47	38.57	223
3 49	38.54	233
3 59	38.47	232
3 45	38.44	233
2 35	38.43	239
3 61	38.28	223
3 51	38.25	225
3 39	38.18	226
3 43	38.18	226
3 37	38.13	232
3 41	37.88	239
3 35	37.84	228
2 29	37.83	243
2 31	37.80	240
0 57	37.70	220
3 33	37.55	232
2 33	37.54	230
3 31	37.40	224
0 63	37.29	226
2 27	37.24	236
0 51	37.08	222
0 59	37.06	210
3 19	36.96	220
0 55	36.96	211
3 29	36.96	222
3 25	36.92	230
2 25	36.90	246
3 27	36.87	222
3 23	36.85	227
0 61	36.83	221
0 53	36.72	227
0 39	36.71	219
0 45	36.67	222
0 41	36.64	217
0 43	36.62	220
2 23	36.49	245
2 21	36.47	241
1 59	36.40	238
1 57	36.40	227
3 21	36.38	225
0 49	36.36	216
0 47	36.33	214
2 19	36.32	238
3 17	36.14	223
2 17	36.14	239
1 55	36.11	224
1 63	36.04	222
1 61	36.00	230
1 51	35.97	229
0 35	35.95	225
1 47	35.78	233
1 53	35.76	232
0 31	35.76	229
1 49	35.68	234
0 37	35.66	214
0 33	35.62	225
1 45	35.62	235
2 13	35.59	246
1 41	35.55	226
2 15	35.41	236
3 13	35.40	219
0 27	35.39	222
1 39	35.33	222
2 11	35.23	240
1 43	35.22	232
3 11	35.18	222
0 29	35.16	219
2 9	35.06	225
1 35	35.04	224
1 33	34.97	232
