hg
Chip Chan	RMS
0 0	793.57	712
1 0	528.01	472
2 2	340.87	335
0 28	279.03	280
3 60	234.46	262
2 0	191.52	251
2 4	151.65	250
0 4	80.59	220
0 2	76.17	234
0 6	68.61	231
0 16	66.15	235
0 8	65.89	234
0 14	65.61	232
0 18	64.66	224
0 22	62.34	232
0 46	61.32	232
0 52	61.10	240
0 40	61.04	226
0 62	60.46	228
0 24	60.05	241
0 34	60.02	222
0 54	59.63	228
0 56	59.55	225
0 30	59.41	230
0 42	59.28	238
0 50	58.80	232
0 36	58.61	232
0 32	58.13	239
0 44	57.97	237
0 26	57.65	239
0 38	56.67	223
0 58	54.70	236
3 32	51.27	235
3 62	50.96	240
2 56	50.09	246
3 58	49.84	234
2 20	49.49	260
2 42	49.07	242
2 58	48.71	248
2 6	48.56	245
3 54	48.54	244
2 62	48.44	252
0 10	48.21	221
3 2	48.09	232
3 42	48.03	232
2 46	47.95	255
3 0	47.95	237
3 44	47.91	239
3 52	47.88	240
2 52	47.58	243
2 40	47.26	253
3 34	47.13	238
3 30	47.03	237
2 18	47.03	252
3 12	47.02	239
3 48	47.01	236
3 40	46.96	241
2 48	46.90	260
3 4	46.90	239
3 38	46.70	238
3 16	46.47	238
3 22	46.40	241
3 6	46.29	242
2 50	46.28	248
3 36	46.28	237
2 28	46.17	248
2 10	46.08	262
2 38	46.03	249
3 8	46.00	233
3 20	45.93	246
2 8	45.89	248
2 54	45.73	246
2 30	45.53	247
3 14	45.52	230
3 18	45.38	249
2 12	45.04	260
3 28	44.98	244
2 32	44.89	256
3 24	44.86	238
2 24	44.73	237
2 14	44.67	246
2 36	44.53	248
2 44	44.37	254
0 12	42.21	237
1 2	41.17	238
1 30	41.09	242
0 48	40.75	225
1 56	40.66	243
1 58	40.63	244
3 26	40.59	228
1 48	40.38	250
1 46	40.16	247
1 4	40.09	249
1 24	40.00	237
1 40	39.99	236
1 50	39.98	236
1 36	39.92	248
1 32	39.88	244
1 60	39.69	242
1 34	39.59	229
1 52	39.45	239
1 38	39.24	230
1 26	39.20	248
1 20	39.01	238
1 28	38.71	238
1 22	38.16	237
1 18	37.85	238
1 10	37.72	244
1 14	37.71	241
1 8	37.68	230
1 6	37.39	244
1 44	35.92	235
0 60	34.18	226
0 20	32.82	229
2 60	31.11	242
2 22	28.90	248
3 56	28.54	229
3 10	28.11	237
2 26	27.86	242
3 50	27.51	236
2 16	22.82	249
1 54	22.77	226
1 62	22.70	239
3 46	21.96	237
2 34	21.11	241
1 16	21.01	248
1 12	15.87	241
1 42	13.74	236
0 1	5.61	236
0 5	5.54	237
0 3	5.54	241
0 9	5.49	232
0 11	5.48	230
0 7	5.47	222
0 13	5.36	234
0 17	5.36	232
0 23	5.31	238
0 19	5.24	233
0 63	5.24	235
0 53	5.21	235
0 25	5.19	225
0 57	5.17	228
0 21	5.16	230
0 33	5.15	233
0 41	5.14	225
0 37	5.12	222
0 27	5.10	230
0 31	5.10	237
2 15	5.06	244
0 45	5.04	230
0 55	5.03	220
0 47	5.00	222
0 29	5.00	227
0 43	4.99	229
0 51	4.99	230
0 59	4.97	218
0 49	4.96	224
0 35	4.96	234
0 39	4.94	227
0 61	4.85	230
2 1	4.77	248
0 15	4.73	235
2 27	4.70	245
2 3	4.69	256
2 19	4.66	246
2 41	4.65	255
2 5	4.64	243
2 55	4.63	245
2 21	4.63	249
2 43	4.62	254
2 57	4.62	246
2 61	4.60	247
2 45	4.59	266
2 7	4.58	253
2 11	4.58	247
2 17	4.57	247
2 63	4.56	243
2 35	4.55	248
2 29	4.55	251
2 59	4.54	251
2 9	4.54	233
2 23	4.53	253
2 37	4.53	252
2 51	4.52	246
2 47	4.51	239
2 13	4.51	254
2 53	4.49	238
2 39	4.48	243
2 31	4.48	249
2 49	4.43	245
2 25	4.42	254
2 33	4.40	238
1 55	4.28	232
1 45	4.27	243
1 53	4.26	240
1 59	4.25	246
1 61	4.24	238
1 49	4.23	243
1 57	4.20	235
1 29	4.18	250
1 63	4.17	230
1 51	4.14	237
1 9	4.14	245
1 11	4.13	236
1 47	4.13	241
1 41	4.09	234
1 19	4.09	238
1 13	4.07	241
1 33	4.06	240
1 21	4.06	235
1 39	4.05	230
1 3	4.05	241
1 5	4.03	238
1 27	4.01	233
1 43	4.00	241
1 17	4.00	241
1 37	4.00	243
1 7	4.00	232
1 35	3.96	232
1 23	3.94	241
1 31	3.92	239
1 25	3.91	244
3 59	3.87	240
1 15	3.87	240
1 1	3.86	232
3 51	3.84	234
3 41	3.84	248
3 15	3.81	243
3 25	3.80	238
3 49	3.80	242
3 53	3.80	230
3 7	3.78	241
3 63	3.78	240
3 11	3.78	229
3 55	3.77	226
3 3	3.76	240
3 21	3.75	232
3 61	3.74	232
3 23	3.74	235
3 45	3.73	242
3 35	3.72	236
3 57	3.71	237
3 5	3.69	238
3 29	3.68	230
3 17	3.67	230
3 39	3.67	234
3 13	3.66	226
3 31	3.66	232
3 33	3.65	240
3 19	3.64	227
3 43	3.62	234
3 37	3.61	240
3 47	3.61	231
3 27	3.57	229
3 1	3.51	230
3 9	3.50	232
