hg
Chip Chan	RMS
0 0	777.27	668
1 0	502.12	434
2 2	321.97	311
0 28	283.17	271
3 60	224.48	247
2 0	174.69	239
2 4	132.47	244
0 4	91.91	216
0 2	85.67	230
0 6	70.38	228
0 16	67.63	231
0 14	62.25	228
0 8	61.70	231
0 18	60.43	221
0 22	58.17	230
0 56	57.83	222
0 40	57.00	224
0 46	56.37	230
0 52	55.37	237
0 24	55.28	238
0 62	54.72	225
0 34	53.75	219
0 42	53.60	234
0 54	53.07	225
0 26	52.96	236
0 50	52.43	229
0 30	52.31	227
0 36	51.26	230
0 44	51.15	234
0 58	50.98	234
0 32	50.78	237
0 10	48.59	218
0 38	48.44	221
3 62	42.44	239
3 58	41.76	234
0 12	40.97	235
3 32	40.82	235
0 48	39.96	223
3 54	38.75	243
2 56	37.74	245
3 0	37.47	237
2 58	37.38	247
3 52	37.36	240
3 42	37.35	231
2 62	36.67	251
3 44	36.43	238
3 2	36.33	232
2 20	36.28	259
3 40	36.08	240
3 48	35.96	236
3 12	35.75	238
2 42	35.49	241
3 30	35.47	237
3 34	35.47	237
3 36	35.47	236
2 46	35.34	254
3 6	35.00	242
2 52	34.87	242
3 38	34.72	238
3 16	34.63	238
2 50	34.58	247
2 48	34.44	259
3 4	34.39	238
0 60	34.25	224
2 6	34.24	244
2 40	33.94	252
3 8	33.91	233
3 22	33.82	240
2 18	33.65	251
3 14	33.45	229
3 28	32.95	243
3 18	32.80	248
2 54	32.66	245
0 20	32.58	228
3 20	32.48	246
3 24	32.44	237
2 38	31.88	248
2 28	31.80	246
2 10	31.77	262
2 30	31.47	246
2 24	31.43	237
2 14	31.27	245
2 8	31.03	247
2 32	30.99	254
2 36	30.21	247
2 12	30.12	259
2 44	29.93	253
3 26	29.62	227
2 60	28.73	242
3 56	26.94	229
3 10	25.87	237
3 50	25.10	236
2 22	24.87	247
2 26	22.89	241
3 46	22.37	237
2 16	21.81	249
1 2	21.32	237
1 58	20.64	243
1 30	20.59	241
1 56	20.38	241
1 4	19.81	248
1 24	19.56	235
2 34	19.40	241
1 48	18.14	249
1 46	17.96	245
1 36	17.62	247
1 38	17.60	229
1 50	17.59	235
1 60	17.57	240
1 40	17.38	235
1 52	17.22	237
1 32	17.04	242
1 34	17.00	228
1 44	16.93	234
1 26	16.03	247
1 22	15.77	236
1 28	15.62	237
1 20	15.16	237
1 6	14.64	242
1 10	14.59	243
1 18	14.50	237
1 8	14.44	229
1 14	14.31	240
1 42	13.25	235
1 54	11.67	225
1 62	11.15	237
1 16	9.56	247
1 12	8.51	240
0 1	5.07	235
2 1	5.00	248
2 15	4.95	244
2 7	4.84	253
2 3	4.82	256
0 5	4.79	237
0 3	4.77	241
2 13	4.76	253
2 59	4.74	251
2 63	4.73	243
2 55	4.72	245
2 11	4.72	247
0 7	4.71	221
2 23	4.71	253
2 51	4.70	247
2 33	4.70	238
2 21	4.69	249
2 45	4.68	266
2 41	4.67	255
2 47	4.67	240
2 43	4.67	254
2 29	4.67	251
2 57	4.67	246
2 49	4.65	245
2 61	4.65	247
2 9	4.65	233
2 17	4.65	247
2 25	4.64	254
2 35	4.63	248
2 19	4.62	246
2 37	4.62	252
2 39	4.61	243
0 9	4.61	231
2 27	4.57	245
0 17	4.56	231
2 53	4.56	238
0 11	4.52	229
2 31	4.50	248
2 5	4.49	243
0 13	4.41	233
0 23	4.40	237
0 41	4.40	224
0 19	4.39	233
0 25	4.37	225
0 35	4.33	233
0 21	4.30	230
0 27	4.28	230
0 53	4.27	235
0 57	4.24	228
0 29	4.23	226
0 15	4.22	234
0 63	4.22	235
0 31	4.21	237
0 49	4.20	223
0 51	4.19	230
0 33	4.17	233
3 63	4.17	240
0 47	4.16	221
0 45	4.16	230
0 39	4.15	226
0 37	4.14	222
0 43	4.10	228
0 61	4.10	230
3 15	4.10	243
0 59	4.07	218
0 55	4.06	219
3 61	4.03	232
3 3	4.03	240
3 59	3.98	240
3 41	3.97	248
3 49	3.96	241
3 9	3.95	232
3 39	3.94	234
3 27	3.93	229
3 11	3.93	229
3 57	3.92	237
3 7	3.91	241
3 23	3.91	235
3 1	3.91	230
3 53	3.90	230
3 47	3.89	231
3 5	3.88	238
3 55	3.88	226
3 37	3.87	240
3 51	3.87	234
3 21	3.87	232
3 43	3.85	234
3 33	3.83	240
3 19	3.83	228
3 45	3.82	241
3 13	3.81	226
3 35	3.81	236
1 47	3.79	241
3 25	3.79	238
1 63	3.76	230
3 17	3.75	230
3 31	3.74	232
1 53	3.72	240
1 45	3.70	243
3 29	3.70	230
1 61	3.69	238
1 59	3.69	247
1 25	3.68	244
1 49	3.67	243
1 51	3.66	237
1 57	3.66	235
1 23	3.62	241
1 43	3.62	240
1 9	3.61	245
1 27	3.60	232
1 41	3.59	234
1 19	3.59	237
1 31	3.58	239
1 35	3.57	232
1 55	3.57	231
1 29	3.56	249
1 3	3.54	241
1 37	3.54	242
1 33	3.53	240
1 39	3.52	230
1 17	3.52	241
1 21	3.52	234
1 5	3.49	238
1 15	3.49	240
1 13	3.45	241
1 11	3.42	236
1 1	3.38	232
1 7	3.35	232
