hg
Chip Chan	RMS
0 0	766.71	694
1 0	492.05	446
2 2	311.35	324
0 28	273.59	285
3 60	217.79	261
2 0	165.42	254
2 4	126.56	253
0 4	90.93	221
0 2	86.42	235
0 6	72.55	232
0 16	69.95	235
0 14	65.83	232
0 8	65.45	235
0 18	64.34	224
0 22	61.92	232
0 56	61.73	226
0 40	61.57	227
0 46	61.21	233
0 52	60.02	240
0 24	59.65	241
0 62	59.51	228
0 42	58.36	238
0 34	58.22	222
0 54	58.03	228
0 30	57.61	230
0 50	57.49	232
0 26	57.18	240
0 36	56.76	232
0 44	56.44	237
0 32	55.99	239
0 58	55.02	237
0 38	53.90	224
0 10	50.26	221
3 62	43.96	240
3 58	43.24	234
0 12	42.86	237
3 32	42.63	236
0 48	42.02	225
2 56	41.05	247
3 54	40.52	243
2 58	40.50	249
2 62	40.21	253
2 20	40.12	261
3 52	39.66	240
2 42	39.64	243
2 46	39.50	256
3 0	39.49	238
3 42	39.46	232
3 2	39.33	233
3 44	39.17	239
3 48	38.78	236
3 40	38.67	240
2 52	38.52	244
2 18	38.33	252
3 30	38.31	237
2 40	38.30	253
3 12	38.25	238
2 6	38.21	246
3 34	38.18	238
2 48	38.06	261
3 6	38.01	242
3 38	37.98	238
2 50	37.89	249
3 36	37.77	236
3 16	37.75	238
3 22	37.57	240
3 4	37.49	239
3 8	37.42	234
2 54	37.21	247
2 28	37.18	249
2 10	36.77	264
3 14	36.66	230
3 28	36.60	244
3 18	36.42	249
2 38	36.30	250
2 30	36.23	248
2 8	36.16	249
2 14	35.99	247
2 24	35.96	239
3 20	35.87	246
3 24	35.72	238
0 60	35.67	225
2 32	35.56	256
2 12	35.46	261
2 36	35.35	249
2 44	35.08	255
0 20	33.79	229
3 26	32.77	228
1 58	29.54	245
1 56	29.49	244
1 2	29.47	239
1 30	29.47	243
1 4	29.24	251
2 60	29.14	243
1 24	28.92	237
1 40	28.60	237
1 60	28.52	242
1 36	28.44	249
1 48	28.39	251
1 50	28.34	237
1 46	28.23	247
1 38	28.11	231
1 52	28.09	239
1 22	27.85	238
1 34	27.83	230
1 32	27.76	245
1 26	27.50	249
1 10	27.29	245
1 18	27.18	239
1 6	27.08	244
1 20	26.99	240
1 28	26.96	239
1 14	26.96	242
1 8	26.82	231
3 56	26.53	228
3 10	25.60	237
1 44	25.57	236
2 22	25.52	249
3 50	25.20	235
2 26	24.06	241
2 16	21.88	249
3 46	21.79	236
2 34	19.84	241
1 62	16.41	238
1 54	16.31	226
1 16	15.36	248
1 42	12.85	236
1 12	12.11	241
0 1	5.18	236
2 5	4.96	243
2 3	4.89	255
2 1	4.88	248
0 3	4.87	241
2 57	4.86	246
2 25	4.84	254
2 59	4.82	251
0 5	4.82	237
2 27	4.81	245
2 9	4.80	233
2 7	4.79	253
2 35	4.79	248
2 13	4.79	254
2 49	4.78	245
2 41	4.78	255
2 63	4.77	243
2 29	4.77	251
2 39	4.77	243
2 33	4.76	238
2 55	4.75	245
2 17	4.75	247
2 43	4.74	254
2 21	4.73	249
2 61	4.73	247
2 51	4.72	246
2 19	4.72	246
2 53	4.72	238
2 15	4.72	244
2 47	4.72	239
2 37	4.71	252
2 45	4.70	266
0 11	4.67	229
2 31	4.67	248
2 23	4.65	253
0 7	4.62	221
2 11	4.62	247
0 9	4.55	231
0 17	4.48	231
0 13	4.45	233
0 21	4.36	229
0 19	4.36	233
0 33	4.34	233
0 23	4.29	237
0 25	4.29	225
0 63	4.28	235
0 51	4.27	230
0 35	4.26	233
0 37	4.23	222
0 31	4.21	237
0 55	4.21	219
3 63	4.20	240
0 27	4.19	230
0 47	4.18	222
0 29	4.16	227
3 57	4.15	236
0 45	4.15	230
0 39	4.15	227
0 61	4.11	230
3 55	4.10	225
3 61	4.07	231
0 41	4.06	225
0 59	4.06	218
3 11	4.05	229
3 5	4.05	237
3 9	4.05	232
3 49	4.05	241
3 33	4.04	240
0 53	4.03	235
3 19	4.03	227
0 57	4.02	228
3 15	4.01	243
3 35	4.01	236
3 25	4.01	237
0 15	4.00	234
3 41	4.00	247
0 43	4.00	228
3 3	4.00	239
3 53	3.99	229
0 49	3.98	224
3 37	3.97	240
3 29	3.96	230
3 47	3.95	231
3 59	3.95	240
3 51	3.94	233
3 7	3.93	241
3 45	3.92	241
3 13	3.90	225
3 31	3.89	232
3 39	3.89	233
3 17	3.88	230
3 1	3.88	230
3 23	3.87	235
3 43	3.85	234
3 27	3.84	229
3 21	3.77	232
1 29	3.73	249
1 61	3.72	238
1 49	3.71	243
1 59	3.71	247
1 63	3.64	230
1 47	3.64	241
1 37	3.63	243
1 57	3.62	235
1 53	3.62	240
1 13	3.60	242
1 45	3.58	243
1 39	3.58	230
1 51	3.58	237
1 15	3.56	240
1 5	3.53	238
1 7	3.50	232
1 21	3.50	235
1 41	3.49	234
1 17	3.49	241
1 9	3.49	245
1 55	3.49	232
1 31	3.49	239
1 3	3.48	241
1 35	3.47	232
1 43	3.47	241
1 33	3.47	240
1 19	3.46	238
1 27	3.45	232
1 23	3.42	241
1 11	3.41	236
1 25	3.35	245
1 1	3.26	232
