hg
Chip Chan	RMS
0 0	781.12	675
1 0	516.87	453
2 2	333.23	324
0 28	275.78	271
3 60	230.58	255
2 0	186.56	244
2 4	143.91	246
0 4	77.95	215
0 2	72.97	229
0 6	62.95	226
0 16	59.97	230
0 8	58.31	229
0 14	57.95	226
0 18	56.90	219
0 40	54.19	222
0 22	53.32	227
0 46	52.98	227
0 62	52.38	223
0 52	52.21	235
0 56	51.60	220
0 24	51.16	235
0 42	50.86	233
0 34	50.84	217
0 50	50.11	227
0 54	49.94	223
0 30	49.52	225
0 32	48.61	235
0 44	48.61	232
0 36	48.51	228
0 26	47.90	235
0 38	46.77	219
0 10	46.23	217
0 58	44.77	232
0 12	39.30	234
0 48	38.26	222
3 32	36.69	234
3 62	36.21	239
3 58	35.20	233
2 56	35.10	246
2 20	34.26	259
2 58	33.45	247
0 60	32.67	223
2 62	32.64	251
3 54	32.62	242
2 6	32.55	244
2 42	32.48	241
3 0	32.37	236
2 46	31.90	254
3 42	31.59	230
2 52	31.49	242
3 2	31.29	231
3 44	31.23	237
3 52	31.15	239
0 20	30.76	227
3 48	30.48	235
2 18	30.36	250
2 48	30.24	259
3 40	30.09	239
2 40	30.04	252
3 12	29.88	238
3 34	29.81	236
2 50	29.80	247
3 30	29.70	235
3 36	29.69	235
3 16	29.64	237
3 4	29.62	237
3 6	29.59	241
3 38	29.26	236
2 54	29.05	245
2 28	28.76	247
2 10	28.70	262
2 8	28.58	247
3 22	28.56	239
2 38	28.28	248
3 8	28.25	232
2 30	28.12	246
2 14	27.95	245
3 14	27.94	228
3 18	27.73	247
2 12	27.69	259
3 20	27.62	244
2 24	27.53	237
2 32	27.29	255
3 28	27.28	242
3 24	27.09	236
2 36	26.44	247
2 44	26.11	252
2 60	25.22	242
3 26	24.72	226
3 56	22.01	228
2 22	21.84	247
3 10	21.41	236
3 50	20.96	235
1 2	20.86	237
1 56	20.52	241
1 30	20.52	241
1 58	20.34	243
2 26	20.22	241
2 16	18.92	249
1 4	18.85	248
1 24	18.72	235
3 46	18.22	237
1 46	17.92	245
1 48	17.69	248
1 52	17.64	237
1 60	17.61	240
1 50	17.53	234
1 40	17.35	235
1 32	17.05	242
2 34	16.93	241
1 36	16.82	246
1 44	16.62	234
1 34	16.57	227
1 38	16.10	229
1 26	15.88	246
1 22	15.83	235
1 28	14.91	236
1 6	14.87	241
1 10	14.60	242
1 18	14.48	236
1 20	14.30	237
1 8	14.30	229
1 14	13.87	239
1 42	12.96	236
1 62	12.06	237
1 54	11.93	225
1 16	10.04	247
1 12	9.06	240
0 5	5.46	237
0 3	5.44	241
0 11	5.38	229
0 1	5.31	236
0 9	5.23	231
0 7	5.16	221
0 13	5.14	233
0 63	5.01	235
0 17	4.99	231
0 19	4.98	233
0 23	4.96	237
0 41	4.91	225
0 33	4.88	233
0 31	4.87	237
0 21	4.87	230
0 53	4.86	235
0 57	4.84	228
0 51	4.83	230
2 1	4.81	249
0 45	4.81	230
0 55	4.78	219
0 35	4.77	233
0 59	4.77	218
0 25	4.75	225
0 43	4.75	228
0 29	4.74	226
2 15	4.74	244
0 39	4.73	227
0 37	4.73	222
0 61	4.72	230
0 27	4.68	230
0 49	4.67	223
0 47	4.64	222
2 3	4.56	256
2 9	4.56	233
2 5	4.56	243
2 23	4.54	254
2 7	4.53	254
2 31	4.52	249
2 63	4.51	243
2 61	4.51	247
2 17	4.47	247
2 19	4.46	247
2 55	4.46	245
2 25	4.44	254
2 43	4.44	254
2 47	4.43	240
2 29	4.42	251
2 45	4.42	266
2 21	4.42	249
2 59	4.42	251
2 27	4.40	245
2 51	4.39	247
2 11	4.37	247
2 13	4.36	254
2 35	4.36	248
2 39	4.36	243
2 53	4.36	238
2 37	4.33	252
2 57	4.32	246
2 49	4.32	245
2 41	4.26	255
2 33	4.24	238
0 15	4.21	235
1 63	4.06	230
1 45	4.00	243
1 59	3.98	247
1 57	3.97	235
1 61	3.93	238
1 47	3.91	241
1 51	3.89	237
1 29	3.88	249
1 55	3.87	232
1 53	3.87	240
1 49	3.84	243
1 25	3.84	245
1 43	3.82	240
1 15	3.81	240
1 35	3.80	232
1 31	3.80	239
1 3	3.80	242
1 21	3.80	234
1 11	3.79	236
1 41	3.79	234
1 33	3.78	240
1 37	3.76	243
1 9	3.75	245
1 7	3.74	232
1 23	3.74	241
1 39	3.73	230
3 15	3.71	243
1 19	3.70	238
1 13	3.69	242
1 5	3.66	238
3 7	3.65	242
1 17	3.63	241
3 59	3.63	240
3 3	3.59	240
3 57	3.56	237
1 27	3.56	232
3 63	3.56	240
3 21	3.55	232
3 17	3.55	230
3 5	3.54	238
3 33	3.54	240
3 35	3.53	236
3 61	3.51	232
3 1	3.50	230
3 43	3.48	234
3 41	3.47	248
3 45	3.47	242
3 53	3.47	230
3 23	3.46	235
3 31	3.46	232
3 55	3.45	226
3 51	3.45	234
3 39	3.45	234
3 19	3.45	227
3 47	3.44	231
3 25	3.44	238
3 11	3.43	229
3 13	3.43	226
3 9	3.43	232
1 1	3.42	232
3 37	3.42	240
3 29	3.39	230
3 49	3.39	241
3 27	3.35	229
