hg
Chip Chan	RMS
0 0	780.93	724
1 0	505.86	453
2 2	321.77	327
0 28	277.66	285
3 60	226.25	260
2 0	173.93	250
2 4	131.49	251
0 4	83.05	225
0 2	77.86	239
0 6	65.22	235
0 16	62.14	239
0 14	58.42	236
0 8	58.04	238
0 18	57.39	228
0 40	54.12	230
0 56	53.48	230
0 46	53.30	236
0 52	52.70	243
0 22	52.08	235
0 62	51.81	232
0 24	51.81	244
0 34	50.87	226
0 42	50.86	241
0 54	50.29	232
0 50	50.21	235
0 26	49.98	242
0 30	49.76	234
0 36	49.17	236
0 44	48.76	241
0 32	48.60	243
0 10	47.12	224
0 58	47.02	240
0 38	46.32	226
0 48	38.88	228
3 32	36.25	234
3 62	35.98	238
3 58	35.45	232
0 12	34.48	239
0 60	33.65	228
2 56	32.64	244
3 54	32.59	241
3 0	31.93	235
2 20	31.48	258
0 20	31.46	232
2 58	31.45	246
3 42	31.06	230
3 52	30.86	238
3 2	30.80	230
2 62	30.78	250
3 44	30.40	236
2 42	30.39	240
2 6	30.04	243
2 52	29.94	241
2 46	29.84	252
3 40	29.78	238
3 48	29.77	235
3 30	29.68	235
3 34	29.45	236
3 6	29.40	240
3 38	29.19	236
3 36	28.97	234
3 4	28.54	237
2 48	28.50	258
2 18	28.36	250
3 16	28.26	236
3 22	28.19	238
2 40	28.18	251
2 50	28.15	246
3 8	28.01	231
3 14	27.33	227
2 54	27.25	245
3 20	27.06	244
3 28	26.90	242
2 10	26.83	261
3 18	26.83	247
2 28	26.48	246
3 12	26.39	237
2 8	26.31	246
3 24	26.26	236
2 14	26.15	244
2 30	26.07	245
2 38	26.05	247
2 24	25.62	235
2 32	25.30	254
2 36	25.07	246
2 60	24.85	241
2 44	24.76	252
3 26	24.70	226
2 12	23.31	258
3 56	22.54	227
3 10	21.51	236
2 22	21.41	246
3 50	21.26	234
2 26	19.31	241
3 46	18.39	236
2 16	18.22	248
1 2	16.93	239
2 34	16.61	240
1 56	16.38	243
1 58	16.32	245
1 30	15.84	242
1 4	15.12	250
1 48	14.75	250
1 24	14.40	237
1 60	13.97	242
1 52	13.94	239
1 44	13.74	235
1 50	13.57	236
1 32	13.36	244
1 46	13.34	247
1 38	13.31	231
1 36	13.08	248
1 40	13.02	236
1 34	12.95	229
1 42	12.29	236
1 28	12.24	238
1 22	12.16	237
1 6	12.14	244
1 26	12.11	249
1 10	11.87	245
1 18	11.49	239
1 8	11.38	231
1 20	11.38	239
1 14	11.04	242
1 62	10.06	239
1 54	9.89	226
1 16	8.49	248
1 12	7.80	241
0 1	5.20	236
0 9	4.97	231
2 3	4.91	255
0 7	4.86	221
2 25	4.86	254
0 3	4.84	241
2 23	4.83	253
2 39	4.83	243
0 13	4.81	233
2 7	4.80	253
0 11	4.78	229
0 5	4.77	237
2 13	4.77	254
2 11	4.76	247
2 1	4.76	248
2 15	4.75	244
2 55	4.74	245
2 17	4.74	247
2 47	4.72	239
2 57	4.72	246
2 35	4.71	248
2 29	4.71	251
2 45	4.71	265
2 21	4.70	249
2 63	4.70	242
2 51	4.69	246
2 31	4.67	248
2 19	4.66	246
2 59	4.65	251
2 61	4.64	246
2 5	4.63	243
2 53	4.63	237
2 27	4.62	244
0 15	4.60	235
2 37	4.58	252
0 19	4.57	233
2 33	4.56	238
0 17	4.55	232
2 43	4.53	253
2 41	4.52	255
0 23	4.51	238
0 63	4.50	235
0 31	4.46	237
0 41	4.46	225
2 9	4.46	233
0 39	4.45	227
0 21	4.44	230
0 45	4.43	230
0 33	4.41	233
2 49	4.40	245
0 29	4.36	227
0 53	4.35	235
0 25	4.34	225
0 59	4.31	218
0 57	4.30	228
0 47	4.30	222
0 49	4.28	224
0 35	4.26	233
0 51	4.22	230
0 55	4.21	220
0 43	4.20	228
0 61	4.18	230
0 27	4.11	230
3 7	4.06	241
0 37	4.04	222
3 35	4.04	236
3 9	4.03	232
3 59	4.00	240
3 57	3.96	236
1 57	3.95	235
3 53	3.93	229
3 51	3.93	233
3 1	3.92	230
1 49	3.92	243
1 59	3.91	246
3 45	3.90	241
3 25	3.90	238
3 5	3.90	237
1 33	3.88	240
3 63	3.88	240
3 55	3.84	225
3 41	3.83	247
3 23	3.83	235
3 33	3.82	239
1 35	3.82	232
1 55	3.82	231
3 11	3.81	229
3 13	3.78	225
3 31	3.78	232
3 3	3.78	239
1 63	3.77	230
1 61	3.77	238
3 47	3.77	231
3 19	3.75	227
1 17	3.75	241
1 21	3.74	235
3 49	3.73	241
1 37	3.73	242
1 51	3.72	237
1 23	3.72	241
1 39	3.71	230
1 43	3.70	240
1 45	3.70	243
3 15	3.69	243
1 53	3.69	240
3 21	3.69	232
1 15	3.68	240
3 17	3.68	230
3 61	3.68	231
1 25	3.67	244
3 27	3.67	229
3 39	3.66	233
1 47	3.66	241
3 37	3.65	240
3 29	3.64	230
1 9	3.63	245
3 43	3.62	234
1 13	3.61	242
1 19	3.61	237
1 7	3.60	232
1 1	3.59	232
1 29	3.59	249
1 27	3.57	232
1 5	3.56	238
1 3	3.56	241
1 31	3.55	239
1 41	3.53	234
1 11	3.50	236
