hg
Chip Chan	RMS
0 0	784.41	679
1 0	515.24	481
2 2	330.49	345
0 28	276.13	288
3 60	228.36	271
2 0	185.03	258
2 4	143.14	257
0 4	81.93	215
0 2	76.22	229
0 6	65.61	226
0 16	62.32	230
0 8	60.78	228
0 14	60.40	226
0 18	58.90	218
0 22	55.76	228
0 40	55.72	220
0 46	54.89	226
0 52	54.44	234
0 62	53.93	222
0 56	53.83	220
0 24	53.11	235
0 34	52.84	216
0 42	52.62	232
0 54	51.61	222
0 50	51.54	227
0 30	51.50	225
0 36	50.46	227
0 44	50.21	232
0 26	50.16	234
0 32	50.03	234
0 38	47.93	218
0 10	47.36	217
0 58	47.22	232
0 12	40.37	234
0 48	39.22	222
3 62	38.61	242
3 32	38.29	238
3 58	38.20	236
2 56	36.58	249
2 20	35.70	262
2 58	35.67	251
3 54	34.80	245
2 42	34.35	245
3 0	34.34	240
2 62	33.99	255
2 6	33.97	248
3 42	33.95	234
0 60	33.66	223
3 44	33.65	241
3 52	33.45	242
2 46	33.30	257
3 2	33.29	234
2 52	33.20	245
3 40	32.42	242
3 30	32.31	239
2 48	31.95	263
3 48	31.91	238
3 6	31.82	244
3 12	31.81	240
2 40	31.81	255
3 34	31.80	240
2 50	31.75	250
0 20	31.70	227
2 18	31.66	254
3 38	31.63	239
3 4	31.60	241
3 16	31.44	240
3 36	31.27	238
3 22	30.77	242
3 14	30.59	231
3 8	30.41	235
2 8	30.22	250
2 54	30.01	248
2 10	29.99	265
2 14	29.88	248
3 28	29.65	246
3 18	29.61	250
3 24	29.56	239
2 28	29.48	250
3 20	29.36	247
2 38	29.18	251
2 30	29.16	250
2 24	29.13	240
2 12	28.82	262
2 32	28.64	257
2 44	27.65	256
2 36	27.56	250
3 26	26.71	229
2 60	25.09	244
3 56	23.42	230
3 10	22.81	238
2 22	22.35	250
3 50	22.31	237
2 26	20.91	243
1 2	20.30	239
1 58	20.19	245
2 16	19.65	250
3 46	19.54	238
1 56	19.50	243
1 30	19.45	243
1 4	18.00	250
1 24	17.97	237
2 34	17.53	242
1 48	17.08	250
1 46	17.03	247
1 50	16.76	236
1 40	16.28	236
1 60	16.24	242
1 36	16.18	248
1 52	16.17	239
1 34	15.94	229
1 38	15.74	230
1 44	15.56	235
1 32	15.47	244
1 26	15.03	248
1 22	14.69	237
1 28	14.56	238
1 6	14.09	243
1 20	13.97	238
1 10	13.73	243
1 8	13.66	230
1 18	13.40	237
1 14	13.12	241
1 42	13.12	237
1 54	10.99	225
1 62	10.78	238
1 16	9.01	247
1 12	8.23	240
0 1	5.10	235
0 5	5.08	237
0 3	4.98	241
2 15	4.94	244
0 9	4.92	231
0 7	4.88	221
0 11	4.83	229
0 17	4.79	231
0 13	4.78	233
2 3	4.77	256
0 63	4.72	234
0 23	4.70	237
2 13	4.69	253
2 1	4.69	248
2 5	4.68	243
2 57	4.67	246
0 21	4.66	229
2 9	4.60	233
2 31	4.60	248
2 51	4.60	246
2 61	4.59	247
2 19	4.59	246
0 45	4.59	230
2 43	4.59	254
2 23	4.59	253
2 11	4.58	247
0 19	4.57	233
2 33	4.57	238
2 21	4.57	249
2 7	4.57	253
2 55	4.57	245
2 47	4.57	240
2 59	4.56	251
2 25	4.56	254
0 53	4.55	235
0 57	4.55	228
2 39	4.54	243
2 53	4.53	237
2 37	4.52	252
2 35	4.52	248
2 41	4.52	255
0 33	4.50	233
2 45	4.50	266
2 49	4.50	245
2 63	4.49	243
0 31	4.48	237
0 25	4.46	225
0 61	4.46	229
2 29	4.46	251
0 37	4.45	221
0 55	4.45	219
0 27	4.43	230
0 51	4.43	230
2 17	4.43	247
2 27	4.42	245
0 29	4.42	226
0 41	4.41	225
0 43	4.41	228
0 39	4.41	226
0 35	4.37	233
0 49	4.36	223
0 47	4.35	221
0 59	4.35	217
1 9	3.95	245
1 45	3.93	243
1 59	3.90	247
0 15	3.88	234
1 61	3.87	238
1 57	3.86	235
1 55	3.85	232
1 51	3.82	237
1 39	3.81	230
1 37	3.81	242
1 29	3.81	249
1 17	3.80	241
1 53	3.79	240
1 33	3.79	240
1 25	3.79	244
1 43	3.78	240
1 47	3.77	241
1 31	3.76	239
1 49	3.74	243
1 7	3.72	232
1 19	3.69	237
1 23	3.69	241
1 11	3.69	236
3 47	3.69	231
3 59	3.68	240
1 63	3.68	230
1 3	3.68	241
3 15	3.68	243
1 41	3.67	234
1 27	3.67	232
3 37	3.67	240
1 35	3.66	232
1 21	3.66	235
3 3	3.65	240
1 1	3.64	232
3 25	3.63	238
3 57	3.63	237
1 15	3.63	240
3 39	3.63	234
3 35	3.62	236
3 63	3.62	240
3 5	3.61	238
1 13	3.61	242
1 5	3.60	238
3 49	3.57	242
3 43	3.56	234
3 7	3.56	241
3 1	3.55	230
3 45	3.55	242
3 21	3.54	232
3 31	3.54	232
3 11	3.54	229
3 53	3.53	230
3 61	3.52	232
3 19	3.52	228
3 41	3.51	248
3 13	3.51	226
3 9	3.50	232
3 51	3.50	233
3 27	3.47	229
3 55	3.46	226
3 23	3.41	235
3 29	3.40	230
3 17	3.40	230
3 33	3.38	240
