hg
Chip Chan	RMS
0 0	773.70	657
1 0	499.36	448
2 2	318.13	327
0 28	277.24	283
3 60	222.24	263
2 0	174.71	252
2 4	131.23	253
0 4	89.17	214
0 2	83.08	229
0 6	68.72	226
0 16	66.24	230
0 8	61.59	229
0 14	60.96	227
0 18	59.42	219
0 22	57.27	229
0 56	57.12	221
0 40	57.10	221
0 46	56.62	227
0 24	55.26	236
0 62	54.91	223
0 52	54.88	236
0 42	53.38	232
0 54	52.98	223
0 34	52.83	218
0 50	52.73	227
0 26	52.50	235
0 30	52.25	225
0 36	51.42	228
0 32	51.08	236
0 44	50.60	232
0 58	49.53	233
0 10	48.74	218
0 38	48.66	220
3 62	40.91	242
3 58	40.41	236
0 48	40.22	222
3 32	39.77	237
2 56	37.93	249
2 58	36.89	252
3 54	36.45	245
2 62	36.42	255
0 12	36.37	233
3 0	36.12	240
2 20	35.75	262
3 42	35.45	234
3 52	35.30	241
2 46	35.05	257
3 2	35.04	235
3 44	34.93	240
2 42	34.89	245
0 60	34.64	224
2 52	34.59	245
2 6	34.36	247
3 40	34.21	242
3 38	34.12	240
3 34	33.96	240
3 48	33.84	238
2 48	33.78	263
3 36	33.67	237
3 6	33.48	244
2 50	33.39	250
3 30	33.39	238
3 16	33.20	240
2 18	33.16	254
2 40	33.15	255
3 4	33.04	240
0 20	32.54	227
3 22	32.33	242
2 54	32.03	248
3 8	32.00	235
3 14	31.91	231
3 28	31.44	246
2 28	31.40	250
2 10	31.25	265
2 30	31.15	249
2 14	31.10	248
3 18	31.09	250
3 24	31.08	239
2 24	30.84	240
3 20	30.82	247
2 38	30.78	251
2 8	30.42	250
3 12	30.29	239
2 32	30.22	258
2 36	29.62	250
2 44	28.88	256
2 60	28.44	245
3 26	28.35	229
2 12	27.71	261
3 56	25.64	231
3 10	24.93	239
2 22	24.50	250
3 50	24.14	238
2 26	22.11	243
3 46	21.71	239
2 16	21.63	251
2 34	19.20	243
1 2	19.01	240
1 58	18.91	246
1 30	18.65	244
1 56	18.13	244
1 24	17.33	238
1 4	17.24	251
1 48	16.06	251
1 46	15.53	248
1 50	15.35	237
1 36	15.26	249
1 60	15.01	242
1 38	14.80	231
1 40	14.62	237
1 32	14.61	245
1 52	14.54	240
1 44	14.38	237
1 34	14.31	229
1 26	13.91	249
1 22	13.21	238
1 28	13.14	238
1 42	12.85	238
1 6	12.74	244
1 8	12.56	231
1 10	12.52	245
1 20	12.30	239
1 18	11.87	238
1 14	11.71	242
1 54	10.23	226
1 62	10.08	240
1 16	8.29	248
1 12	7.60	241
0 1	5.09	236
0 3	4.83	241
0 11	4.75	229
0 7	4.74	221
2 1	4.74	248
0 5	4.71	237
2 57	4.69	246
2 3	4.66	255
2 35	4.66	248
0 13	4.63	233
2 55	4.63	245
2 17	4.60	247
2 45	4.59	266
2 11	4.57	247
2 43	4.56	254
0 17	4.56	231
0 9	4.56	231
2 51	4.54	246
2 23	4.53	253
2 15	4.53	244
2 29	4.53	251
2 21	4.53	249
2 53	4.53	238
0 15	4.52	234
2 19	4.51	246
2 59	4.50	251
2 37	4.50	252
2 41	4.49	255
2 47	4.48	239
2 25	4.47	254
2 31	4.47	248
2 7	4.46	253
0 19	4.46	233
0 25	4.42	225
2 9	4.42	233
2 49	4.40	245
2 5	4.40	243
2 13	4.40	254
2 61	4.40	247
2 39	4.39	243
2 33	4.37	238
0 29	4.35	226
2 63	4.33	243
0 31	4.33	237
2 27	4.32	245
0 21	4.32	229
0 23	4.29	237
0 55	4.28	219
0 53	4.25	235
0 35	4.25	233
0 61	4.22	229
0 47	4.20	221
0 37	4.20	221
0 59	4.19	217
0 45	4.19	230
0 39	4.17	226
0 27	4.14	230
0 63	4.14	234
0 41	4.13	224
0 57	4.12	228
0 51	4.11	230
3 57	4.11	237
0 49	4.10	223
3 59	4.09	240
0 43	4.09	228
0 33	4.08	233
3 51	4.04	233
3 33	4.03	240
3 63	3.95	240
3 1	3.94	230
3 3	3.93	239
3 5	3.92	238
3 7	3.91	241
3 15	3.91	243
3 25	3.89	238
3 61	3.89	231
3 39	3.88	234
3 49	3.87	241
3 13	3.87	226
3 55	3.85	226
3 31	3.84	232
1 43	3.82	240
1 49	3.81	243
1 59	3.81	247
3 29	3.80	230
1 63	3.80	230
3 37	3.80	240
3 17	3.75	230
3 53	3.74	230
3 19	3.73	228
3 35	3.72	236
1 61	3.72	238
3 47	3.72	231
3 9	3.72	232
3 43	3.72	234
3 21	3.71	232
1 5	3.69	238
3 41	3.67	248
1 31	3.66	239
3 11	3.66	229
1 55	3.66	231
3 45	3.66	241
1 47	3.65	241
1 53	3.64	240
3 27	3.64	229
3 23	3.64	235
1 37	3.63	242
1 51	3.63	237
1 21	3.62	235
1 45	3.62	243
1 15	3.61	240
1 25	3.61	244
1 35	3.59	232
1 29	3.59	249
1 9	3.58	245
1 57	3.56	235
1 27	3.55	232
1 23	3.55	241
1 33	3.52	240
1 1	3.52	232
1 11	3.46	236
1 39	3.46	230
1 41	3.45	234
1 17	3.41	241
1 7	3.41	232
1 19	3.36	237
1 13	3.35	241
1 3	3.33	241
