hg
Chip Chan	RMS
0 22	25.03	240
0 0	19.89	232
3 18	16.69	254
1 28	15.10	263
0 28	14.98	239
1 0	14.97	256
1 46	14.89	256
1 4	14.82	249
0 4	14.75	240
1 30	14.74	258
1 32	14.72	257
1 22	14.69	254
1 20	14.68	253
1 34	14.62	255
1 56	14.58	261
1 14	14.57	263
1 2	14.56	251
1 36	14.53	256
1 8	14.52	252
1 24	14.51	258
1 10	14.43	257
3 28	14.39	254
3 32	14.38	243
1 26	14.33	251
3 22	14.23	253
0 56	14.21	252
1 50	14.21	252
3 44	14.19	243
1 52	14.15	255
1 6	14.14	257
3 30	14.13	245
1 38	14.12	264
1 58	14.09	249
1 48	14.08	257
3 14	14.07	260
1 40	14.07	253
3 24	14.03	239
3 12	13.96	251
0 58	13.93	240
1 18	13.90	254
1 60	13.90	250
3 8	13.88	250
3 54	13.79	245
3 38	13.75	247
0 46	13.73	254
0 42	13.71	249
3 40	13.66	254
3 36	13.66	252
3 20	13.66	247
3 58	13.65	253
0 38	13.64	247
3 48	13.64	240
3 34	13.63	241
3 0	13.62	243
2 2	13.60	247
2 46	13.57	248
3 16	13.54	247
0 40	13.54	247
3 2	13.52	250
0 6	13.52	247
0 44	13.52	253
3 42	13.51	243
0 2	13.46	249
3 6	13.45	248
2 62	13.45	256
2 48	13.39	252
0 26	13.39	254
3 4	13.38	257
3 60	13.38	234
0 52	13.37	245
0 54	13.32	251
0 24	13.30	246
3 62	13.29	246
0 14	13.29	239
0 36	13.29	252
0 50	13.28	242
2 58	13.27	247
2 14	13.25	249
0 62	13.25	235
2 44	13.24	251
2 28	13.22	254
0 8	13.20	249
2 8	13.18	239
1 44	13.18	256
2 52	13.18	250
2 24	13.15	246
2 40	13.15	260
2 20	13.13	244
3 52	13.12	250
2 54	13.10	250
0 18	13.10	252
2 18	13.04	243
2 4	13.01	244
3 26	12.97	238
0 34	12.96	244
0 16	12.93	246
2 6	12.92	253
2 38	12.92	256
2 56	12.88	251
2 42	12.84	247
0 30	12.84	240
2 50	12.82	250
2 32	12.80	241
0 32	12.76	244
2 36	12.73	233
2 0	12.69	240
2 10	12.44	240
2 30	12.44	245
2 12	12.20	240
1 62	10.29	267
1 16	10.11	254
1 54	9.98	252
3 10	9.75	254
3 50	9.39	248
3 56	9.29	255
0 48	9.27	247
0 12	8.95	243
2 22	8.87	245
0 10	8.76	251
2 26	8.68	236
1 12	8.67	251
2 60	8.66	244
3 46	7.78	252
0 20	7.47	240
0 60	7.44	236
2 34	7.31	239
2 16	7.27	243
1 42	5.69	257
1 5	3.49	266
3 61	3.38	249
3 9	3.36	250
3 53	3.34	247
3 57	3.33	252
3 23	3.32	254
3 37	3.32	251
3 31	3.32	252
3 13	3.32	255
3 15	3.31	254
3 35	3.31	246
1 53	3.30	261
3 59	3.30	246
3 29	3.30	246
3 55	3.29	242
3 39	3.28	240
3 1	3.27	263
3 7	3.26	242
1 39	3.25	255
1 61	3.25	261
3 5	3.24	248
1 25	3.24	251
1 57	3.24	257
3 27	3.22	239
3 19	3.22	245
3 49	3.21	241
1 33	3.21	260
3 43	3.21	248
3 63	3.19	247
1 13	3.19	250
1 41	3.19	256
3 51	3.18	237
1 21	3.17	257
1 37	3.17	262
3 47	3.16	237
3 17	3.16	241
1 7	3.16	255
3 41	3.14	244
3 11	3.14	247
3 21	3.14	246
1 29	3.13	254
3 33	3.13	237
3 3	3.13	240
1 59	3.13	254
1 51	3.12	249
3 45	3.12	244
1 63	3.10	252
1 1	3.09	252
3 25	3.09	239
1 43	3.08	254
1 31	3.08	255
1 49	3.08	248
1 23	3.07	254
1 47	3.06	253
1 15	3.06	255
1 9	3.05	246
1 19	3.05	255
1 55	3.03	250
1 45	3.02	251
1 35	3.00	250
1 3	3.00	243
1 17	2.96	248
1 27	2.96	248
0 17	2.89	246
1 11	2.86	249
0 57	2.84	244
0 53	2.81	252
0 61	2.80	243
0 3	2.80	237
0 23	2.75	243
0 11	2.74	238
0 41	2.73	236
0 5	2.73	246
0 45	2.71	246
0 13	2.71	253
0 27	2.71	243
0 1	2.71	239
0 21	2.70	235
0 37	2.70	245
0 59	2.69	233
0 19	2.69	256
0 47	2.68	243
0 43	2.67	244
0 29	2.67	242
0 31	2.66	237
0 15	2.65	239
0 55	2.65	248
0 39	2.65	237
0 25	2.64	228
0 7	2.60	241
2 35	2.60	248
2 3	2.58	246
0 49	2.58	239
0 51	2.58	233
2 43	2.58	254
2 57	2.58	249
0 33	2.58	239
2 63	2.56	251
0 9	2.56	237
0 63	2.56	240
2 41	2.56	246
2 5	2.55	243
2 9	2.54	249
2 51	2.52	245
2 33	2.51	244
2 23	2.50	246
2 1	2.49	239
2 49	2.49	247
0 35	2.49	240
2 47	2.48	243
2 37	2.46	243
2 11	2.46	239
2 19	2.46	243
2 53	2.45	243
2 27	2.45	246
2 29	2.45	246
2 31	2.44	242
2 7	2.44	242
2 55	2.39	237
2 17	2.39	241
2 25	2.34	240
2 39	2.34	236
2 59	2.33	237
2 21	2.33	240
2 13	2.31	237
2 15	2.29	231
2 61	2.29	237
2 45	2.26	232
