hg
Chip Chan	RMS
0 0	769.47	652
1 0	497.54	407
2 2	319.13	296
0 28	271.93	256
3 60	225.02	237
2 0	174.67	232
2 4	133.60	238
0 4	82.39	217
0 2	76.75	232
0 6	65.40	230
0 16	62.20	233
0 14	59.34	230
0 8	59.29	233
0 18	58.05	223
0 22	55.08	233
0 40	54.53	225
0 52	54.36	239
0 46	54.27	232
0 56	54.14	224
0 62	53.25	227
0 24	52.90	239
0 34	52.31	221
0 42	51.73	236
0 50	51.19	231
0 54	51.17	227
0 30	50.74	228
0 26	50.65	238
0 32	50.25	238
0 36	50.09	231
0 44	49.08	236
0 10	47.97	220
0 58	47.15	235
0 38	47.13	222
0 48	39.63	224
3 32	35.91	230
3 62	35.29	235
0 12	34.74	236
0 60	34.61	225
3 58	34.30	229
0 20	32.69	228
2 56	32.06	243
2 20	31.75	257
3 54	31.75	238
3 0	31.12	234
2 58	31.05	245
3 52	30.85	236
3 42	30.78	227
2 42	30.60	239
3 44	30.10	233
2 62	30.04	249
3 2	29.96	228
2 6	29.36	242
3 40	29.20	236
3 38	29.08	234
2 46	29.03	251
3 30	29.01	232
3 6	28.93	238
3 34	28.90	234
3 48	28.88	231
2 52	28.78	240
3 16	28.65	234
3 36	28.57	232
3 4	28.57	234
3 22	28.13	236
2 18	27.92	249
2 50	27.87	246
3 8	27.79	229
2 40	27.75	250
3 14	27.73	226
2 48	27.61	257
3 28	27.07	240
3 24	27.01	233
3 20	26.80	241
3 18	26.68	244
3 12	26.67	235
2 54	26.67	244
2 10	26.62	260
2 8	26.51	246
2 28	25.90	245
2 14	25.81	243
2 38	25.65	246
2 30	25.63	244
2 24	25.30	236
2 32	24.92	254
3 26	24.63	224
2 36	24.39	246
2 44	23.87	252
2 12	22.60	257
3 56	21.68	226
2 60	21.52	241
3 10	20.79	234
2 22	20.28	247
3 50	20.18	233
2 26	19.13	240
3 46	18.11	235
1 2	18.10	238
1 56	17.67	242
1 30	17.60	241
2 16	17.48	248
1 58	16.98	243
1 4	16.96	249
1 24	16.31	235
2 34	16.21	240
1 60	16.06	241
1 46	15.91	246
1 48	15.50	249
1 50	15.29	236
1 52	15.06	238
1 38	14.79	230
1 34	14.77	228
1 40	14.70	235
1 44	14.65	235
1 32	14.58	243
1 22	14.55	237
1 36	14.49	247
1 26	14.43	248
1 6	14.28	243
1 14	14.15	241
1 18	14.00	237
1 28	13.84	238
1 10	13.83	244
1 8	13.54	230
1 20	13.52	238
1 42	12.24	236
1 62	11.00	239
1 54	10.81	225
1 16	10.22	248
1 12	8.90	241
0 3	5.33	241
0 1	5.18	236
0 5	5.00	237
0 7	4.93	221
0 13	4.88	233
0 11	4.82	229
0 9	4.73	231
2 1	4.71	249
2 13	4.70	254
0 15	4.68	235
2 31	4.66	249
2 21	4.65	249
2 7	4.64	253
2 3	4.63	256
2 25	4.63	254
2 55	4.60	245
2 17	4.60	247
0 19	4.60	233
2 57	4.59	246
2 45	4.58	266
0 17	4.58	232
0 21	4.55	230
2 5	4.53	243
2 49	4.53	245
0 23	4.52	237
2 43	4.51	254
2 33	4.50	238
2 29	4.49	251
2 19	4.47	246
2 51	4.46	247
2 15	4.46	244
2 59	4.45	251
0 35	4.44	233
2 63	4.44	243
2 53	4.43	238
0 31	4.43	237
2 9	4.43	233
2 47	4.41	240
0 47	4.39	221
0 33	4.39	233
2 27	4.38	245
0 27	4.38	230
2 39	4.38	243
2 61	4.37	247
0 29	4.37	227
0 63	4.35	235
2 41	4.33	255
0 43	4.32	228
2 35	4.31	248
0 53	4.31	235
0 41	4.31	225
2 11	4.29	247
0 61	4.28	230
2 23	4.27	254
2 37	4.26	252
0 51	4.23	230
0 55	4.20	220
0 57	4.19	228
0 45	4.19	230
0 59	4.17	218
0 39	4.17	227
0 49	4.16	224
0 25	4.15	225
0 37	4.13	222
1 59	3.93	247
1 55	3.79	232
3 61	3.79	231
3 23	3.79	235
3 59	3.78	240
3 57	3.77	236
1 49	3.77	243
1 43	3.77	241
1 53	3.75	240
3 25	3.74	237
1 29	3.74	249
1 25	3.73	245
1 45	3.73	243
1 13	3.73	242
3 9	3.72	232
1 57	3.71	235
3 55	3.70	225
3 45	3.70	241
1 3	3.70	241
1 51	3.70	237
3 63	3.69	240
3 5	3.68	237
1 41	3.68	234
1 27	3.66	232
3 35	3.66	236
3 1	3.65	230
1 21	3.65	235
1 15	3.65	240
3 3	3.65	239
1 61	3.64	238
1 63	3.63	230
3 11	3.63	229
3 33	3.63	240
3 29	3.63	229
3 41	3.62	247
3 21	3.62	232
1 11	3.61	236
1 31	3.61	239
1 39	3.60	230
1 9	3.60	245
3 51	3.59	233
3 15	3.58	243
3 47	3.58	231
3 27	3.58	229
1 33	3.57	240
1 47	3.56	241
3 39	3.56	233
1 37	3.56	242
1 5	3.56	238
3 19	3.56	227
1 23	3.54	241
3 17	3.54	230
1 7	3.53	232
3 43	3.53	234
3 37	3.52	240
3 49	3.51	241
1 35	3.51	232
3 13	3.47	225
3 53	3.47	230
1 19	3.46	238
1 17	3.40	241
3 7	3.39	241
3 31	3.39	232
1 1	3.37	232
