hg
Chip Chan	RMS
0 0	727.64	621
1 0	474.38	409
2 2	301.79	301
0 28	264.82	263
3 60	213.37	248
2 0	163.17	245
2 4	123.57	246
0 4	84.48	211
0 2	78.87	225
0 6	66.24	224
0 16	64.05	227
0 14	59.33	224
0 8	58.47	226
0 18	58.18	217
0 22	56.35	225
0 56	55.56	218
0 40	54.65	220
0 46	54.37	224
0 52	53.30	232
0 62	53.28	221
0 24	52.85	234
0 34	52.13	215
0 42	51.60	230
0 30	51.36	223
0 54	51.21	221
0 50	50.79	225
0 26	50.78	233
0 36	50.00	226
0 32	49.74	233
0 44	49.33	231
0 58	48.14	230
0 38	47.99	218
0 10	46.05	216
3 62	43.77	241
3 58	43.02	235
3 32	42.20	236
2 56	40.68	249
3 54	40.54	245
2 58	40.01	250
3 0	39.53	240
0 12	39.39	232
2 62	39.26	255
3 52	39.21	241
3 42	39.12	233
3 2	38.91	234
2 46	38.44	257
3 44	38.41	239
2 42	38.35	244
2 20	38.24	262
0 48	37.91	220
3 12	37.75	240
3 40	37.59	241
3 6	37.43	244
3 36	37.42	238
3 48	37.35	237
2 6	37.31	247
3 34	37.21	239
3 38	37.17	239
3 4	37.17	240
2 52	37.08	245
3 30	37.01	238
2 18	36.69	254
3 16	36.62	240
2 48	36.53	262
2 50	36.37	250
3 22	36.18	241
3 8	36.16	234
2 40	35.97	255
3 24	35.49	238
3 14	35.33	231
3 28	35.15	245
2 54	35.11	249
3 20	34.87	247
2 10	34.84	265
3 18	34.82	250
2 28	34.64	250
2 38	34.31	251
2 8	34.29	250
2 30	34.09	249
2 14	33.90	248
2 24	33.59	239
2 12	33.42	262
2 32	33.18	258
2 36	32.92	250
0 60	32.73	222
2 44	32.62	256
3 26	31.74	228
0 20	31.12	225
2 60	29.21	245
3 56	27.25	230
3 10	26.23	238
3 50	25.65	237
2 22	25.59	250
1 2	24.83	239
1 30	24.22	243
1 58	24.15	244
2 26	24.08	243
1 56	23.67	243
1 4	23.41	250
1 24	23.28	236
1 48	22.39	250
3 46	22.37	238
1 36	22.26	248
1 46	22.17	247
2 16	22.07	251
1 50	22.00	236
1 38	21.92	231
1 60	21.77	242
1 32	21.59	244
1 52	21.58	240
1 34	21.44	230
1 40	21.36	237
1 26	20.57	249
1 28	20.56	238
1 44	20.51	236
1 22	20.38	237
2 34	20.10	243
1 20	20.07	238
1 8	19.58	231
1 10	19.51	244
1 18	19.50	238
1 14	19.32	242
1 6	19.25	243
1 54	13.96	226
1 62	13.67	239
1 42	13.34	236
1 16	12.25	248
1 12	9.53	241
0 1	5.27	235
0 5	5.05	237
0 3	5.02	241
0 13	4.98	233
2 15	4.95	244
0 7	4.94	221
0 9	4.90	231
0 11	4.89	229
2 13	4.81	254
2 9	4.81	233
0 23	4.81	237
2 19	4.81	246
0 17	4.75	231
2 5	4.74	243
2 61	4.73	247
2 37	4.72	252
2 29	4.72	251
2 17	4.70	247
2 51	4.70	246
2 21	4.69	249
2 11	4.67	247
2 55	4.64	245
2 1	4.64	248
2 7	4.63	253
2 23	4.61	254
2 47	4.61	240
2 63	4.61	243
2 27	4.59	245
2 45	4.58	266
0 25	4.58	225
2 59	4.58	251
2 3	4.57	256
2 41	4.55	255
0 29	4.55	226
0 63	4.53	235
2 57	4.53	246
0 35	4.53	233
2 31	4.51	248
2 25	4.50	254
2 39	4.50	243
2 49	4.49	245
0 31	4.47	237
0 27	4.46	230
0 21	4.43	230
0 19	4.42	233
2 35	4.42	248
2 33	4.39	238
2 43	4.37	254
0 33	4.35	233
0 39	4.35	227
0 51	4.33	230
0 45	4.31	230
0 41	4.31	225
0 43	4.30	228
2 53	4.29	238
0 55	4.29	219
0 37	4.25	222
0 47	4.23	222
0 53	4.23	235
3 63	4.22	240
0 49	4.21	224
0 57	4.20	228
0 61	4.18	229
3 57	4.15	237
0 15	4.14	235
3 3	4.14	240
0 59	4.13	218
1 49	4.03	243
3 15	4.02	243
3 59	3.99	240
1 29	3.97	249
3 55	3.96	226
1 45	3.96	243
1 43	3.96	240
1 53	3.95	240
3 25	3.91	238
3 5	3.89	238
3 35	3.89	236
1 63	3.89	230
3 41	3.89	248
3 7	3.87	241
3 51	3.87	233
1 47	3.86	242
3 19	3.85	227
3 27	3.85	229
3 37	3.85	240
1 9	3.85	245
3 13	3.84	226
1 15	3.84	240
1 25	3.83	244
1 17	3.83	241
1 37	3.83	243
3 47	3.82	231
1 51	3.82	237
3 9	3.82	232
1 57	3.82	235
3 17	3.81	230
3 1	3.81	230
3 53	3.81	230
3 21	3.81	232
1 41	3.81	234
3 45	3.81	242
3 11	3.80	229
3 49	3.80	241
3 43	3.78	234
1 23	3.78	241
3 33	3.77	240
3 61	3.75	231
1 5	3.75	238
1 35	3.75	232
1 11	3.74	236
3 23	3.74	235
1 61	3.73	238
3 39	3.73	234
3 31	3.71	232
1 55	3.71	232
1 33	3.70	240
1 59	3.70	247
3 29	3.69	230
1 31	3.69	239
1 27	3.67	233
1 39	3.67	230
1 7	3.59	232
1 3	3.59	241
1 19	3.59	237
1 13	3.57	242
1 21	3.49	234
1 1	3.46	233
