hg
Chip Chan	RMS
0 0	775.55	679
1 0	495.81	433
2 2	318.41	316
0 28	275.20	274
3 60	224.84	255
2 0	171.95	248
2 4	130.69	248
0 4	83.49	221
0 2	78.87	235
0 6	67.38	232
0 16	64.46	235
0 14	61.31	231
0 8	60.53	234
0 18	59.17	225
0 22	57.56	233
0 40	56.57	227
0 46	56.08	233
0 52	55.66	240
0 56	55.41	225
0 62	54.90	229
0 24	54.77	241
0 34	53.69	223
0 42	53.58	238
0 54	53.28	229
0 50	52.49	232
0 30	52.39	230
0 44	51.61	237
0 26	51.60	239
0 36	51.45	233
0 32	51.18	239
0 58	49.89	237
0 38	49.59	224
0 10	47.55	221
3 62	39.76	238
0 48	39.60	225
3 58	39.28	233
3 32	38.42	234
2 56	37.38	245
2 20	36.98	259
2 58	36.80	247
3 54	36.51	242
2 62	35.94	252
2 42	35.87	242
3 52	35.52	239
3 42	35.42	231
0 12	35.37	237
2 6	35.35	245
3 0	35.31	236
2 46	35.10	254
2 52	34.94	242
3 44	34.86	237
3 2	34.79	231
3 6	34.40	241
2 18	34.26	251
0 60	34.15	226
2 40	34.13	252
2 50	34.05	247
3 34	33.78	236
2 48	33.58	259
3 40	33.49	239
3 48	33.47	235
3 4	33.33	237
3 16	33.29	237
3 30	33.27	236
3 38	33.25	237
3 36	32.89	235
3 8	32.66	232
2 10	32.52	262
2 54	32.51	245
0 20	32.43	229
2 28	32.41	246
2 38	32.40	248
3 22	32.35	239
2 30	32.31	247
2 8	32.27	247
3 14	32.16	228
3 20	31.66	244
2 24	31.63	236
3 18	31.59	247
3 28	31.56	243
2 14	31.44	245
2 32	31.26	255
3 12	31.18	237
3 24	31.17	237
2 36	31.15	246
2 44	30.52	253
2 12	29.49	259
3 26	28.62	227
2 60	27.95	242
3 56	24.45	228
1 58	24.15	245
1 56	24.00	244
3 10	23.97	236
1 2	23.87	240
2 22	23.84	248
1 50	23.18	238
3 50	23.16	235
1 30	23.10	244
1 48	22.78	252
2 26	22.62	242
1 6	22.33	245
1 60	22.27	244
1 24	22.22	238
1 36	22.15	249
1 46	22.01	248
1 40	21.90	238
1 4	21.86	251
1 52	21.71	240
1 10	21.47	246
1 38	21.42	232
1 14	21.23	243
1 34	21.19	230
1 32	21.15	245
1 8	20.97	232
1 22	20.91	239
1 26	20.86	249
1 28	20.51	239
1 20	20.46	240
1 18	20.40	240
2 16	20.25	249
3 46	20.19	236
1 44	19.99	237
2 34	18.87	241
1 54	14.48	227
1 62	14.32	240
1 16	12.86	250
1 42	12.24	237
1 12	10.24	242
0 1	5.20	235
0 5	5.03	237
2 9	4.98	233
0 3	4.91	241
0 9	4.84	231
2 3	4.82	256
2 1	4.81	249
2 63	4.78	243
2 43	4.76	254
0 7	4.73	221
2 7	4.72	253
2 61	4.72	247
2 59	4.72	251
2 57	4.72	246
2 55	4.70	245
2 51	4.67	246
2 27	4.66	245
2 47	4.66	239
0 15	4.66	234
2 11	4.65	247
2 35	4.62	248
2 49	4.62	245
2 31	4.62	248
2 45	4.62	266
2 33	4.61	238
2 29	4.60	251
0 11	4.60	229
2 23	4.59	254
2 15	4.57	244
0 23	4.56	237
2 25	4.55	254
2 13	4.55	254
0 13	4.55	233
2 19	4.53	246
2 37	4.52	252
2 39	4.52	243
2 21	4.50	249
2 5	4.50	243
0 27	4.48	230
0 53	4.48	235
0 25	4.47	225
2 17	4.47	247
0 63	4.45	234
2 53	4.43	238
0 17	4.41	231
0 31	4.40	236
0 41	4.39	224
0 21	4.38	230
0 29	4.37	226
2 41	4.37	255
0 45	4.36	230
0 33	4.31	233
0 19	4.28	233
0 39	4.27	226
0 37	4.26	222
0 57	4.26	228
0 51	4.24	229
0 43	4.23	228
0 61	4.16	229
0 35	4.15	233
0 55	4.12	219
0 59	4.02	217
0 49	4.02	223
0 47	4.01	222
1 59	3.99	247
3 59	3.93	240
3 57	3.91	236
3 45	3.91	241
1 47	3.88	242
3 15	3.88	243
1 61	3.87	238
1 51	3.85	237
3 19	3.84	227
3 41	3.84	247
3 63	3.82	240
1 57	3.82	235
1 5	3.80	238
3 7	3.79	241
1 55	3.79	232
1 3	3.78	242
3 35	3.78	236
1 37	3.77	243
3 31	3.77	232
1 11	3.76	236
1 49	3.76	243
3 39	3.76	233
1 25	3.75	245
3 1	3.74	230
3 17	3.74	230
3 23	3.74	235
3 53	3.74	230
1 43	3.74	241
1 29	3.73	249
3 27	3.72	229
3 13	3.72	225
3 51	3.71	233
3 47	3.71	231
3 49	3.70	241
1 39	3.70	230
1 7	3.69	232
3 9	3.69	232
3 37	3.68	240
3 61	3.68	231
1 53	3.66	240
1 21	3.66	235
1 13	3.65	242
3 3	3.65	239
3 33	3.65	240
1 33	3.65	240
1 35	3.65	232
1 23	3.64	241
1 63	3.64	230
3 29	3.64	230
3 25	3.64	238
3 21	3.62	232
1 27	3.62	233
3 43	3.60	234
3 5	3.59	238
1 41	3.58	234
1 45	3.58	243
3 55	3.58	225
1 17	3.57	241
1 15	3.57	240
3 11	3.56	229
1 19	3.53	238
1 9	3.52	245
1 1	3.51	233
1 31	3.51	239
