hg
Chip Chan	RMS
0 0	976.79	781
2 18	946.95	817
2 28	941.36	811
2 10	940.42	812
2 40	938.81	809
2 20	937.03	810
2 44	935.97	808
2 48	934.49	809
2 36	933.69	805
2 50	933.32	805
2 42	931.73	800
2 12	930.41	804
2 8	930.33	803
2 54	929.54	800
2 38	929.18	801
2 52	928.69	799
2 46	927.34	801
2 30	926.46	798
2 6	925.60	796
2 58	925.37	798
2 62	925.22	799
2 32	924.79	799
2 24	921.89	793
2 56	920.61	792
2 14	918.88	792
0 24	917.31	786
2 2	915.33	784
0 26	912.87	782
2 4	912.68	794
0 52	908.91	778
0 22	908.80	777
1 0	906.99	733
0 16	905.68	774
0 14	905.50	773
0 44	905.42	776
0 40	905.26	773
0 38	903.65	772
0 18	903.29	770
0 36	903.17	773
0 56	902.14	770
0 30	901.62	770
0 32	901.06	773
0 42	900.36	772
0 6	898.41	767
0 54	898.22	768
0 8	898.03	769
0 58	897.71	770
3 52	897.12	769
0 4	896.75	766
3 44	896.29	768
0 46	896.25	768
0 62	896.18	767
3 48	896.12	767
0 2	895.97	767
3 38	895.22	766
0 50	895.08	766
2 0	895.00	779
3 62	894.16	766
3 42	893.91	763
3 58	893.78	765
0 34	893.02	762
3 28	892.55	767
3 18	889.48	765
3 4	889.45	763
3 16	889.14	762
3 22	888.64	763
3 6	888.35	763
3 54	887.67	762
0 28	887.60	764
1 14	887.59	766
3 2	887.50	759
3 36	886.68	760
3 40	884.56	759
1 48	883.25	764
3 24	883.07	758
3 20	883.02	759
3 12	883.00	759
3 30	882.62	757
3 14	882.23	755
1 10	882.17	761
1 40	880.49	760
3 34	880.10	755
3 8	879.91	754
1 4	879.61	761
1 36	879.28	762
1 58	878.99	760
1 60	877.24	757
3 32	876.61	751
1 26	876.42	759
1 2	876.41	755
3 0	875.16	751
1 56	874.59	755
3 60	874.44	757
1 6	873.91	755
1 50	873.67	754
1 46	873.52	756
1 22	872.06	752
1 8	871.41	751
1 30	871.21	752
1 52	870.23	751
1 20	870.15	751
1 18	869.53	750
1 24	869.26	750
1 28	867.45	749
1 32	867.21	751
1 34	865.30	745
1 38	864.59	746
3 26	805.07	695
1 44	764.21	666
2 22	510.37	476
2 26	507.51	471
2 60	505.85	471
0 12	498.12	461
3 50	490.91	456
0 48	490.67	454
0 10	488.42	450
3 10	483.79	451
3 56	481.58	446
1 62	481.49	449
1 16	475.79	448
1 54	475.19	440
2 16	377.23	377
2 34	373.70	370
0 20	368.14	362
0 60	366.88	359
3 46	363.12	360
1 12	357.14	357
1 42	184.89	237
2 63	14.44	239
2 57	14.39	243
2 47	14.33	236
2 53	14.31	234
2 51	14.30	243
2 55	14.28	242
2 59	14.25	247
2 61	14.18	243
2 49	14.09	242
2 43	14.04	250
2 45	14.02	262
0 53	14.00	232
0 57	13.95	225
2 41	13.94	251
2 37	13.93	249
0 63	13.90	232
2 39	13.86	240
0 55	13.84	217
0 51	13.80	227
2 35	13.74	244
0 59	13.68	215
2 33	13.66	235
2 31	13.65	245
0 45	13.64	227
0 49	13.63	221
1 49	13.62	241
0 61	13.61	227
0 41	13.56	222
1 57	13.55	233
0 47	13.55	219
0 43	13.53	225
0 39	13.49	224
0 35	13.45	230
2 29	13.45	248
1 63	13.41	228
1 61	13.38	236
1 51	13.37	235
0 37	13.36	219
2 25	13.34	251
1 47	13.30	239
0 33	13.30	230
3 59	13.29	237
0 25	13.27	223
2 27	13.26	241
2 23	13.25	250
3 63	13.24	237
0 31	13.23	234
0 27	13.22	227
1 59	13.19	244
1 53	13.15	238
3 61	13.08	228
1 45	13.08	241
0 23	13.08	235
3 55	13.08	222
1 55	13.07	230
2 21	13.06	246
2 17	13.06	244
1 41	13.06	232
2 19	13.05	243
3 57	13.01	233
3 51	12.99	230
1 37	12.99	240
0 29	12.98	224
3 53	12.97	227
2 13	12.94	251
3 47	12.93	228
0 21	12.92	227
1 43	12.91	238
3 41	12.89	244
3 43	12.88	231
1 39	12.87	228
2 15	12.83	241
2 9	12.82	230
1 35	12.81	230
1 31	12.80	237
2 11	12.79	244
0 19	12.79	230
1 29	12.75	247
3 49	12.73	238
0 17	12.73	229
3 45	12.73	238
3 35	12.73	233
1 33	12.67	238
2 5	12.66	240
3 29	12.66	226
1 27	12.65	230
1 23	12.62	239
3 39	12.61	230
1 25	12.57	242
3 31	12.54	229
3 27	12.52	226
1 21	12.52	233
0 15	12.51	232
2 7	12.51	250
0 7	12.47	219
0 9	12.47	229
3 37	12.45	237
3 33	12.43	237
3 25	12.42	235
0 5	12.35	235
0 11	12.35	227
3 23	12.31	232
3 17	12.31	227
0 13	12.30	231
1 19	12.25	236
3 21	12.24	229
0 3	12.22	238
2 3	12.19	253
1 11	12.14	234
3 19	12.14	224
1 15	12.13	238
1 7	12.04	230
1 13	12.02	240
2 1	12.02	246
3 13	11.99	222
1 17	11.85	239
1 3	11.85	240
3 9	11.77	229
3 7	11.74	238
1 9	11.72	243
3 11	11.71	226
3 15	11.68	240
1 5	11.66	236
0 1	11.66	233
3 5	11.54	235
1 1	11.44	231
3 3	11.35	236
3 1	11.30	227
