hg
Chip Chan	RMS
0 0	749.45	595
1 0	467.67	390
2 2	302.54	288
0 28	260.83	247
3 60	214.24	234
2 0	167.21	230
2 4	126.07	238
0 4	83.05	212
0 2	77.68	227
0 6	66.05	226
0 16	62.69	229
0 8	60.03	229
0 14	59.73	226
0 18	57.99	220
0 22	56.48	228
0 46	55.47	228
0 40	55.42	222
0 56	54.54	221
0 52	54.00	235
0 62	53.61	223
0 24	52.76	236
0 42	52.24	233
0 54	52.17	223
0 34	51.79	218
0 50	51.23	228
0 30	51.08	225
0 36	50.64	228
0 26	50.21	235
0 44	50.04	233
0 32	49.31	235
0 10	48.33	217
0 38	48.11	219
0 58	46.84	231
0 48	39.71	222
0 12	35.62	234
3 62	35.04	237
3 32	34.81	232
3 58	34.62	230
0 60	33.93	222
2 56	33.70	244
2 58	32.74	245
0 20	32.40	226
3 54	31.97	240
2 62	31.55	250
2 20	31.47	257
2 42	30.96	240
2 46	30.74	253
3 0	30.56	235
3 42	30.53	229
2 52	30.32	241
2 6	30.26	243
3 52	30.16	237
3 2	29.84	229
3 44	29.75	235
2 40	29.48	251
2 48	29.12	258
2 18	29.04	249
3 40	28.97	237
2 50	28.95	245
3 48	28.93	233
3 6	28.85	239
3 30	28.56	233
3 34	28.55	235
3 4	28.30	235
3 36	28.27	233
3 16	28.17	235
3 38	28.14	235
2 54	28.13	244
2 10	27.56	260
2 38	27.54	247
3 8	27.37	230
2 28	27.35	246
2 30	27.22	245
2 8	27.15	246
3 22	27.14	237
2 14	26.98	244
3 28	26.96	241
3 14	26.94	226
2 24	26.69	235
3 18	26.47	245
2 32	26.18	253
2 60	26.12	241
3 20	26.10	242
3 24	25.96	235
2 36	25.69	245
3 12	25.52	235
2 44	25.31	252
2 12	23.86	257
3 26	23.49	225
3 56	21.99	227
2 22	21.88	247
3 10	21.42	236
3 50	20.99	235
2 26	20.02	241
2 16	19.28	248
3 46	18.38	236
1 58	17.63	244
2 34	17.38	241
1 2	17.11	238
1 56	16.91	242
1 30	16.21	242
1 4	15.09	250
1 48	14.99	250
1 24	14.91	236
1 46	14.85	247
1 50	14.80	236
1 60	14.75	242
1 52	14.48	239
1 34	14.29	229
1 32	14.24	244
1 38	14.08	230
1 36	14.07	247
1 40	13.73	236
1 44	13.53	235
1 22	12.68	237
1 26	12.44	248
1 10	12.30	245
1 6	12.29	243
1 28	12.10	238
1 42	12.07	236
1 20	11.88	238
1 18	11.74	238
1 8	11.73	231
1 14	11.62	242
1 62	10.20	240
1 54	9.97	227
1 16	8.72	249
1 12	7.47	241
0 3	5.15	240
0 5	5.05	236
0 11	4.93	228
0 1	4.91	235
0 17	4.91	231
0 15	4.88	234
0 7	4.85	220
0 9	4.85	230
0 23	4.80	237
0 13	4.79	233
2 1	4.66	249
2 23	4.64	254
0 63	4.64	234
2 49	4.64	246
2 63	4.60	243
2 25	4.59	255
2 31	4.59	249
2 21	4.56	249
2 27	4.56	245
2 15	4.56	244
2 53	4.56	238
2 3	4.55	256
2 19	4.55	246
0 25	4.54	224
0 33	4.54	232
2 9	4.54	233
0 55	4.53	219
2 5	4.53	244
2 43	4.53	254
0 53	4.53	234
2 55	4.52	246
2 33	4.52	239
2 13	4.51	254
0 21	4.50	229
0 31	4.50	236
2 37	4.48	253
2 61	4.48	247
2 59	4.46	251
2 7	4.45	254
2 17	4.44	247
2 39	4.43	243
2 35	4.43	248
2 41	4.43	255
0 61	4.42	229
0 35	4.42	232
0 41	4.42	224
2 45	4.40	266
0 27	4.39	229
2 47	4.39	240
0 19	4.36	232
2 29	4.36	251
0 51	4.35	229
0 47	4.34	221
0 29	4.34	226
2 57	4.34	247
0 49	4.31	223
2 51	4.31	247
0 37	4.29	221
0 59	4.28	217
0 43	4.24	227
2 11	4.23	248
0 45	4.20	229
0 39	4.17	226
0 57	4.16	227
1 61	3.84	238
3 57	3.78	236
3 55	3.78	226
3 15	3.76	243
1 53	3.74	240
3 37	3.73	240
3 17	3.73	230
1 63	3.72	230
3 59	3.72	240
3 13	3.72	226
3 19	3.71	228
1 59	3.70	247
1 45	3.69	243
3 63	3.68	240
3 39	3.68	233
3 1	3.67	230
1 29	3.67	249
1 57	3.66	236
3 61	3.64	232
1 43	3.64	241
1 51	3.64	237
3 29	3.64	230
1 35	3.63	232
3 3	3.63	240
1 11	3.62	236
3 53	3.62	230
3 5	3.61	238
1 49	3.61	243
1 17	3.61	242
3 27	3.60	229
3 21	3.60	232
3 7	3.59	241
1 5	3.59	238
1 27	3.58	233
3 9	3.58	232
1 25	3.57	245
3 25	3.56	238
1 15	3.55	240
1 9	3.55	246
1 41	3.54	234
1 47	3.54	242
3 35	3.54	236
1 19	3.54	238
3 23	3.52	235
1 21	3.52	235
3 51	3.52	234
3 49	3.51	241
1 23	3.51	241
1 13	3.51	242
1 3	3.49	242
3 45	3.49	242
3 41	3.49	248
1 55	3.48	232
3 31	3.48	232
3 47	3.47	231
1 33	3.47	240
3 43	3.46	234
3 33	3.45	240
1 7	3.43	232
3 11	3.39	229
1 39	3.38	230
1 31	3.38	239
1 1	3.35	233
1 37	3.28	243
