hg
Chip Chan	RMS
0 0	770.77	694
1 0	491.61	453
2 2	310.55	321
0 28	276.87	281
3 60	220.74	257
2 0	171.70	247
2 4	135.20	251
0 4	98.56	219
0 2	93.27	233
0 6	79.30	229
0 16	77.98	233
0 14	73.50	228
0 8	72.45	232
0 18	71.64	222
0 56	70.17	224
0 40	69.52	224
0 46	68.88	230
0 22	68.87	231
0 24	68.55	238
0 52	68.38	237
0 62	67.29	226
0 54	66.24	225
0 42	66.23	235
0 34	66.06	220
0 26	65.97	237
0 50	65.83	229
0 30	65.24	227
0 36	65.00	229
0 44	64.78	234
0 32	64.75	237
0 58	63.21	234
0 38	62.69	221
3 58	55.70	232
3 32	55.17	234
3 62	55.16	238
3 44	53.01	237
2 56	52.47	244
3 54	52.31	241
2 58	52.25	245
0 10	52.17	220
2 20	52.02	257
3 52	51.95	238
3 0	51.72	235
3 42	51.67	229
2 62	51.59	249
3 48	51.54	234
3 2	51.24	231
2 46	51.07	252
3 30	51.02	235
3 12	50.99	237
3 40	50.90	238
2 42	50.83	239
2 52	50.80	240
2 50	50.74	245
2 6	50.70	242
2 18	50.63	249
3 34	50.59	236
3 36	50.40	234
3 6	50.33	240
3 38	50.24	236
3 16	50.07	236
2 48	50.05	257
2 40	49.97	250
3 22	49.91	239
3 8	49.84	231
3 28	49.66	241
3 4	49.46	236
3 14	49.43	227
2 8	49.34	246
2 28	49.17	244
3 18	49.11	246
2 54	48.85	243
3 24	48.77	235
2 30	48.65	244
2 14	48.62	243
2 10	48.56	259
3 20	48.52	243
2 38	48.45	246
2 32	48.28	253
2 24	48.11	235
2 36	48.00	244
2 12	47.96	257
2 44	47.55	251
0 12	45.86	236
0 48	44.82	224
3 26	44.29	225
1 2	42.92	236
1 58	42.91	242
1 56	42.29	240
1 4	42.12	247
1 30	42.06	240
1 50	41.93	233
1 24	41.87	234
1 48	41.75	248
1 60	41.48	239
1 36	41.36	245
1 14	41.34	239
1 38	41.26	227
1 40	41.13	233
1 10	41.01	241
1 46	40.97	244
1 6	40.95	241
1 26	40.93	245
1 52	40.90	236
1 20	40.82	236
1 22	40.78	235
1 34	40.73	226
1 8	40.73	228
1 32	40.71	241
1 28	40.32	235
1 18	40.26	235
0 60	37.51	225
1 44	36.44	233
0 20	35.99	229
2 60	33.77	240
3 56	31.38	227
3 10	30.73	236
3 50	30.57	235
2 22	30.37	246
2 26	29.02	240
2 16	25.25	248
3 46	24.88	236
2 34	22.94	240
1 62	22.05	237
1 54	22.00	224
1 16	21.40	246
1 12	16.15	239
1 42	13.85	236
0 1	5.49	235
0 7	5.07	221
0 5	5.06	237
0 3	5.02	241
2 15	5.01	244
2 61	4.96	246
2 5	4.96	243
2 1	4.95	249
2 37	4.94	252
0 13	4.94	233
2 13	4.90	253
2 17	4.89	247
2 55	4.87	245
2 63	4.87	242
2 29	4.87	251
0 9	4.86	231
2 43	4.85	253
2 3	4.84	255
2 47	4.84	239
2 53	4.83	237
2 35	4.82	248
0 17	4.82	231
2 59	4.81	251
0 11	4.79	229
2 11	4.78	247
2 45	4.77	266
2 7	4.77	253
2 57	4.77	246
2 51	4.75	246
2 41	4.75	254
2 19	4.75	246
2 33	4.73	238
2 25	4.72	254
0 19	4.70	233
2 23	4.68	253
2 49	4.67	245
2 9	4.67	233
2 27	4.65	245
0 35	4.64	233
2 39	4.62	243
2 21	4.59	249
0 23	4.58	237
0 41	4.56	225
0 31	4.53	237
0 29	4.53	227
0 21	4.53	230
0 27	4.53	230
0 63	4.51	235
2 31	4.51	248
0 51	4.47	230
0 25	4.46	225
0 33	4.41	233
0 49	4.40	223
0 43	4.39	228
0 47	4.38	222
0 59	4.36	218
3 59	4.35	240
0 45	4.34	230
0 53	4.31	235
0 15	4.30	235
0 55	4.28	219
0 57	4.22	228
0 39	4.22	227
3 15	4.19	243
3 25	4.17	237
0 37	4.16	222
3 53	4.16	229
3 61	4.16	231
3 51	4.13	233
3 55	4.11	225
0 61	4.10	230
3 63	4.09	240
3 41	4.09	247
3 35	4.08	236
3 1	4.08	230
3 7	4.02	241
3 39	4.01	233
3 49	4.01	241
3 5	4.00	238
3 45	3.98	241
3 3	3.97	239
3 9	3.97	232
3 57	3.96	237
3 47	3.96	231
3 43	3.96	234
3 31	3.95	232
3 21	3.95	232
3 11	3.92	229
3 13	3.91	225
1 63	3.90	230
3 29	3.90	230
3 17	3.89	230
1 49	3.89	243
3 33	3.88	240
3 23	3.87	235
1 35	3.86	232
1 55	3.85	232
1 59	3.85	247
3 37	3.84	240
3 19	3.82	227
1 45	3.82	243
1 53	3.80	240
3 27	3.78	229
1 51	3.77	237
1 41	3.74	234
1 43	3.73	240
1 57	3.73	235
1 29	3.72	249
1 47	3.70	241
1 11	3.69	236
1 19	3.69	237
1 39	3.68	230
1 5	3.68	238
1 1	3.67	232
1 25	3.67	244
1 17	3.66	241
1 7	3.66	232
1 33	3.65	240
1 61	3.65	238
1 37	3.61	242
1 23	3.60	241
1 31	3.59	239
1 21	3.58	235
1 13	3.55	242
1 3	3.55	241
1 27	3.52	232
1 9	3.52	245
1 15	3.51	240
