hg
Chip Chan	RMS
0 0	748.53	651
1 0	499.26	433
2 2	318.10	304
0 28	281.93	269
3 60	224.86	247
2 0	181.57	242
2 4	158.15	243
0 2	133.04	234
0 4	132.01	222
0 16	126.08	234
3 42	125.79	226
0 14	125.50	232
0 6	125.46	232
1 30	124.94	242
3 2	124.87	227
3 22	124.78	235
1 32	124.58	243
0 18	124.58	226
3 40	124.53	235
0 8	124.21	235
3 62	124.08	234
3 54	124.01	238
3 20	123.90	240
0 52	123.53	240
3 38	123.30	232
0 54	123.04	228
0 24	122.96	240
1 46	122.94	246
0 22	122.85	234
1 48	122.63	250
3 0	122.58	232
3 34	122.57	232
1 40	122.25	235
1 52	122.21	239
1 60	121.87	242
3 52	121.71	235
3 16	121.67	233
3 18	121.64	244
3 4	121.57	233
3 14	121.49	224
1 24	121.46	236
0 30	121.39	230
3 36	121.34	231
0 26	121.33	239
2 42	121.32	238
1 34	121.30	228
0 34	121.30	222
1 2	121.25	238
1 26	121.24	247
0 62	121.24	229
1 38	121.17	230
1 50	121.12	235
0 36	121.12	232
3 32	121.02	229
3 30	121.01	231
3 28	120.74	238
0 32	120.64	239
1 4	120.60	249
0 42	120.59	237
1 36	120.59	247
3 24	120.32	232
0 56	120.18	226
2 40	120.04	249
3 48	120.03	231
0 40	119.96	227
0 38	119.87	224
1 22	119.32	237
2 62	119.31	248
3 8	119.27	228
0 44	119.16	237
3 44	119.04	232
1 28	118.66	237
2 10	118.38	259
0 46	118.33	232
2 56	118.32	242
2 6	117.87	241
3 6	117.83	237
1 56	117.81	242
1 20	117.79	238
0 50	117.51	233
2 46	117.22	251
2 38	117.22	246
2 30	117.15	243
2 52	117.12	239
1 58	116.77	244
1 18	116.74	238
3 58	115.65	228
2 36	115.61	245
2 28	115.47	244
1 14	115.46	242
2 54	115.14	243
0 58	115.05	237
3 26	114.91	223
2 18	114.80	247
2 20	114.79	255
1 44	114.67	235
1 8	114.66	230
2 44	114.51	251
2 58	114.42	244
2 32	114.06	252
1 6	113.77	243
2 48	113.55	256
1 10	113.37	244
2 24	113.30	234
2 50	112.81	244
2 8	111.67	245
2 14	108.33	242
0 10	94.47	221
3 12	92.72	231
1 54	89.76	227
1 62	89.64	240
3 50	88.57	235
0 48	88.30	225
3 56	88.10	227
2 12	87.25	256
3 10	87.19	235
2 26	86.62	240
2 60	86.28	241
1 16	85.27	249
2 22	84.72	247
0 60	75.06	226
0 20	73.49	230
0 12	71.90	237
2 34	71.05	241
3 46	70.71	237
1 12	69.42	242
2 16	68.38	248
1 42	46.15	237
2 51	9.15	247
2 55	9.12	246
2 49	9.10	246
2 59	9.09	251
2 7	9.03	254
2 61	9.00	247
2 57	8.99	247
2 63	8.99	243
2 43	8.95	254
2 3	8.94	256
2 41	8.94	255
2 5	8.93	244
2 39	8.92	243
2 37	8.92	253
2 35	8.86	248
2 27	8.82	245
2 45	8.82	266
2 15	8.81	244
2 19	8.81	247
2 1	8.80	249
2 9	8.79	234
2 33	8.77	239
2 23	8.77	254
2 53	8.76	238
1 59	8.75	247
2 17	8.73	247
2 25	8.72	255
2 47	8.71	240
2 13	8.69	254
2 11	8.68	248
2 21	8.65	250
2 31	8.64	249
1 53	8.62	241
2 29	8.61	251
1 57	8.50	236
3 59	8.48	241
1 51	8.48	238
1 43	8.43	241
1 37	8.41	243
3 63	8.40	241
1 47	8.40	242
1 63	8.39	231
1 61	8.39	239
1 49	8.39	244
3 19	8.38	228
3 29	8.37	230
3 61	8.35	232
0 1	8.34	236
3 43	8.33	235
1 35	8.32	233
1 33	8.32	241
3 31	8.31	233
1 39	8.31	230
1 25	8.29	245
1 41	8.29	235
3 53	8.28	230
3 3	8.28	240
1 55	8.27	232
3 55	8.26	226
3 41	8.26	248
1 21	8.25	235
1 29	8.25	250
3 35	8.23	236
1 45	8.23	244
3 9	8.22	233
3 25	8.21	238
3 47	8.20	231
3 5	8.20	238
3 37	8.20	241
3 57	8.18	237
3 49	8.18	242
1 7	8.18	232
1 23	8.18	242
3 13	8.16	226
1 15	8.15	241
1 19	8.15	238
3 39	8.14	234
1 27	8.13	233
3 7	8.13	242
1 13	8.12	242
3 45	8.12	242
3 17	8.11	231
3 11	8.11	230
1 9	8.10	246
3 27	8.09	229
3 33	8.08	240
3 51	8.08	234
1 3	8.07	242
1 31	8.06	240
3 21	8.05	233
3 1	8.05	231
1 11	8.00	236
3 15	8.00	243
3 23	7.99	236
0 3	7.98	241
1 5	7.91	239
1 17	7.91	242
0 5	7.86	237
0 13	7.85	234
0 7	7.83	221
0 31	7.82	237
1 1	7.81	233
0 11	7.80	230
0 9	7.79	231
0 21	7.70	230
0 19	7.69	233
0 61	7.67	230
0 23	7.66	238
0 35	7.63	234
0 63	7.62	235
0 59	7.60	218
0 25	7.58	226
0 15	7.57	235
0 53	7.55	236
0 27	7.54	230
0 37	7.54	222
0 57	7.54	228
0 17	7.53	232
0 47	7.51	222
0 41	7.51	225
0 51	7.50	230
0 45	7.50	231
0 39	7.49	227
0 55	7.43	220
0 43	7.41	229
0 29	7.40	227
0 49	7.40	224
0 33	7.33	233
