hg
Chip Chan	RMS
0 0	796.69	714
1 0	524.51	474
2 2	337.40	339
0 28	272.10	282
3 60	229.77	266
2 0	189.65	256
2 4	151.35	255
0 4	84.72	223
0 2	81.03	236
0 6	76.37	233
0 14	74.80	233
0 8	74.70	236
0 16	73.98	237
0 18	73.80	226
0 22	73.28	235
0 40	72.27	228
0 46	71.45	234
0 52	71.30	242
0 24	70.66	242
0 62	70.65	230
0 54	70.26	230
0 34	70.15	224
0 42	69.75	239
0 56	69.65	227
0 36	69.50	234
0 30	69.50	232
0 50	69.40	234
0 26	69.06	241
0 32	69.00	241
0 44	68.77	239
0 38	67.90	225
0 58	65.49	238
2 20	65.00	261
2 56	64.98	248
2 42	64.46	244
2 6	64.17	246
2 52	63.91	244
2 18	63.65	253
2 46	63.58	256
2 58	63.47	249
2 40	63.39	254
2 62	63.31	253
3 32	63.25	236
2 48	63.09	261
2 10	63.05	264
3 62	63.02	241
2 50	62.94	249
2 28	62.86	249
2 8	62.80	250
2 30	62.37	249
2 38	62.10	250
2 54	62.09	247
2 12	61.98	261
3 58	61.89	235
2 32	61.89	257
2 14	61.71	247
2 36	61.66	249
2 44	61.65	255
2 24	61.60	239
3 42	61.58	233
3 54	61.54	244
3 2	61.33	233
3 44	61.21	239
3 52	61.17	241
3 48	60.94	238
3 4	60.81	239
3 0	60.72	239
3 38	60.67	239
3 40	60.45	242
3 36	60.40	237
3 30	60.35	238
3 6	60.31	244
3 22	60.31	241
3 34	60.30	239
3 12	60.30	240
1 2	60.27	239
3 16	60.19	239
3 14	60.17	231
3 18	60.07	250
1 58	60.05	245
1 56	59.97	243
3 8	59.93	234
3 28	59.91	245
1 30	59.79	243
3 20	59.78	247
1 4	59.56	251
3 24	59.54	238
1 48	59.41	251
1 46	59.23	248
1 60	59.21	243
1 36	59.15	249
1 50	59.00	237
1 24	58.97	238
1 40	58.73	238
1 26	58.62	249
1 32	58.58	245
1 10	58.57	245
1 22	58.26	238
1 52	58.05	240
1 38	58.04	231
1 14	57.78	243
1 34	57.72	230
1 20	57.70	240
1 8	57.64	232
1 6	57.62	244
1 28	57.31	239
1 18	57.20	239
3 26	54.09	229
1 44	52.39	236
0 10	50.13	222
0 12	45.24	238
0 48	44.28	226
2 60	38.18	243
2 22	36.94	248
2 26	36.29	242
0 60	35.96	227
3 56	34.99	229
3 50	34.73	236
3 10	34.71	237
0 20	34.71	230
1 62	32.76	239
1 54	32.61	226
1 16	31.23	248
2 16	28.25	249
2 34	27.04	241
3 46	26.15	237
1 12	23.16	241
1 42	15.46	236
0 3	5.60	241
0 7	5.54	221
0 11	5.53	229
0 1	5.53	236
0 5	5.49	237
0 9	5.49	231
0 13	5.41	234
0 17	5.38	232
0 23	5.34	238
0 19	5.29	233
0 51	5.28	230
0 53	5.27	235
0 55	5.23	220
0 41	5.22	225
0 63	5.19	235
0 31	5.18	237
0 21	5.16	230
0 27	5.16	230
0 25	5.16	225
0 45	5.15	230
0 57	5.15	228
0 33	5.12	233
0 35	5.12	233
0 49	5.09	224
0 43	5.05	228
0 61	5.05	230
0 37	5.05	222
0 59	5.02	218
0 39	5.01	227
0 47	4.99	222
0 29	4.98	227
2 15	4.74	244
0 15	4.58	235
2 29	4.53	251
2 7	4.53	253
2 57	4.50	246
2 1	4.50	248
2 47	4.50	240
2 41	4.49	255
2 45	4.44	266
2 53	4.43	238
2 25	4.43	254
2 5	4.40	243
2 3	4.40	256
2 27	4.40	244
2 43	4.38	254
2 49	4.37	245
2 13	4.37	254
2 17	4.37	247
2 23	4.36	253
2 51	4.35	247
2 35	4.35	248
2 21	4.35	249
2 31	4.35	248
2 39	4.34	243
2 61	4.33	247
2 33	4.32	238
2 9	4.32	233
2 11	4.32	247
2 55	4.29	245
2 19	4.29	246
2 63	4.28	243
2 59	4.25	251
1 57	4.19	236
2 37	4.16	252
1 45	4.09	243
1 61	4.06	239
1 51	4.03	237
1 63	4.01	230
1 5	3.99	238
1 39	3.97	230
1 55	3.97	232
1 29	3.96	250
1 49	3.96	243
1 43	3.95	241
1 37	3.94	243
1 59	3.93	247
1 53	3.92	240
1 21	3.91	235
1 41	3.90	235
1 9	3.90	246
1 17	3.89	242
1 31	3.88	239
1 35	3.87	232
1 15	3.87	241
1 3	3.87	242
1 19	3.86	238
1 47	3.86	242
1 33	3.86	241
1 23	3.85	241
1 27	3.85	233
1 25	3.82	245
1 13	3.81	242
1 11	3.80	236
1 7	3.77	232
1 1	3.64	233
3 59	3.63	240
3 49	3.56	241
3 63	3.55	240
3 7	3.50	241
3 61	3.50	232
3 25	3.49	238
3 45	3.49	242
3 55	3.48	226
3 53	3.46	230
3 51	3.45	234
3 43	3.45	234
3 11	3.44	229
3 57	3.44	237
3 31	3.42	232
3 5	3.42	238
3 3	3.41	240
3 33	3.40	240
3 17	3.40	230
3 39	3.39	233
3 21	3.39	233
3 23	3.38	235
3 27	3.37	229
3 19	3.36	227
3 1	3.36	230
3 37	3.35	240
3 47	3.35	231
3 41	3.29	248
3 29	3.27	230
3 15	3.27	243
3 9	3.24	232
3 35	3.21	236
3 13	3.17	226
