hg
Chip Chan	RMS
0 0	781.32	642
1 0	519.18	431
2 2	349.43	321
0 28	310.27	280
3 60	253.88	259
2 0	226.92	259
2 4	211.66	255
1 30	209.78	243
1 32	208.65	243
1 46	208.02	245
1 48	208.00	247
1 26	206.99	245
0 24	206.87	233
1 60	206.68	242
1 4	206.34	247
0 14	206.33	227
0 2	206.09	230
0 52	205.78	234
1 52	205.35	239
0 8	205.06	229
0 16	205.04	230
1 2	204.91	239
1 24	204.39	237
0 26	204.04	231
0 22	203.60	227
0 18	203.58	222
0 54	203.58	225
1 36	203.46	244
1 40	203.09	236
2 10	203.07	254
1 50	202.95	236
0 6	202.86	226
1 22	202.27	236
2 40	202.25	246
1 20	202.09	237
1 58	201.92	242
1 28	201.82	236
1 56	201.74	241
1 18	201.53	236
0 32	201.47	232
1 34	201.35	230
2 42	201.09	238
0 42	200.83	230
0 62	200.78	224
0 4	200.69	219
1 38	200.49	230
0 44	200.45	230
0 30	200.18	224
1 10	200.04	241
0 36	199.94	226
3 20	199.83	232
1 14	199.66	238
2 12	199.44	250
2 6	198.66	240
0 56	198.39	221
0 38	198.32	220
3 18	198.21	234
2 30	198.08	241
3 40	198.07	228
1 6	198.07	240
2 38	198.00	242
3 22	197.99	228
0 34	197.70	219
0 40	197.08	222
1 8	197.00	230
0 50	196.63	225
3 28	196.44	230
3 42	196.18	222
2 56	196.16	240
0 46	196.05	226
3 34	195.97	225
2 32	195.85	247
2 36	195.76	240
2 28	195.64	240
0 58	195.43	230
3 38	195.39	225
3 30	195.08	224
2 62	194.91	243
3 54	194.75	229
2 44	194.67	245
3 2	194.41	221
2 20	194.30	250
2 46	194.20	246
2 54	194.07	238
3 24	193.90	225
3 16	193.81	225
3 4	193.38	225
3 36	193.37	223
2 52	193.31	236
3 32	192.97	223
1 44	192.58	232
3 44	192.41	224
3 0	192.32	224
3 48	192.24	223
2 18	192.23	243
3 52	192.09	226
3 14	191.65	219
3 62	191.44	225
3 8	190.75	221
3 12	189.78	224
2 48	189.43	249
2 24	188.73	231
2 58	188.66	239
2 8	188.46	239
3 6	186.40	226
3 26	185.20	216
2 50	184.62	238
2 14	183.33	236
3 58	178.96	218
0 12	158.86	223
0 10	150.76	209
1 62	150.59	230
1 54	148.79	218
0 48	144.97	213
1 16	144.49	240
3 50	143.51	220
2 26	143.24	232
3 56	140.67	213
2 22	139.80	239
3 10	138.14	221
2 60	137.74	232
0 60	119.63	215
0 20	118.57	217
1 12	113.82	234
2 34	113.67	234
2 16	107.59	242
3 46	104.15	224
1 42	62.22	233
2 15	15.84	243
3 15	15.69	242
0 15	14.67	234
2 55	11.76	245
2 57	11.71	246
2 63	11.71	242
2 59	11.70	250
2 61	11.70	246
2 29	11.50	250
2 45	11.49	265
2 53	11.49	237
2 49	11.47	245
2 27	11.46	244
2 11	11.45	247
2 39	11.43	242
2 41	11.43	254
2 37	11.40	252
2 47	11.40	239
2 43	11.39	253
2 23	11.38	253
2 51	11.36	246
2 7	11.36	253
2 13	11.35	253
2 19	11.35	246
2 25	11.34	254
2 3	11.34	255
2 31	11.31	248
2 21	11.29	248
2 9	11.29	233
1 61	11.28	238
2 35	11.26	247
2 33	11.25	238
2 5	11.25	243
3 55	11.24	225
2 1	11.24	248
3 63	11.21	239
2 17	11.19	246
3 47	11.18	230
1 57	11.17	235
3 61	11.16	231
3 57	11.15	236
3 59	11.15	240
1 59	11.12	246
1 47	11.12	241
3 53	11.10	229
1 55	11.04	231
1 45	11.00	243
1 43	11.00	240
1 49	10.99	243
1 53	10.98	240
0 1	10.96	235
1 63	10.94	230
3 23	10.94	234
3 37	10.93	239
3 51	10.92	233
1 41	10.92	234
3 49	10.89	241
3 29	10.89	229
3 19	10.88	227
3 17	10.88	230
1 51	10.87	237
1 39	10.86	230
3 45	10.85	241
3 13	10.84	225
3 1	10.83	230
3 43	10.82	233
3 3	10.82	239
3 27	10.81	228
3 21	10.81	232
3 41	10.81	247
0 25	10.80	225
3 5	10.80	237
0 3	10.80	240
3 33	10.79	239
0 11	10.79	229
1 35	10.78	232
0 5	10.78	236
3 31	10.77	232
3 25	10.77	237
3 39	10.77	233
0 7	10.76	220
0 13	10.76	233
1 27	10.75	232
0 59	10.75	217
0 55	10.75	219
3 9	10.74	232
3 11	10.73	228
1 33	10.70	240
0 63	10.70	234
0 53	10.69	234
0 21	10.69	229
3 7	10.67	241
1 21	10.66	234
0 57	10.66	227
0 23	10.65	237
0 31	10.64	236
3 35	10.64	235
0 45	10.63	230
0 61	10.63	229
1 37	10.63	242
0 9	10.62	230
0 51	10.62	229
0 35	10.62	233
1 25	10.62	244
1 13	10.61	241
0 17	10.60	231
1 29	10.59	249
0 27	10.59	229
1 17	10.59	241
0 37	10.58	221
1 31	10.56	239
0 33	10.55	232
1 15	10.54	240
0 49	10.53	223
1 23	10.53	241
0 39	10.53	226
0 41	10.52	224
1 19	10.51	237
1 5	10.51	238
0 43	10.49	228
0 19	10.48	232
0 47	10.48	221
1 11	10.47	236
1 7	10.47	232
1 9	10.46	245
0 29	10.44	226
1 3	10.37	241
1 1	10.08	232
