hg
Chip Chan	RMS
0 0	791.31	721
1 0	516.09	467
2 2	330.65	334
0 28	286.18	289
3 60	228.61	265
2 0	179.99	252
2 4	136.87	252
0 4	90.38	223
0 2	84.21	237
0 6	70.44	233
0 16	67.17	236
0 14	63.21	233
0 8	62.77	236
0 18	60.97	226
0 22	59.35	235
0 56	58.57	227
0 40	58.25	228
0 46	57.91	234
0 52	57.03	241
0 24	56.40	241
0 62	56.40	228
0 34	55.16	223
0 42	55.00	238
0 54	54.16	229
0 30	53.95	231
0 26	53.84	240
0 50	53.80	233
0 36	52.77	233
0 32	52.54	241
0 44	52.07	238
0 58	50.99	238
0 38	50.14	224
0 10	48.94	222
3 62	42.82	238
3 58	42.44	233
0 12	41.94	238
3 32	41.73	234
0 48	41.02	226
2 56	39.66	245
3 54	39.42	242
3 0	38.67	236
3 42	38.41	230
2 58	38.23	247
3 52	38.08	239
2 62	38.00	250
3 44	37.90	237
2 20	37.73	259
3 2	37.27	231
2 46	37.22	253
3 48	36.89	235
2 42	36.77	241
3 40	36.68	239
3 12	36.35	237
3 34	36.31	236
2 52	36.30	241
2 6	36.15	244
3 30	36.01	236
3 38	35.92	236
3 6	35.88	241
2 48	35.80	259
3 36	35.69	235
2 40	35.45	251
3 4	35.41	237
3 16	35.35	237
2 18	35.21	251
2 50	35.00	246
0 60	34.81	227
3 22	34.72	239
3 8	34.56	232
3 14	34.03	228
2 54	33.95	245
3 28	33.78	242
3 18	33.75	248
2 10	33.35	261
3 20	33.35	244
3 24	33.22	236
2 28	33.09	246
0 20	32.94	230
2 30	32.90	246
2 38	32.79	248
2 14	32.70	245
2 24	32.52	236
2 8	32.49	247
2 12	31.95	258
2 32	31.60	254
2 36	31.22	247
2 44	30.91	253
3 26	30.56	227
2 60	29.27	241
3 56	26.75	227
3 10	25.37	236
2 22	25.27	247
3 50	24.99	235
2 26	23.08	240
1 2	22.79	237
1 30	22.21	241
3 46	22.20	236
1 58	22.15	243
2 16	21.88	248
1 56	21.77	241
1 24	21.06	235
1 4	20.98	249
1 48	20.21	249
1 46	20.07	245
2 34	19.91	240
1 50	19.83	235
1 60	19.49	241
1 40	19.39	235
1 32	19.37	243
1 52	19.22	238
1 36	19.10	247
1 38	19.07	229
1 34	18.79	227
1 44	18.58	234
1 26	18.22	247
1 22	17.91	236
1 28	17.32	237
1 10	17.19	243
1 6	17.18	242
1 20	16.94	238
1 8	16.93	229
1 18	16.84	237
1 14	16.49	241
1 42	13.25	235
1 54	12.90	225
1 62	12.63	237
1 16	10.70	247
1 12	9.10	240
2 15	5.14	244
0 1	5.07	235
0 3	5.00	241
2 61	4.99	246
2 53	4.88	237
0 5	4.88	237
2 45	4.87	266
2 41	4.86	254
2 1	4.85	248
2 23	4.84	253
2 19	4.83	246
2 5	4.80	243
2 47	4.80	239
2 59	4.80	251
2 7	4.80	253
2 43	4.79	253
2 49	4.79	245
2 25	4.79	254
2 33	4.78	238
0 7	4.77	221
2 17	4.76	247
2 13	4.76	253
2 3	4.76	255
2 35	4.76	248
2 63	4.75	242
2 55	4.75	245
2 9	4.74	233
2 57	4.74	246
2 29	4.73	251
2 21	4.73	249
0 11	4.73	229
2 11	4.72	247
0 9	4.71	231
2 51	4.69	246
2 27	4.69	244
2 39	4.69	242
2 37	4.67	252
0 13	4.62	234
2 31	4.62	248
0 17	4.56	232
0 21	4.51	230
0 23	4.50	238
0 19	4.49	233
0 39	4.47	227
0 37	4.42	222
0 25	4.41	225
0 33	4.41	233
0 31	4.39	237
0 27	4.35	230
0 53	4.34	235
0 63	4.34	235
0 35	4.33	233
0 41	4.32	225
0 59	4.32	218
0 43	4.30	228
0 29	4.29	227
0 51	4.29	230
0 45	4.26	230
0 61	4.25	230
0 49	4.25	224
0 57	4.24	228
0 47	4.23	222
0 55	4.23	220
0 15	4.09	234
3 7	4.03	241
3 3	4.01	239
3 59	3.98	240
3 63	3.98	240
3 45	3.95	241
3 33	3.95	240
3 57	3.95	236
3 61	3.94	231
3 11	3.94	229
3 55	3.94	225
3 5	3.92	238
3 1	3.90	230
3 15	3.90	243
3 43	3.88	234
1 53	3.88	240
1 61	3.87	238
3 49	3.87	241
1 45	3.87	243
3 27	3.87	229
3 19	3.87	227
3 25	3.86	238
1 49	3.86	243
3 9	3.86	232
3 17	3.86	230
3 21	3.85	232
3 47	3.84	231
3 53	3.84	230
3 37	3.83	240
3 23	3.83	235
1 51	3.83	237
1 59	3.82	246
3 31	3.82	232
1 47	3.80	241
1 23	3.80	241
3 39	3.79	233
3 51	3.78	233
3 41	3.77	247
3 13	3.77	225
1 29	3.75	249
1 57	3.74	235
1 33	3.74	240
1 11	3.73	236
3 29	3.73	230
3 35	3.73	236
1 41	3.72	234
1 55	3.71	231
1 9	3.70	245
1 37	3.69	243
1 21	3.68	234
1 31	3.68	239
1 63	3.65	230
1 19	3.65	237
1 43	3.65	240
1 27	3.63	232
1 39	3.62	230
1 5	3.60	238
1 25	3.60	244
1 7	3.58	232
1 13	3.56	242
1 17	3.56	241
1 35	3.53	232
1 3	3.53	241
1 15	3.48	240
1 1	3.38	232
