hg
Chip Chan	RMS
0 0	740.86	643
1 0	477.99	416
2 2	303.33	302
0 28	265.24	263
3 60	214.03	242
2 0	165.55	237
2 4	127.14	242
0 4	86.32	214
0 2	81.06	228
0 6	67.25	227
0 16	64.59	229
0 14	60.16	227
0 8	59.66	230
0 18	58.43	220
0 22	56.01	229
0 40	55.64	222
0 56	55.46	221
0 46	54.90	229
0 52	54.45	236
0 24	53.82	236
0 62	53.78	224
0 34	52.90	218
0 42	52.32	233
0 54	51.83	223
0 50	51.69	228
0 30	51.65	226
0 26	51.44	235
0 36	50.26	228
0 44	50.12	233
0 32	49.80	236
0 58	48.63	232
0 38	48.26	219
0 10	46.84	218
3 62	41.57	236
3 58	41.00	230
3 32	40.75	231
0 12	40.55	234
0 48	39.12	222
3 54	38.87	239
2 56	37.84	243
3 52	37.53	236
2 62	37.08	249
3 42	36.90	228
2 58	36.80	245
3 0	36.76	234
3 44	36.59	234
3 2	36.00	229
2 20	35.68	258
3 48	35.65	232
3 40	35.52	238
2 42	35.47	239
3 12	35.46	235
2 46	35.27	252
3 30	35.15	232
3 6	35.12	239
3 34	35.09	234
2 52	35.03	240
3 36	34.89	233
3 38	34.58	233
3 16	34.57	234
2 48	34.32	258
3 4	34.32	235
2 50	34.21	245
2 6	34.04	242
3 8	34.04	229
2 18	33.70	250
2 40	33.69	250
3 22	33.48	236
0 60	33.44	223
3 14	33.32	226
3 24	33.25	234
2 54	33.11	244
3 28	33.03	240
3 20	32.80	242
3 18	32.51	245
2 30	32.00	246
2 38	32.00	247
2 28	31.98	246
2 10	31.95	260
2 24	31.71	235
2 8	31.63	245
0 20	31.59	227
2 14	31.39	243
2 44	30.65	251
2 32	30.59	253
2 12	30.53	258
2 36	30.46	245
3 26	29.58	225
2 60	27.83	241
3 56	25.91	226
3 50	24.49	233
3 10	24.46	235
2 22	24.23	247
1 30	22.54	240
1 58	22.42	242
1 56	22.37	240
1 2	22.31	235
2 26	22.23	240
3 46	21.84	235
1 48	21.51	248
2 16	21.28	248
1 24	21.22	234
1 4	21.19	247
1 50	20.67	234
1 38	20.62	229
1 36	20.53	246
1 60	20.43	240
1 52	20.16	236
1 46	20.15	245
1 40	20.03	234
1 32	19.85	241
1 34	19.36	227
1 44	19.17	233
2 34	19.15	241
1 26	18.88	246
1 22	18.85	235
1 28	18.75	236
1 20	18.57	236
1 6	18.21	241
1 14	18.01	239
1 10	17.82	242
1 18	17.63	236
1 8	17.39	228
1 62	13.11	237
1 42	13.07	235
1 54	12.92	225
1 16	11.28	247
1 12	9.36	240
2 1	4.94	248
2 63	4.90	242
2 9	4.84	233
2 7	4.82	253
0 1	4.79	235
2 23	4.74	254
2 43	4.74	253
2 3	4.73	255
2 15	4.73	244
2 57	4.70	246
2 29	4.69	251
2 17	4.69	247
2 21	4.67	249
2 53	4.66	238
2 41	4.65	255
2 49	4.63	245
2 37	4.63	252
2 25	4.63	254
2 19	4.62	246
2 39	4.61	243
2 45	4.61	266
2 59	4.61	251
2 51	4.59	247
2 61	4.59	247
2 5	4.58	243
0 5	4.57	237
2 11	4.56	247
2 13	4.56	254
0 3	4.56	241
2 35	4.56	248
2 55	4.54	245
2 27	4.53	245
0 7	4.48	221
2 47	4.48	240
2 33	4.48	238
0 9	4.47	231
2 31	4.42	249
0 19	4.29	233
0 13	4.22	233
0 27	4.20	230
0 17	4.13	231
0 11	4.13	229
0 43	4.11	228
0 21	4.09	230
3 3	4.08	239
0 63	4.07	234
3 57	4.06	236
0 23	4.05	238
0 41	4.04	224
0 57	4.03	228
0 25	4.01	225
0 29	4.01	227
3 15	3.99	243
0 37	3.97	222
0 53	3.96	235
0 59	3.96	218
3 47	3.95	231
0 49	3.94	224
0 31	3.93	237
1 59	3.93	246
0 33	3.93	233
3 61	3.92	231
0 51	3.92	230
3 7	3.92	241
3 45	3.91	241
3 63	3.91	240
0 55	3.90	220
0 47	3.89	222
3 55	3.88	225
1 61	3.87	238
3 59	3.86	240
0 39	3.86	227
0 15	3.84	234
3 35	3.83	236
3 37	3.83	240
3 33	3.82	240
3 39	3.81	233
1 45	3.80	243
3 5	3.79	238
3 25	3.77	238
0 35	3.77	233
3 17	3.76	230
3 31	3.76	232
0 45	3.76	230
3 41	3.75	247
3 49	3.74	241
3 43	3.74	234
1 53	3.73	240
1 55	3.73	231
1 63	3.73	230
3 27	3.72	229
3 29	3.71	230
1 57	3.71	235
3 51	3.71	233
3 53	3.69	230
3 23	3.69	235
0 61	3.68	229
1 49	3.67	243
1 31	3.67	239
1 35	3.66	232
3 1	3.64	230
1 51	3.64	237
1 3	3.64	241
1 11	3.64	236
3 11	3.63	229
1 13	3.63	241
3 13	3.62	226
1 33	3.62	240
1 25	3.62	245
3 21	3.62	232
1 15	3.61	240
1 23	3.60	241
3 19	3.59	228
1 17	3.59	241
1 21	3.58	235
1 43	3.58	240
1 29	3.57	249
1 5	3.57	238
1 27	3.56	232
1 9	3.54	245
1 37	3.53	242
3 9	3.52	232
1 19	3.51	237
1 39	3.49	229
1 47	3.47	241
1 41	3.46	234
1 7	3.45	232
1 1	3.41	232
