hg
Chip Chan	RMS
0 0	707.97	567
1 0	458.44	397
2 2	300.94	313
0 28	263.75	274
3 60	215.80	264
2 0	183.18	262
2 4	164.52	261
0 4	141.43	229
0 2	140.00	242
0 16	135.17	242
0 6	135.14	239
2 18	135.03	261
0 24	134.39	248
0 14	134.35	239
2 28	133.91	256
0 22	133.73	241
2 20	133.25	269
0 18	133.25	233
0 40	133.11	235
2 50	133.06	257
0 26	133.04	247
0 52	133.04	248
0 8	133.00	242
2 40	132.95	262
2 48	132.92	269
2 8	132.89	258
2 42	132.81	251
2 10	132.63	271
0 56	132.61	234
2 44	132.61	262
2 36	132.40	257
2 46	132.20	264
0 44	131.99	245
2 52	131.99	252
2 58	131.98	257
2 62	131.97	260
2 54	131.95	255
0 46	131.73	240
2 38	131.58	258
0 42	131.54	245
0 36	131.51	240
2 12	131.50	268
0 62	131.42	236
2 30	131.25	256
2 56	131.20	255
2 6	131.08	254
0 30	131.02	238
0 32	130.96	247
2 24	130.93	247
2 32	130.85	264
0 58	130.84	244
0 54	130.76	236
2 14	130.74	255
0 38	130.58	232
0 50	130.51	239
0 34	130.08	230
3 58	128.30	242
3 62	128.07	248
3 44	128.04	246
3 48	127.87	244
3 52	127.73	248
3 38	127.15	246
3 42	127.11	240
3 28	126.92	252
3 4	126.40	246
3 2	126.22	241
3 54	126.17	251
3 40	126.17	248
3 22	126.16	248
3 6	126.15	250
3 16	126.12	246
3 36	125.97	244
3 18	125.84	256
3 12	125.73	246
3 32	125.55	243
3 30	125.47	245
3 24	125.38	245
3 14	125.25	237
3 34	125.02	245
3 8	124.99	241
3 20	124.96	253
1 14	124.53	250
3 0	124.38	245
1 48	123.95	258
1 36	123.88	256
1 40	123.79	245
1 58	123.30	252
1 10	123.26	252
1 4	123.04	257
1 2	122.91	246
1 60	122.84	250
1 56	122.82	250
1 26	122.59	256
1 50	122.56	244
1 6	122.53	251
1 24	122.35	245
1 46	122.26	254
1 30	122.10	250
1 8	121.99	239
1 22	121.97	245
1 52	121.75	247
1 38	121.73	239
1 20	121.70	247
1 18	121.50	246
1 34	121.44	237
1 32	121.42	251
1 28	121.42	246
3 26	113.72	235
1 44	106.07	242
0 10	75.92	223
0 12	73.50	239
0 48	72.88	228
2 60	70.99	246
2 22	70.36	251
2 26	69.06	245
3 50	67.37	239
3 10	66.80	240
3 56	66.68	232
1 62	64.02	242
1 54	63.95	229
1 16	62.90	251
0 60	54.69	227
0 20	54.03	230
2 16	50.49	252
2 34	49.23	244
3 46	48.36	239
1 12	44.89	243
1 42	20.11	236
0 1	4.81	236
0 3	4.71	241
0 5	4.60	237
0 11	4.46	229
0 13	4.41	233
0 7	4.40	221
2 15	4.38	244
0 9	4.37	231
2 61	4.35	247
0 31	4.33	237
0 19	4.31	233
2 7	4.30	253
0 63	4.30	235
0 17	4.29	231
2 3	4.29	255
0 57	4.28	228
0 43	4.28	228
0 27	4.28	230
0 53	4.27	235
0 33	4.25	233
2 47	4.24	239
0 23	4.22	237
2 55	4.22	245
0 25	4.21	225
0 29	4.20	227
2 11	4.19	247
2 31	4.19	248
2 29	4.19	251
2 45	4.19	266
2 43	4.18	253
0 35	4.18	233
2 9	4.18	233
2 57	4.17	246
2 13	4.17	253
2 63	4.17	243
2 19	4.17	246
2 23	4.17	254
2 41	4.17	255
2 25	4.16	254
0 59	4.16	218
0 55	4.16	220
2 27	4.15	245
0 61	4.14	230
2 21	4.14	249
2 1	4.14	248
2 33	4.14	238
0 45	4.14	230
2 17	4.13	247
2 51	4.13	247
2 49	4.13	245
2 59	4.10	251
2 37	4.10	252
0 21	4.10	230
2 39	4.10	243
0 37	4.10	222
0 39	4.08	227
2 5	4.07	243
0 15	4.05	234
0 47	4.05	222
0 41	4.04	225
0 51	4.03	230
2 53	4.02	237
0 49	4.00	224
2 35	4.00	248
3 15	3.76	243
3 57	3.74	236
3 43	3.67	234
3 63	3.67	240
3 59	3.67	240
3 49	3.66	241
3 61	3.63	232
3 53	3.62	230
3 39	3.62	234
3 1	3.58	230
3 45	3.58	241
3 9	3.58	232
3 51	3.56	233
3 41	3.56	247
3 25	3.56	237
1 59	3.55	246
3 37	3.55	240
3 23	3.51	235
3 31	3.51	232
1 45	3.51	243
1 53	3.51	240
3 5	3.50	238
3 13	3.50	225
3 19	3.49	227
3 7	3.49	241
3 11	3.48	229
1 49	3.47	243
1 15	3.47	240
1 37	3.47	243
3 35	3.47	236
3 21	3.44	232
1 63	3.44	230
3 27	3.44	229
3 29	3.44	230
1 55	3.43	232
1 29	3.43	249
3 3	3.43	239
1 61	3.42	238
1 43	3.41	240
3 33	3.41	240
1 25	3.41	244
1 51	3.40	237
3 55	3.39	225
3 47	3.39	231
1 9	3.39	245
1 47	3.37	241
3 17	3.37	230
1 39	3.36	230
1 23	3.36	241
1 35	3.36	232
1 21	3.34	234
1 33	3.34	240
1 3	3.34	241
1 27	3.33	232
1 11	3.31	236
1 17	3.31	241
1 57	3.31	235
1 1	3.30	232
1 13	3.30	241
1 31	3.30	239
1 41	3.29	234
1 7	3.28	232
1 5	3.23	238
1 19	3.22	237
