hg
Chip Chan	RMS
2 10	1287.94	1129
2 12	1285.89	1126
2 20	1285.36	1127
2 4	1284.70	1124
2 18	1284.35	1128
2 0	1283.18	1121
2 8	1282.88	1123
2 2	1282.13	1125
2 48	1282.12	1126
2 32	1280.76	1123
2 30	1280.71	1122
2 6	1280.68	1122
2 40	1280.61	1124
2 44	1280.04	1123
2 14	1279.74	1119
2 46	1279.04	1123
2 36	1278.95	1124
2 28	1278.58	1122
2 62	1278.45	1121
2 52	1277.32	1122
2 50	1276.73	1120
2 24	1276.63	1118
2 56	1276.56	1118
2 42	1276.52	1120
2 38	1276.45	1120
2 54	1275.80	1118
2 58	1274.64	1120
0 8	1270.54	1101
0 6	1270.30	1097
0 2	1269.95	1098
0 26	1269.30	1102
0 16	1268.23	1100
0 4	1268.04	1096
0 14	1267.85	1099
0 24	1267.84	1103
0 22	1267.31	1099
0 42	1266.90	1099
0 18	1266.47	1095
0 32	1266.17	1099
0 28	1265.02	1096
0 36	1264.94	1098
0 52	1264.89	1098
0 30	1264.55	1097
0 40	1263.42	1095
0 38	1262.95	1094
0 46	1262.88	1095
0 58	1262.06	1095
0 44	1261.98	1096
0 50	1261.13	1092
0 56	1260.84	1094
0 54	1260.43	1093
0 62	1259.81	1093
0 34	1258.72	1090
3 6	1246.81	1082
3 16	1242.85	1080
3 12	1242.65	1077
3 18	1242.59	1081
3 2	1242.34	1077
3 4	1242.29	1078
3 0	1242.24	1075
3 28	1241.87	1079
3 8	1241.74	1076
3 22	1241.68	1080
3 20	1241.07	1079
3 44	1240.27	1079
1 4	1240.22	1078
3 54	1239.96	1077
3 48	1239.91	1079
3 30	1239.59	1076
3 14	1239.33	1075
3 24	1239.27	1076
3 38	1239.16	1078
1 6	1238.93	1076
3 60	1238.72	1077
3 32	1238.66	1073
3 40	1238.57	1077
3 34	1238.20	1075
3 36	1238.18	1077
1 2	1237.71	1074
1 10	1237.32	1075
3 62	1236.36	1075
3 42	1236.03	1075
3 52	1236.03	1076
1 14	1235.66	1076
3 58	1234.92	1075
1 26	1234.85	1075
1 20	1233.96	1071
1 22	1233.79	1072
1 18	1232.99	1071
1 36	1232.43	1073
