hg
Chip Chan	RMS
0 0	663.86	505
1 0	431.21	369
2 2	282.99	293
0 28	247.07	257
3 60	204.15	250
2 0	176.08	249
2 4	159.00	250
0 4	139.39	217
0 2	138.30	230
0 16	134.54	231
0 6	134.48	227
0 22	134.29	230
0 24	133.75	237
2 18	133.75	252
0 14	133.27	228
0 40	132.49	224
0 26	132.44	236
0 52	132.34	236
0 18	132.15	221
2 40	132.15	253
0 8	132.13	231
2 28	132.08	248
0 56	131.91	222
2 20	131.80	260
2 48	131.73	260
2 50	131.40	249
2 10	131.33	263
2 44	131.31	254
0 46	131.20	229
0 44	131.17	234
0 62	131.14	225
2 42	131.09	243
0 42	130.99	234
2 52	130.94	243
0 30	130.77	227
2 36	130.76	248
0 36	130.72	229
2 46	130.65	255
2 8	130.63	249
2 62	130.61	252
0 32	130.59	236
0 38	130.56	221
2 58	130.43	249
2 38	130.40	249
0 54	130.37	225
2 54	130.31	246
0 58	130.10	233
2 6	129.81	245
2 30	129.81	248
0 50	129.76	229
0 34	129.74	219
2 12	129.55	260
2 24	129.51	239
2 32	129.51	256
2 56	129.42	247
2 14	129.25	246
3 58	126.66	234
3 62	126.22	239
3 44	125.95	238
3 52	125.75	240
3 48	125.67	236
3 38	125.40	237
3 42	125.28	232
3 16	124.84	238
3 28	124.49	243
3 54	124.46	243
3 4	124.27	238
3 22	124.22	240
3 2	124.13	232
3 6	124.08	242
3 36	123.97	236
3 18	123.93	248
3 40	123.72	240
3 14	123.71	229
3 12	123.70	238
3 30	123.43	236
3 32	123.37	235
3 8	123.16	233
3 24	123.10	237
3 34	122.97	237
1 14	122.89	241
3 20	122.61	245
3 0	122.32	237
1 40	122.05	236
1 48	122.04	249
1 36	121.82	247
1 10	121.59	244
1 58	121.49	244
1 60	121.11	241
1 56	121.08	242
1 50	120.99	236
1 22	120.96	237
1 26	120.88	248
1 4	120.88	249
1 2	120.81	238
1 6	120.81	243
1 20	120.56	238
1 8	120.51	230
1 46	120.45	246
1 24	120.23	236
1 18	120.15	237
1 30	120.12	241
1 28	120.09	238
1 52	119.94	238
1 34	119.94	229
1 38	119.78	230
1 32	119.38	243
3 26	111.42	227
1 44	104.07	235
0 10	74.08	217
0 12	71.32	233
0 48	71.17	222
2 60	68.25	242
2 22	68.00	248
2 26	67.32	241
3 50	65.04	235
3 56	64.63	228
3 10	64.48	236
1 62	61.87	237
1 54	61.44	225
1 16	60.60	247
0 60	52.59	223
0 20	52.01	226
2 16	48.78	249
2 34	47.83	241
3 46	46.83	237
1 12	43.36	240
1 42	19.71	235
0 1	4.68	236
0 5	4.62	237
0 3	4.54	241
0 9	4.52	231
0 7	4.44	221
2 15	4.40	244
0 13	4.36	233
0 11	4.35	229
0 17	4.35	231
0 53	4.34	235
2 1	4.33	249
0 29	4.27	227
2 37	4.27	252
0 23	4.25	237
0 31	4.25	237
0 27	4.24	230
0 57	4.24	228
0 19	4.24	233
2 43	4.24	254
0 21	4.23	230
2 63	4.23	243
2 45	4.23	266
0 43	4.19	228
2 41	4.19	255
0 47	4.19	222
0 55	4.18	219
0 49	4.18	223
2 13	4.18	254
0 33	4.18	233
2 59	4.17	251
0 41	4.16	225
0 25	4.16	225
2 61	4.16	247
2 53	4.15	238
0 39	4.14	226
2 5	4.14	243
2 11	4.14	247
2 35	4.14	248
0 15	4.13	235
2 23	4.13	254
2 51	4.13	247
2 31	4.12	249
0 59	4.11	218
2 7	4.11	253
2 3	4.10	256
2 57	4.10	246
0 35	4.10	233
2 19	4.09	246
2 25	4.09	255
0 37	4.09	222
0 61	4.08	230
2 55	4.08	245
2 9	4.08	233
2 27	4.07	245
2 47	4.07	240
2 21	4.07	249
2 29	4.06	251
2 17	4.06	247
2 33	4.05	239
0 63	4.05	235
2 39	4.05	243
0 45	4.01	230
0 51	4.00	230
2 49	3.99	245
3 59	3.67	240
3 61	3.65	232
3 45	3.63	242
3 55	3.60	226
3 15	3.59	243
1 59	3.59	247
3 11	3.57	229
3 9	3.57	232
3 57	3.57	237
3 23	3.55	235
3 1	3.54	230
3 37	3.54	240
3 25	3.53	238
1 49	3.52	243
1 55	3.52	232
3 49	3.51	242
3 29	3.50	230
3 63	3.50	240
3 31	3.50	232
3 21	3.50	233
1 51	3.50	237
3 47	3.49	231
1 53	3.49	240
3 5	3.49	238
3 35	3.49	236
1 63	3.48	230
3 53	3.48	230
3 33	3.48	240
3 13	3.48	226
3 3	3.47	240
3 19	3.47	228
3 39	3.46	234
3 51	3.46	234
1 25	3.46	245
3 17	3.45	231
3 27	3.44	229
1 41	3.44	234
3 7	3.44	241
1 45	3.43	243
1 37	3.42	243
1 47	3.41	242
1 21	3.41	235
1 3	3.39	242
1 17	3.39	242
1 43	3.39	241
1 57	3.39	235
3 43	3.38	234
1 13	3.37	242
1 61	3.37	238
1 5	3.37	238
3 41	3.37	248
1 27	3.34	233
1 35	3.34	232
1 9	3.33	245
1 39	3.31	230
1 31	3.30	239
1 29	3.30	249
1 23	3.28	241
1 33	3.27	240
1 15	3.27	240
1 11	3.26	236
1 1	3.24	233
1 19	3.24	238
1 7	3.20	232
