hg
Chip Chan	RMS
0 0	774.44	650
1 0	507.88	427
2 2	327.07	308
0 28	278.18	264
3 60	228.27	245
2 0	182.16	238
2 4	144.22	241
0 4	95.19	213
0 2	89.96	227
0 6	77.90	225
0 16	74.82	229
0 14	72.12	226
0 8	71.31	229
0 18	70.58	219
0 22	68.12	226
0 56	66.96	220
0 40	66.73	221
0 46	66.23	228
0 52	66.11	235
0 24	65.79	235
0 62	65.51	223
0 34	64.94	217
0 42	64.04	233
0 54	63.99	223
0 30	63.95	225
0 26	63.60	234
0 36	63.20	227
0 50	63.15	228
0 44	62.20	232
0 32	62.19	235
0 38	60.73	218
0 58	59.96	232
0 10	52.67	217
3 32	52.60	232
3 62	52.50	236
3 58	51.73	231
3 54	49.99	240
2 56	49.32	244
3 42	48.85	229
3 0	48.68	235
3 52	48.47	237
2 58	48.46	246
3 2	48.32	229
3 44	48.12	235
2 62	48.10	250
2 20	47.86	257
2 42	47.85	240
3 48	47.70	233
3 40	47.66	237
3 34	47.65	235
3 30	47.54	234
3 38	47.50	235
3 12	47.39	236
2 52	47.05	241
2 46	47.01	253
3 36	46.88	233
2 6	46.83	243
3 22	46.81	237
3 6	46.71	239
3 16	46.63	235
3 4	46.53	235
3 8	46.43	230
0 12	46.39	234
3 28	45.88	241
2 40	45.82	251
3 20	45.80	243
3 14	45.74	227
3 18	45.71	246
2 48	45.65	258
2 18	45.45	249
2 50	45.28	245
3 24	45.17	235
2 54	44.80	244
0 48	44.74	222
2 8	44.20	246
2 10	44.20	261
2 30	44.02	245
2 28	44.00	246
2 38	43.86	247
2 14	43.44	244
2 12	43.24	258
2 32	43.22	253
2 24	42.99	236
2 36	42.67	246
2 44	42.11	252
3 26	41.26	226
1 30	38.45	240
1 2	38.17	236
1 58	37.95	242
0 60	37.71	223
1 56	37.37	241
1 4	37.32	247
1 24	37.25	234
1 48	37.06	248
1 46	36.95	245
1 32	36.81	242
1 40	36.75	235
1 36	36.72	246
1 50	36.47	234
1 60	36.37	240
1 38	36.30	229
1 34	36.07	227
1 26	35.99	246
0 20	35.98	227
1 52	35.83	237
1 22	35.34	235
1 28	35.28	236
1 20	35.16	237
1 18	35.04	236
1 14	34.66	240
1 6	34.61	242
1 8	34.61	229
1 10	34.23	243
1 44	33.80	233
2 60	32.17	242
3 56	30.84	228
3 10	30.30	236
3 50	29.73	235
2 22	29.62	247
2 26	28.15	241
3 46	24.42	236
2 16	24.17	249
2 34	22.50	241
1 54	21.57	225
1 62	20.92	238
1 16	20.08	247
1 12	15.18	240
1 42	13.85	235
2 15	5.22	244
0 1	5.21	236
2 45	5.12	266
0 3	5.10	241
2 5	5.05	243
2 41	5.02	255
2 31	4.99	249
2 11	4.99	248
2 3	4.97	256
0 5	4.97	237
2 43	4.96	254
0 9	4.94	231
2 25	4.94	255
2 1	4.94	249
2 27	4.92	245
2 17	4.92	247
2 61	4.91	247
2 13	4.91	254
2 63	4.91	243
0 7	4.91	221
2 55	4.90	245
2 21	4.90	249
2 59	4.89	251
2 51	4.89	247
2 29	4.89	251
2 49	4.88	245
2 9	4.87	233
2 57	4.86	246
0 11	4.84	229
2 7	4.84	254
2 53	4.82	238
2 23	4.81	254
2 39	4.80	243
2 19	4.78	247
2 35	4.76	248
2 33	4.76	238
0 17	4.75	231
0 63	4.75	235
2 47	4.73	240
0 33	4.72	233
0 23	4.70	237
2 37	4.69	252
0 13	4.66	233
0 25	4.65	225
0 19	4.63	233
0 31	4.62	237
0 27	4.59	230
0 53	4.56	235
0 21	4.56	230
0 41	4.55	225
0 55	4.55	220
0 35	4.54	233
0 49	4.48	224
0 51	4.47	230
0 59	4.47	218
0 45	4.46	230
0 29	4.43	227
0 37	4.43	222
0 39	4.41	227
0 61	4.41	230
0 43	4.40	228
0 47	4.40	222
0 57	4.37	228
3 59	4.33	240
3 15	4.23	243
1 53	4.18	240
1 61	4.16	238
1 63	4.15	230
0 15	4.14	235
1 55	4.14	232
1 45	4.13	243
3 63	4.12	240
1 59	4.11	247
1 49	4.11	243
1 31	4.10	239
1 51	4.08	237
3 57	4.06	237
3 3	4.04	240
1 39	4.03	230
1 43	4.03	241
3 25	4.02	238
1 57	4.02	235
3 1	4.02	230
3 61	4.02	232
3 53	3.99	230
3 7	3.99	241
1 41	3.99	234
3 11	3.99	229
1 47	3.99	242
3 33	3.99	240
1 25	3.98	245
3 55	3.98	226
1 21	3.98	235
1 15	3.97	240
3 23	3.97	235
1 33	3.97	240
1 23	3.97	241
1 29	3.97	249
3 41	3.96	248
3 43	3.96	234
3 47	3.96	231
1 9	3.96	245
1 27	3.94	233
1 17	3.94	241
3 49	3.92	242
3 21	3.92	233
3 13	3.91	226
3 19	3.91	228
1 37	3.90	243
1 11	3.89	236
1 5	3.88	238
3 45	3.88	241
3 39	3.87	234
1 3	3.87	241
1 19	3.87	238
3 35	3.87	236
1 13	3.87	242
3 31	3.87	233
3 17	3.86	231
3 9	3.85	232
3 5	3.83	238
3 37	3.83	240
1 1	3.83	233
1 7	3.81	232
3 51	3.80	234
3 27	3.78	229
1 35	3.78	232
3 29	3.76	230
