hg
Chip Chan	RMS
0 0	738.26	634
1 0	473.37	409
2 2	301.67	301
0 28	267.78	266
3 60	213.42	248
2 0	162.13	245
2 4	124.05	248
0 4	93.73	222
0 2	88.72	236
0 6	78.24	233
0 16	76.25	237
0 14	73.48	234
0 8	73.03	237
0 18	71.92	227
0 40	70.66	229
0 22	70.60	235
0 46	70.55	235
0 56	69.76	228
0 52	69.33	243
0 62	69.28	231
0 24	68.56	243
0 42	67.55	240
0 34	67.55	224
0 50	67.19	235
0 54	67.00	230
0 30	66.91	233
0 36	66.40	235
0 44	65.99	240
0 26	65.86	242
0 32	65.86	242
0 38	64.69	227
0 58	64.63	239
3 62	55.59	241
3 58	55.17	234
2 56	54.40	247
2 62	54.39	253
2 58	54.39	250
3 32	54.30	236
2 18	54.18	253
2 20	54.07	262
2 42	53.93	244
2 50	53.83	249
2 52	53.66	245
2 48	53.64	262
2 46	53.58	256
3 54	53.15	244
2 6	53.12	247
3 42	53.04	232
2 40	52.83	255
2 10	52.80	264
3 44	52.79	239
2 28	52.74	250
3 2	52.72	233
3 52	52.58	240
3 48	52.53	237
2 54	52.36	247
3 6	52.30	243
2 30	52.15	249
2 8	52.05	250
3 40	52.03	241
2 38	52.00	251
3 16	51.94	239
3 34	51.92	238
3 0	51.84	238
2 12	51.84	262
3 36	51.76	238
3 38	51.75	239
2 32	51.63	258
2 24	51.59	240
3 22	51.51	242
2 14	51.51	247
2 36	51.50	250
3 4	51.45	239
3 30	51.41	238
3 12	51.28	240
3 8	51.15	235
3 14	51.11	231
2 44	50.95	255
3 28	50.91	245
3 18	50.70	249
0 10	50.69	222
3 20	50.24	247
3 24	50.18	238
1 40	46.88	240
1 2	46.83	242
1 60	46.79	245
1 14	46.62	245
1 50	46.53	239
1 56	46.49	246
1 4	46.48	253
1 48	46.45	254
1 58	46.41	248
1 22	46.26	241
3 26	46.22	228
1 24	46.13	240
1 52	46.08	242
1 18	46.05	242
1 6	45.96	247
1 10	45.94	248
1 8	45.92	234
1 36	45.88	251
1 32	45.61	247
1 28	45.61	242
1 30	45.61	246
1 26	45.61	253
1 20	45.57	242
1 34	45.56	233
1 38	45.45	234
1 46	45.34	250
0 12	44.38	237
0 48	44.09	226
1 44	40.01	239
0 60	35.61	226
2 60	34.78	243
0 20	34.28	230
3 56	31.75	229
2 22	31.23	249
3 50	30.94	236
3 10	30.87	237
2 26	30.00	242
2 16	25.30	250
3 46	24.94	237
1 62	24.86	241
1 54	24.32	228
1 16	23.71	250
2 34	23.48	242
1 12	17.36	242
1 42	13.20	236
2 27	4.98	245
0 1	4.98	235
2 15	4.93	244
2 59	4.88	251
2 29	4.85	251
2 57	4.85	246
2 1	4.84	248
2 35	4.83	248
2 37	4.83	252
2 45	4.83	266
2 53	4.83	237
2 7	4.82	253
2 43	4.81	253
2 61	4.81	246
2 13	4.81	253
2 11	4.80	247
2 51	4.80	246
2 41	4.78	255
2 19	4.77	246
2 63	4.77	242
2 9	4.76	233
2 33	4.73	238
2 55	4.72	245
2 47	4.69	239
2 31	4.66	248
2 21	4.66	249
2 17	4.66	247
0 7	4.65	221
2 23	4.61	253
2 3	4.60	255
2 39	4.59	243
2 25	4.59	254
0 5	4.55	237
2 5	4.55	243
0 3	4.52	240
0 9	4.40	231
2 49	4.38	245
0 11	4.35	229
0 21	4.32	229
3 61	4.32	231
0 13	4.26	233
0 59	4.24	217
3 59	4.24	240
0 63	4.20	234
0 31	4.18	236
0 17	4.18	231
0 41	4.17	224
0 39	4.16	226
3 63	4.16	240
0 55	4.14	219
0 33	4.14	233
0 19	4.13	232
3 49	4.13	241
0 51	4.12	229
0 53	4.09	234
0 23	4.09	237
0 25	4.07	224
3 15	4.06	242
3 5	4.06	238
0 37	4.05	222
0 49	4.05	223
3 43	4.04	234
0 43	4.04	227
1 47	4.03	242
1 51	4.02	237
0 29	4.02	226
3 51	4.02	233
3 57	4.01	236
0 45	4.00	230
3 45	3.99	241
3 7	3.98	241
3 55	3.97	225
0 27	3.97	230
0 57	3.96	228
1 57	3.96	235
0 35	3.95	233
3 1	3.94	230
1 55	3.94	232
3 17	3.92	230
3 25	3.92	237
1 49	3.91	243
0 47	3.89	221
3 21	3.89	232
1 59	3.89	247
3 13	3.89	225
3 23	3.88	235
3 41	3.88	247
3 35	3.88	236
3 47	3.87	231
1 61	3.85	238
3 19	3.85	227
3 53	3.84	229
3 27	3.84	229
0 15	3.84	234
3 33	3.83	240
3 29	3.83	229
3 3	3.83	239
1 9	3.79	245
1 35	3.79	232
3 9	3.79	232
3 11	3.79	229
3 39	3.77	233
1 45	3.77	243
1 31	3.76	239
1 5	3.75	238
1 21	3.74	235
1 27	3.74	233
3 37	3.74	239
3 31	3.74	232
1 37	3.73	242
1 63	3.72	230
0 61	3.71	229
1 25	3.70	245
1 13	3.70	242
1 33	3.69	240
1 39	3.69	230
1 23	3.68	241
1 15	3.67	240
1 17	3.66	241
1 29	3.66	249
1 41	3.65	234
1 11	3.64	236
1 3	3.61	241
1 43	3.60	240
1 53	3.57	240
1 19	3.55	238
1 7	3.53	232
1 1	3.40	232
