hg
Chip Chan	RMS
0 0	759.37	622
1 0	493.36	416
2 2	315.35	301
0 28	273.33	262
3 60	219.34	242
2 0	170.73	238
2 4	131.65	242
0 4	86.97	216
0 2	80.83	231
0 6	66.80	229
0 16	64.38	232
0 14	60.26	229
0 8	59.18	232
0 18	58.28	222
0 22	56.46	230
0 56	55.38	223
0 40	55.23	224
0 46	55.07	231
0 52	53.94	238
0 24	53.41	238
0 62	53.09	226
0 34	52.06	220
0 42	51.80	236
0 30	51.29	228
0 54	51.18	227
0 26	50.78	237
0 50	50.77	231
0 36	49.94	231
0 44	49.62	235
0 32	49.40	237
0 58	48.38	234
0 38	47.26	222
0 10	46.74	219
3 62	41.82	237
3 32	40.78	233
3 58	40.56	231
0 48	38.93	224
3 54	38.06	241
2 56	36.87	245
2 58	36.71	247
3 52	36.61	238
3 42	36.60	229
3 0	36.39	236
2 62	36.01	250
2 20	35.88	259
3 2	35.78	230
2 46	35.57	254
3 44	35.33	236
0 12	35.10	236
3 48	35.08	234
3 40	34.95	239
2 42	34.79	241
3 38	34.64	236
3 34	34.58	236
3 6	34.57	241
3 30	34.49	234
2 6	34.44	244
2 52	34.13	242
3 4	34.03	237
3 36	33.72	234
2 50	33.59	246
3 22	33.41	239
3 16	33.38	236
3 8	33.21	231
0 60	33.13	225
2 48	33.13	259
2 18	33.00	252
2 40	32.60	253
3 14	32.38	227
3 28	32.19	242
3 18	32.11	247
3 20	31.85	244
2 54	31.61	245
3 24	31.51	235
2 14	31.42	245
2 8	31.37	247
2 10	31.25	262
3 12	31.07	236
0 20	30.96	228
2 30	30.87	247
2 28	30.65	247
2 38	30.49	249
2 24	30.44	237
2 32	30.02	255
2 36	29.31	247
3 26	28.93	226
2 44	28.89	253
2 12	27.58	259
2 60	26.74	242
3 56	26.09	228
3 10	25.46	236
3 50	24.48	235
2 22	24.41	248
2 26	22.18	241
3 46	21.62	236
2 16	21.12	249
1 2	20.39	238
1 58	20.33	245
1 30	20.13	243
1 56	19.75	243
2 34	19.01	241
1 24	18.57	236
1 4	18.48	250
1 48	17.22	251
1 46	16.87	247
1 50	16.76	237
1 36	16.69	248
1 52	16.68	239
1 60	16.62	242
1 40	16.22	237
1 38	16.13	231
1 44	15.93	236
1 32	15.75	244
1 34	15.58	229
1 26	15.20	248
1 22	15.05	237
1 28	14.47	238
1 20	14.26	239
1 10	14.17	244
1 6	14.12	244
1 8	14.09	230
1 14	13.62	242
1 42	13.51	236
1 18	13.41	238
1 62	11.21	240
1 54	11.06	227
1 16	9.03	249
1 12	8.13	241
2 21	4.97	249
2 3	4.93	256
2 1	4.93	249
2 57	4.90	246
0 1	4.85	236
2 53	4.82	238
2 35	4.81	248
2 59	4.77	251
2 29	4.76	251
2 19	4.75	246
2 43	4.73	254
2 13	4.72	254
2 7	4.70	253
2 15	4.70	244
2 17	4.68	247
2 45	4.68	266
2 51	4.65	247
2 47	4.63	239
2 5	4.63	243
2 27	4.62	245
2 55	4.62	245
2 33	4.61	238
2 41	4.60	255
2 9	4.59	233
2 61	4.59	247
2 63	4.57	243
2 31	4.56	248
2 23	4.55	253
2 37	4.54	252
0 7	4.54	221
2 39	4.53	243
2 25	4.51	254
0 3	4.50	241
0 5	4.50	237
2 49	4.49	245
2 11	4.45	248
0 9	4.45	231
0 13	4.43	233
0 11	4.37	229
0 15	4.35	234
0 23	4.34	237
0 17	4.33	231
0 43	4.19	228
0 35	4.19	233
0 45	4.15	230
0 21	4.15	229
0 31	4.15	237
0 41	4.11	225
0 53	4.09	235
0 61	4.08	230
3 3	4.07	240
3 57	4.06	236
3 59	4.05	240
0 25	4.04	225
3 5	4.03	238
3 63	4.03	240
0 19	4.03	233
0 59	4.02	218
3 49	4.01	241
0 63	4.00	235
3 61	3.99	231
3 25	3.99	238
3 51	3.99	234
0 27	3.99	230
0 39	3.96	226
0 29	3.96	226
0 49	3.95	223
0 57	3.94	228
0 33	3.93	233
3 33	3.92	240
3 41	3.92	248
3 53	3.92	230
3 7	3.87	241
3 55	3.87	226
0 37	3.87	222
0 51	3.85	230
3 45	3.84	242
3 39	3.84	234
3 17	3.82	230
0 47	3.82	222
1 59	3.82	247
3 9	3.82	232
1 61	3.81	239
0 55	3.81	220
3 31	3.79	233
3 15	3.78	243
3 29	3.77	230
3 23	3.76	235
3 1	3.76	230
3 19	3.76	228
3 47	3.76	231
1 57	3.75	236
3 43	3.74	234
3 11	3.72	229
1 51	3.72	237
1 29	3.72	250
3 27	3.71	229
3 13	3.71	226
1 9	3.68	245
3 35	3.67	236
1 53	3.66	240
3 37	3.65	240
1 63	3.65	230
1 49	3.64	243
1 11	3.64	236
3 21	3.63	232
1 33	3.62	241
1 45	3.61	243
1 25	3.60	245
1 31	3.60	240
1 5	3.60	238
1 37	3.59	243
1 55	3.58	232
1 43	3.57	241
1 41	3.53	235
1 47	3.51	242
1 13	3.51	242
1 27	3.51	233
1 17	3.50	241
1 15	3.49	240
1 19	3.49	238
1 35	3.46	232
1 39	3.46	230
1 7	3.44	232
1 21	3.43	235
1 23	3.43	241
1 1	3.35	233
1 3	3.32	242
