hg
Chip Chan	RMS
0 22	10.27	236
2 4	9.90	274
0 16	3.84	236
0 14	3.83	244
0 18	3.81	242
0 20	3.62	230
0 12	3.46	240
0 10	3.38	245
3 60	3.35	246
0 58	3.31	248
0 8	3.30	239
0 24	3.30	234
2 48	3.29	266
2 50	3.20	256
2 18	3.19	259
2 20	3.18	251
2 14	3.18	253
2 16	3.16	250
0 34	3.15	247
0 40	3.14	243
0 26	3.11	239
3 58	3.11	252
0 36	3.09	245
0 62	3.09	243
2 8	3.07	254
2 2	3.06	256
2 58	3.05	262
2 0	3.04	257
0 28	3.04	237
2 52	3.03	261
2 32	3.02	263
1 16	3.02	246
2 46	3.00	257
0 60	3.00	242
2 34	3.00	266
2 44	3.00	263
2 28	2.99	261
1 14	2.97	231
2 62	2.97	258
0 30	2.96	229
2 26	2.96	257
2 24	2.96	247
3 10	2.95	255
0 44	2.93	244
2 30	2.93	259
0 46	2.92	234
0 50	2.91	237
3 46	2.91	246
1 36	2.90	231
2 12	2.89	260
3 32	2.89	250
0 6	2.88	238
0 48	2.88	239
2 60	2.87	252
1 12	2.87	226
2 22	2.87	253
0 32	2.86	242
2 56	2.85	261
1 60	2.84	232
3 8	2.84	249
3 48	2.82	248
0 42	2.81	243
2 38	2.80	263
2 36	2.79	242
1 10	2.79	226
3 34	2.79	250
3 30	2.79	255
1 6	2.78	238
3 6	2.78	246
0 38	2.77	236
1 56	2.77	230
2 6	2.77	260
2 54	2.77	251
1 54	2.73	228
2 45	2.73	266
1 22	2.72	227
1 8	2.72	222
1 28	2.71	223
1 20	2.71	220
1 50	2.71	231
3 24	2.70	247
3 44	2.70	243
1 18	2.70	227
1 46	2.69	233
1 62	2.69	238
3 12	2.67	244
1 40	2.67	238
1 2	2.66	233
1 58	2.66	227
1 52	2.65	229
3 62	2.64	247
3 0	2.63	250
1 26	2.61	238
2 11	2.61	257
1 44	2.60	241
1 24	2.60	215
3 2	2.60	253
2 40	2.59	251
2 47	2.59	262
0 4	2.59	235
1 38	2.58	223
3 18	2.58	247
1 48	2.58	220
3 49	2.58	252
2 5	2.58	261
0 54	2.57	239
3 26	2.57	238
3 36	2.57	240
2 63	2.56	259
0 59	2.56	247
1 42	2.56	235
3 54	2.55	241
3 52	2.55	235
0 56	2.55	240
2 10	2.54	253
2 23	2.53	267
1 4	2.52	225
2 43	2.52	259
0 53	2.52	244
1 34	2.51	224
2 41	2.51	261
2 51	2.51	254
2 19	2.51	261
3 50	2.51	240
1 0	2.49	224
3 27	2.49	250
3 14	2.49	244
3 63	2.49	251
2 13	2.49	263
0 2	2.49	236
2 27	2.48	256
2 7	2.47	251
0 0	2.47	238
0 9	2.47	248
0 63	2.46	244
1 32	2.46	221
1 45	2.45	237
3 33	2.45	251
2 53	2.45	253
0 52	2.45	237
2 17	2.45	260
2 49	2.45	252
2 59	2.44	252
3 55	2.44	246
3 42	2.44	243
2 57	2.44	252
3 5	2.43	249
2 42	2.43	255
2 1	2.42	259
0 1	2.42	243
2 25	2.42	253
2 9	2.42	252
3 45	2.41	248
2 21	2.41	257
2 3	2.41	251
1 9	2.41	236
2 33	2.41	259
2 39	2.41	254
1 23	2.40	230
3 56	2.40	239
1 53	2.40	228
3 4	2.40	241
2 31	2.40	255
1 51	2.39	228
1 57	2.39	227
2 35	2.39	254
0 55	2.39	241
2 55	2.38	247
3 20	2.38	246
1 59	2.38	238
3 11	2.38	247
3 38	2.37	242
3 28	2.37	241
0 15	2.37	245
3 61	2.37	250
3 43	2.36	248
3 40	2.36	238
1 43	2.35	238
3 22	2.35	245
1 13	2.35	237
2 61	2.34	249
2 15	2.34	253
3 16	2.34	243
1 5	2.34	230
1 19	2.34	239
2 37	2.34	251
3 57	2.33	244
1 21	2.33	233
3 47	2.33	244
0 37	2.32	242
0 11	2.32	253
1 39	2.32	233
0 19	2.32	243
0 51	2.31	221
3 7	2.31	237
3 59	2.31	244
1 30	2.29	223
3 9	2.28	243
2 29	2.28	250
1 3	2.28	235
1 47	2.27	220
3 23	2.27	246
1 35	2.27	226
1 7	2.27	224
3 35	2.26	244
1 55	2.25	221
1 63	2.25	225
1 33	2.24	214
0 57	2.24	226
1 1	2.24	227
0 49	2.24	225
1 15	2.24	222
3 31	2.23	244
1 49	2.23	226
3 25	2.23	239
0 41	2.23	235
3 29	2.22	244
0 23	2.22	239
1 31	2.22	225
0 61	2.22	241
0 7	2.22	235
0 27	2.22	239
0 21	2.21	232
0 35	2.21	237
3 53	2.21	243
3 17	2.21	242
1 61	2.21	218
1 11	2.21	227
1 41	2.20	225
0 17	2.20	233
0 3	2.20	240
0 43	2.20	229
3 21	2.20	245
0 47	2.20	235
3 41	2.19	239
1 25	2.19	223
3 51	2.18	239
0 45	2.18	233
0 13	2.18	236
1 17	2.17	227
1 27	2.17	225
0 5	2.17	235
1 29	2.15	221
1 37	2.15	219
0 25	2.14	237
0 31	2.14	236
0 39	2.12	234
3 3	2.11	244
3 19	2.10	239
0 33	2.09	236
3 37	2.09	232
3 39	2.08	243
3 1	2.08	240
3 15	2.08	247
0 29	2.06	238
3 13	1.90	243
