hg
Chip Chan	RMS
0 0	942.96	763
2 18	939.73	859
2 28	933.62	852
2 10	932.52	853
2 40	931.25	851
2 20	928.82	851
2 44	928.65	849
2 48	927.38	850
2 36	926.41	845
2 50	926.39	846
2 42	924.28	841
2 12	922.92	845
2 8	922.78	844
2 54	921.86	841
2 38	921.59	842
2 52	921.17	840
2 46	920.21	842
2 30	918.89	839
2 58	917.89	838
2 62	917.77	839
2 6	917.44	836
2 32	917.09	839
2 24	913.88	833
2 56	912.44	832
0 24	910.94	827
2 14	910.91	832
0 26	905.64	822
0 22	902.63	818
0 52	902.45	819
0 40	899.40	814
0 44	899.20	816
0 14	897.80	813
0 16	897.71	814
0 38	897.01	812
0 36	896.42	813
0 18	896.06	810
0 56	895.05	810
0 30	894.83	810
0 32	894.67	813
0 42	893.44	811
0 54	891.21	808
0 6	890.83	807
0 8	890.67	808
2 4	890.36	827
0 58	889.96	808
0 62	889.57	807
0 46	889.52	808
3 52	889.15	809
3 44	888.58	809
0 50	888.25	806
3 48	887.93	807
3 38	887.36	807
0 2	887.00	805
0 34	886.67	802
0 4	886.34	804
3 42	885.90	804
3 62	885.79	806
3 58	885.75	806
2 2	885.58	791
3 28	884.77	807
1 0	883.62	734
1 14	882.12	806
3 18	881.75	805
3 16	881.36	802
3 4	881.08	802
3 22	881.00	803
3 6	880.34	803
3 54	879.87	802
3 36	879.47	800
3 2	879.16	799
1 48	878.49	804
3 40	877.08	799
1 10	877.02	800
1 40	876.14	799
3 24	875.91	797
3 20	875.68	798
3 12	875.54	798
3 30	875.20	797
1 36	874.68	801
3 14	874.46	795
1 4	874.05	800
1 58	873.25	799
3 8	872.49	794
1 60	872.20	796
3 34	871.88	794
1 26	871.11	798
1 2	870.85	793
1 56	869.49	794
1 6	869.04	794
1 50	868.82	793
1 46	868.18	794
3 32	867.59	790
3 0	866.99	789
1 22	866.76	790
1 8	866.57	789
1 30	866.50	791
1 20	865.78	790
2 0	865.77	805
1 52	865.71	789
1 18	864.77	789
1 24	863.90	788
1 28	863.03	788
1 32	862.84	789
1 34	859.88	782
1 38	859.49	783
0 28	852.71	777
3 60	841.60	778
3 26	797.99	729
1 44	758.75	699
2 22	506.68	495
2 26	504.00	491
2 60	501.40	489
0 12	494.07	480
3 50	487.38	474
0 48	486.70	472
0 10	484.75	468
3 10	480.79	469
1 62	478.93	468
3 56	477.75	465
1 16	473.39	467
1 54	472.32	459
2 16	375.89	390
2 34	372.31	384
0 20	367.07	375
0 60	365.67	373
3 46	362.73	374
1 12	356.82	370
1 42	182.51	244
2 59	13.95	247
2 63	13.87	239
2 55	13.85	241
2 53	13.83	234
2 43	13.79	250
2 57	13.76	242
2 61	13.75	243
2 49	13.75	241
2 45	13.69	262
2 47	13.68	236
2 41	13.57	251
2 51	13.55	243
2 39	13.55	239
2 37	13.51	249
2 31	13.24	245
2 35	13.15	244
2 33	13.05	235
2 29	12.96	247
2 25	12.90	251
2 23	12.79	250
2 27	12.79	241
0 63	12.78	232
2 21	12.77	246
0 55	12.66	217
0 57	12.65	225
0 59	12.57	215
2 19	12.54	243
0 47	12.52	219
0 53	12.51	232
2 17	12.49	244
0 49	12.43	221
3 63	12.43	236
0 43	12.41	225
0 51	12.41	227
0 61	12.40	227
2 13	12.40	250
0 45	12.34	227
0 41	12.32	222
2 11	12.30	244
3 55	12.28	222
3 57	12.28	233
0 39	12.28	224
3 59	12.25	237
2 15	12.24	241
0 37	12.24	219
3 51	12.24	230
3 53	12.21	226
3 61	12.20	228
3 47	12.20	227
2 9	12.18	230
0 35	12.14	230
0 33	12.12	230
3 49	12.08	238
3 43	12.07	231
2 7	12.03	250
3 39	12.02	230
0 31	12.02	234
3 45	12.02	238
3 35	12.00	232
3 41	11.95	244
3 37	11.92	236
3 31	11.91	229
0 25	11.87	223
3 29	11.84	226
3 27	11.81	226
0 27	11.80	227
0 29	11.76	224
2 5	11.75	240
3 33	11.75	236
0 23	11.73	235
2 3	11.71	252
3 23	11.69	232
3 19	11.69	224
0 21	11.67	227
0 17	11.66	229
2 1	11.62	245
3 25	11.57	234
0 19	11.55	230
3 21	11.55	229
3 13	11.49	223
3 17	11.46	227
0 7	11.27	219
0 11	11.23	227
0 15	11.21	232
0 13	11.19	231
3 11	11.16	226
0 9	11.16	229
1 45	11.14	241
1 61	11.09	235
1 53	11.03	237
3 7	11.01	238
1 49	11.01	240
1 59	10.98	244
0 5	10.98	235
3 9	10.95	229
1 47	10.93	239
1 57	10.91	232
1 55	10.90	229
1 51	10.89	234
3 15	10.89	240
1 63	10.86	227
0 3	10.79	239
1 43	10.79	238
3 5	10.78	235
0 1	10.74	233
1 39	10.72	227
1 41	10.68	231
3 3	10.63	236
1 29	10.62	247
1 37	10.61	240
3 1	10.60	227
1 33	10.54	237
1 23	10.53	238
1 35	10.53	229
1 25	10.47	242
1 31	10.46	236
1 21	10.41	232
1 27	10.36	230
1 19	10.33	235
1 17	10.15	239
1 13	9.99	239
1 15	9.98	238
1 11	9.98	233
1 9	9.96	243
1 7	9.75	230
1 5	9.72	236
1 3	9.63	239
1 1	9.36	230
