hg
Chip Chan	RMS
0 0	796.66	754
1 0	528.35	494
2 2	341.62	351
0 28	276.49	287
3 60	236.23	269
2 0	198.42	258
2 4	164.20	255
0 4	103.49	223
0 2	100.26	237
0 6	95.68	233
0 14	94.74	233
0 8	94.51	236
0 16	94.29	236
0 18	93.61	226
0 22	93.36	234
0 40	93.22	228
0 52	92.00	241
0 24	91.87	241
0 62	91.79	229
0 46	91.77	233
0 42	91.00	238
0 56	90.81	226
0 54	90.48	228
0 36	90.41	233
0 34	90.21	223
0 26	90.20	240
0 30	90.15	230
0 50	90.02	233
0 32	89.92	240
0 44	89.89	237
0 38	89.00	224
0 58	87.45	236
2 18	85.87	249
2 20	85.28	256
2 50	84.37	244
2 48	84.36	257
2 42	84.29	238
2 56	84.21	243
2 6	84.06	241
2 28	84.00	244
2 52	83.92	239
2 46	83.81	252
2 58	83.80	245
2 8	83.74	245
2 10	83.42	259
2 40	83.40	249
2 62	83.29	248
3 32	83.19	233
2 44	82.87	250
2 36	82.81	244
3 44	82.73	236
2 14	82.73	242
3 58	82.66	231
2 54	82.60	243
2 12	82.59	256
2 38	82.51	246
2 24	82.50	235
3 62	82.43	237
3 48	82.41	233
2 30	82.35	244
2 32	82.18	253
3 52	82.02	237
3 38	81.79	235
3 42	81.66	229
3 30	81.41	234
3 54	81.37	240
3 2	81.24	229
3 36	81.15	234
3 4	81.08	235
3 22	81.07	238
3 28	80.98	241
3 12	80.87	235
3 6	80.82	239
3 16	80.72	235
3 8	80.58	230
3 14	80.49	226
3 24	80.40	235
3 40	80.35	238
3 18	80.30	245
3 34	80.16	235
3 0	79.98	234
3 20	79.71	243
1 58	79.16	241
1 56	78.87	239
1 2	78.76	234
1 4	78.65	246
1 40	78.47	233
1 48	78.32	246
1 36	78.24	244
1 60	78.11	238
1 14	78.02	239
1 50	77.91	232
1 30	77.91	239
1 24	77.78	233
1 10	77.68	241
1 46	77.66	243
1 26	77.46	245
1 22	77.35	234
1 6	77.33	240
1 20	77.25	236
1 28	77.16	235
1 52	77.11	235
1 8	77.05	227
1 18	76.95	235
1 38	76.90	227
1 34	76.79	225
1 32	76.57	240
3 26	72.16	225
1 44	67.53	232
0 10	58.02	223
0 12	54.16	238
0 48	53.63	226
2 60	46.59	239
2 22	45.85	245
2 26	45.07	239
3 50	43.74	234
3 10	43.42	235
3 56	43.36	227
0 60	41.67	227
0 20	41.03	230
1 62	41.00	236
1 54	40.89	223
1 16	40.12	246
2 16	33.86	247
2 34	32.31	239
3 46	31.69	235
1 12	28.91	239
1 42	16.56	235
0 3	5.70	241
0 5	5.68	238
0 7	5.68	221
0 9	5.58	232
0 1	5.53	236
0 11	5.52	230
0 13	5.49	234
0 63	5.47	235
0 23	5.39	238
0 17	5.34	232
0 21	5.32	230
0 19	5.31	233
0 53	5.28	235
0 59	5.26	218
0 41	5.26	225
0 49	5.25	224
0 45	5.25	231
0 61	5.23	230
0 57	5.22	228
0 33	5.22	233
0 29	5.21	227
0 31	5.20	237
0 25	5.19	226
0 27	5.18	230
0 37	5.16	222
0 47	5.13	222
0 55	5.12	220
0 35	5.12	234
0 51	5.11	230
0 39	5.09	227
0 43	5.09	229
2 15	4.85	244
2 1	4.72	249
0 15	4.67	235
2 13	4.62	254
2 47	4.59	240
2 21	4.57	249
2 29	4.56	251
2 59	4.56	251
2 9	4.56	233
2 43	4.55	254
2 57	4.54	246
2 17	4.54	247
2 3	4.53	256
2 5	4.52	243
2 41	4.51	255
2 55	4.50	245
2 25	4.49	254
2 19	4.47	246
2 7	4.46	253
2 53	4.46	238
2 37	4.46	252
2 23	4.44	253
2 63	4.41	243
2 33	4.40	238
2 11	4.40	247
2 51	4.39	247
2 27	4.39	245
2 39	4.38	243
2 61	4.37	247
2 35	4.36	248
2 49	4.35	245
1 59	4.35	247
2 45	4.33	266
2 31	4.31	248
1 41	4.25	234
1 61	4.24	238
1 55	4.23	232
1 57	4.19	235
1 51	4.19	237
1 47	4.14	242
1 45	4.11	243
1 21	4.10	235
1 29	4.10	249
1 63	4.10	230
1 53	4.09	240
1 31	4.09	239
1 35	4.09	232
1 49	4.08	243
1 9	4.07	245
1 13	4.07	242
1 11	4.06	236
1 33	4.06	240
1 37	4.05	243
1 39	4.04	230
1 25	3.99	245
1 17	3.98	242
1 23	3.98	241
1 27	3.97	233
1 19	3.97	238
1 43	3.96	241
1 5	3.96	238
1 3	3.94	242
1 7	3.93	232
1 15	3.89	240
1 1	3.86	233
3 7	3.70	241
3 59	3.60	240
3 55	3.55	226
3 57	3.54	237
3 49	3.54	241
3 5	3.53	238
3 41	3.52	247
3 63	3.51	240
3 17	3.51	231
3 25	3.50	238
3 23	3.49	235
3 53	3.48	230
3 3	3.47	240
3 21	3.47	233
3 35	3.44	236
3 37	3.44	240
3 43	3.44	234
3 27	3.43	229
3 19	3.42	228
3 51	3.42	234
3 45	3.41	242
3 33	3.40	240
3 61	3.40	232
3 39	3.39	234
3 47	3.38	231
3 31	3.38	232
3 1	3.36	230
3 29	3.33	230
3 11	3.32	229
3 15	3.28	243
3 9	3.27	232
3 13	3.16	226
