hg
Chip Chan	RMS
0 22	14.71	239
2 4	10.23	244
2 2	6.59	241
2 0	5.96	248
2 16	4.34	249
2 8	4.27	250
0 48	4.22	241
2 50	4.15	253
0 46	4.14	243
2 18	3.99	252
2 14	3.94	240
2 24	3.89	250
2 34	3.87	251
2 48	3.86	246
2 58	3.85	251
2 62	3.76	243
0 50	3.75	238
0 42	3.73	239
0 44	3.70	241
0 40	3.70	235
0 52	3.65	244
2 22	3.60	230
0 36	3.60	237
2 46	3.58	242
2 20	3.57	242
2 26	3.56	234
1 16	3.55	259
2 44	3.53	242
2 36	3.53	240
0 54	3.52	236
2 60	3.51	241
0 38	3.50	239
2 52	3.49	243
0 28	3.48	240
0 20	3.48	241
2 32	3.47	243
0 62	3.47	245
2 28	3.46	241
2 6	3.46	251
2 38	3.43	250
0 34	3.42	232
2 54	3.41	241
1 50	3.38	263
1 12	3.37	256
0 30	3.36	241
2 12	3.36	241
1 18	3.36	259
1 56	3.36	257
0 24	3.32	239
0 56	3.32	238
2 40	3.32	244
2 10	3.31	243
1 8	3.30	260
2 30	3.30	239
0 58	3.28	226
2 57	3.28	252
1 14	3.26	255
1 36	3.25	261
0 60	3.23	232
3 10	3.20	240
2 56	3.20	262
1 10	3.20	255
1 38	3.16	263
2 5	3.16	234
2 59	3.14	248
2 45	3.13	235
3 50	3.12	248
2 25	3.12	250
2 29	3.12	254
2 41	3.10	246
2 49	3.08	247
2 43	3.07	246
2 11	3.07	242
2 37	3.07	250
2 3	3.07	258
3 12	3.07	243
2 51	3.06	243
1 58	3.06	263
2 21	3.06	248
2 35	3.04	248
1 0	3.03	256
1 6	3.03	247
0 26	3.02	232
2 7	3.02	247
2 23	3.01	244
1 4	3.01	253
0 8	3.01	247
1 40	3.01	246
1 48	3.01	255
1 20	3.00	246
2 9	3.00	251
0 32	3.00	231
2 42	3.00	243
1 60	3.00	248
1 28	2.99	246
2 13	2.99	246
3 58	2.99	254
3 48	2.99	241
1 26	2.98	253
2 39	2.98	251
1 62	2.98	252
2 63	2.97	244
1 22	2.97	245
2 17	2.97	245
0 10	2.97	229
3 32	2.96	242
2 33	2.96	250
2 55	2.95	242
2 27	2.95	246
2 61	2.95	243
2 31	2.95	255
3 6	2.94	240
1 2	2.94	255
3 44	2.94	235
2 1	2.93	243
2 15	2.93	245
1 52	2.93	253
2 47	2.92	238
2 19	2.92	243
3 46	2.92	236
2 53	2.92	244
1 54	2.91	248
0 4	2.91	242
0 12	2.90	227
3 14	2.89	243
1 42	2.89	253
1 44	2.89	264
3 8	2.88	239
0 18	2.88	241
1 46	2.88	251
0 16	2.87	233
3 26	2.87	238
1 34	2.86	245
3 4	2.86	242
1 49	2.85	260
1 1	2.84	258
1 41	2.80	258
3 36	2.78	238
3 30	2.77	229
0 6	2.75	226
3 34	2.73	235
0 0	2.72	240
1 45	2.72	260
3 52	2.72	238
1 24	2.71	249
1 35	2.71	257
0 14	2.70	230
3 24	2.68	233
3 18	2.68	235
3 0	2.68	241
3 38	2.67	246
1 21	2.66	258
3 54	2.66	231
1 57	2.66	253
3 16	2.66	241
1 29	2.65	256
1 11	2.65	252
1 59	2.64	254
1 32	2.64	251
1 3	2.63	253
1 9	2.62	251
1 33	2.62	255
3 22	2.61	231
1 15	2.61	254
1 17	2.61	252
1 61	2.60	253
1 25	2.60	254
3 60	2.59	228
3 51	2.59	242
1 13	2.59	252
1 51	2.58	250
3 56	2.58	233
1 30	2.58	250
0 7	2.58	238
0 2	2.58	238
1 19	2.58	252
1 43	2.57	254
3 28	2.56	236
1 7	2.56	249
0 25	2.56	247
0 27	2.55	248
1 37	2.55	246
0 17	2.55	246
1 31	2.55	244
0 31	2.54	240
3 40	2.54	231
1 5	2.54	245
1 39	2.54	251
1 63	2.54	251
1 27	2.53	249
1 47	2.53	252
3 49	2.53	240
3 62	2.52	228
0 5	2.52	245
3 5	2.51	243
0 11	2.51	241
0 47	2.50	241
3 20	2.50	230
1 53	2.49	249
1 23	2.48	240
3 57	2.48	238
3 2	2.48	232
3 42	2.48	239
3 37	2.47	244
0 1	2.47	242
0 53	2.46	238
0 45	2.46	239
0 3	2.46	239
0 15	2.46	233
0 63	2.45	235
3 47	2.45	238
3 11	2.45	243
0 41	2.44	239
3 39	2.44	250
1 55	2.44	242
3 41	2.43	240
0 51	2.43	239
0 49	2.43	247
0 59	2.43	234
3 55	2.42	238
3 19	2.42	238
0 29	2.41	236
0 19	2.40	243
0 57	2.39	235
3 45	2.39	237
0 33	2.38	240
3 33	2.38	235
3 53	2.37	231
3 9	2.36	227
0 13	2.36	231
0 9	2.36	229
0 43	2.35	233
0 23	2.35	237
3 27	2.34	235
3 17	2.33	234
0 35	2.33	237
3 7	2.33	234
3 31	2.31	237
3 21	2.31	232
3 23	2.30	232
3 63	2.30	236
3 35	2.30	233
3 1	2.29	231
0 37	2.28	233
0 55	2.28	230
3 3	2.27	230
0 39	2.26	233
0 21	2.26	233
3 59	2.25	230
0 61	2.24	229
3 25	2.22	235
3 43	2.22	232
3 61	2.19	228
3 15	2.18	237
3 29	2.14	232
3 13	2.04	242
