hg
Chip Chan	RMS
0 0	774.98	670
1 0	513.74	455
2 2	331.56	325
0 28	269.03	267
3 60	230.07	254
2 0	190.50	246
2 4	152.48	247
0 4	79.16	216
0 2	75.26	230
0 6	70.26	228
0 8	68.84	231
0 14	68.38	228
0 16	68.13	231
0 18	67.63	221
0 40	65.83	223
0 46	65.70	229
0 22	65.68	230
0 52	64.92	237
0 62	64.89	225
0 24	64.05	237
0 34	63.97	219
0 56	63.96	222
0 42	63.80	235
0 54	63.71	224
0 36	63.46	229
0 50	63.44	229
0 30	63.38	227
0 44	63.13	234
0 32	62.65	236
0 26	62.45	236
0 38	61.92	220
2 56	60.16	247
2 20	60.01	261
0 58	59.75	233
2 42	59.20	242
2 6	58.88	245
2 18	58.63	252
3 32	58.53	236
2 62	58.51	252
2 58	58.49	249
2 52	58.30	243
2 46	58.12	255
2 48	57.82	261
3 62	57.71	240
2 50	57.70	248
2 40	57.67	253
2 8	57.56	248
3 58	57.53	234
2 10	57.35	263
2 28	57.15	248
2 54	56.93	247
2 30	56.78	248
2 12	56.74	260
2 32	56.62	256
2 38	56.57	249
3 2	56.40	232
2 14	56.33	246
3 48	56.22	236
2 36	56.14	248
2 24	56.11	238
2 44	56.09	254
3 52	56.07	240
3 54	56.03	243
3 42	56.01	232
3 44	55.94	238
3 0	55.72	238
3 4	55.53	238
3 30	55.38	237
3 6	55.21	243
3 12	55.18	239
3 36	55.18	236
3 16	55.12	238
3 40	55.06	241
3 38	55.01	238
3 34	54.87	238
3 22	54.86	241
3 8	54.82	233
3 20	54.74	246
3 18	54.74	249
3 14	54.72	229
3 28	54.57	244
3 24	54.43	237
1 2	53.63	238
1 56	53.41	243
1 58	53.32	245
1 30	52.75	243
1 4	52.66	250
1 60	52.31	242
1 48	52.18	250
1 46	51.94	247
1 36	51.94	248
1 24	51.92	237
1 40	51.86	237
1 50	51.76	236
1 32	51.49	244
1 14	51.46	242
1 38	51.43	231
1 52	51.40	239
1 26	51.25	249
1 34	51.15	229
1 20	51.00	238
1 22	51.00	238
1 10	50.94	245
1 6	50.71	244
1 8	50.59	231
1 28	50.58	238
1 18	50.49	238
3 26	48.88	228
0 10	46.78	218
1 44	45.76	235
0 12	41.70	234
0 48	41.11	222
2 60	34.40	243
0 60	33.56	224
2 22	32.67	248
0 20	32.34	227
2 26	32.19	242
3 56	31.24	229
3 50	31.01	236
3 10	30.95	237
1 62	28.00	239
1 54	28.00	226
1 16	26.71	248
2 16	25.18	250
2 34	23.86	241
3 46	23.42	237
1 12	19.97	241
1 42	14.48	236
0 3	5.54	241
0 1	5.53	236
0 5	5.51	237
0 11	5.40	229
0 7	5.40	221
0 9	5.39	231
0 13	5.38	233
0 17	5.22	232
0 63	5.18	235
0 21	5.17	230
0 19	5.14	233
0 25	5.13	225
0 53	5.12	235
0 45	5.12	230
0 37	5.10	222
0 33	5.09	233
0 57	5.09	228
0 41	5.07	225
0 23	5.07	238
0 31	5.05	237
0 43	5.05	228
0 59	5.03	218
0 27	5.01	230
0 39	4.99	227
0 35	4.98	234
0 49	4.96	224
0 51	4.91	230
0 29	4.89	227
0 55	4.87	220
0 61	4.85	230
0 47	4.83	222
0 15	4.69	235
2 15	4.64	244
2 1	4.51	249
2 3	4.39	256
2 7	4.38	254
2 25	4.35	255
2 61	4.34	247
2 53	4.34	238
2 43	4.30	254
2 13	4.29	254
2 45	4.29	266
2 5	4.29	243
2 9	4.29	233
2 51	4.28	247
2 11	4.28	248
2 27	4.27	245
2 41	4.27	255
2 59	4.27	251
2 57	4.27	246
2 19	4.26	247
2 33	4.26	239
2 35	4.25	248
2 49	4.25	245
2 21	4.25	249
2 37	4.24	252
1 61	4.24	239
2 29	4.24	251
1 53	4.22	240
1 51	4.21	237
2 23	4.21	254
2 55	4.20	246
2 39	4.19	243
1 49	4.19	243
2 17	4.18	247
2 47	4.18	240
2 63	4.18	243
1 57	4.17	236
1 63	4.17	230
1 45	4.16	243
2 31	4.14	249
1 21	4.11	235
1 43	4.11	241
1 31	4.10	239
1 29	4.10	250
1 47	4.10	242
1 25	4.09	245
1 59	4.09	247
1 3	4.07	242
1 41	4.05	234
1 9	4.04	246
1 39	4.02	230
1 37	4.02	243
1 55	4.02	232
1 27	4.00	233
1 11	4.00	236
1 5	3.98	238
1 17	3.96	242
1 23	3.96	241
1 15	3.94	241
1 7	3.91	232
1 13	3.90	242
1 35	3.87	232
1 33	3.87	241
1 1	3.82	233
1 19	3.76	238
3 59	3.56	241
3 5	3.48	238
3 15	3.47	243
3 53	3.46	230
3 45	3.45	242
3 7	3.45	241
3 57	3.44	237
3 39	3.44	234
3 63	3.43	240
3 51	3.42	234
3 3	3.41	240
3 1	3.40	230
3 55	3.40	226
3 37	3.39	240
3 17	3.39	231
3 49	3.38	242
3 29	3.38	230
3 21	3.37	233
3 61	3.37	232
3 43	3.37	234
3 13	3.36	226
3 23	3.34	235
3 35	3.34	236
3 33	3.33	240
3 9	3.32	232
3 41	3.30	248
3 27	3.29	230
3 25	3.29	238
3 47	3.28	231
3 19	3.25	228
3 31	3.23	233
3 11	3.20	229
