hg
Chip Chan	RMS
2 4	12.48	233
0 22	11.50	224
2 14	3.87	244
2 16	3.85	246
2 34	3.71	246
2 8	3.56	240
2 18	3.52	241
2 22	3.51	245
2 20	3.51	243
2 50	3.49	251
2 48	3.43	243
2 26	3.40	250
2 28	3.31	236
2 40	3.26	255
2 30	3.25	242
2 12	3.24	249
2 24	3.19	239
2 62	3.19	252
1 62	3.15	245
2 52	3.14	247
1 48	3.14	250
1 14	3.13	240
2 36	3.12	247
2 46	3.12	240
2 2	3.11	242
2 60	3.11	238
2 58	3.10	243
1 18	3.08	246
2 32	3.05	245
1 12	3.05	246
2 56	3.05	251
1 38	3.05	250
1 56	3.04	249
1 16	3.03	232
0 48	2.99	234
1 54	2.99	246
2 0	2.96	245
1 0	2.96	255
1 6	2.95	240
1 36	2.92	234
3 44	2.91	226
2 10	2.90	245
3 48	2.90	231
2 44	2.90	238
3 24	2.90	236
1 8	2.89	230
3 32	2.89	242
2 38	2.88	249
1 4	2.88	245
1 34	2.88	250
3 58	2.88	229
1 50	2.86	245
1 10	2.86	230
0 46	2.85	231
1 20	2.83	235
1 60	2.83	241
1 58	2.82	242
0 60	2.81	238
3 14	2.78	228
1 42	2.78	242
3 12	2.77	230
3 10	2.77	228
3 8	2.77	230
1 52	2.76	234
2 42	2.75	238
1 22	2.75	245
0 12	2.75	234
3 4	2.73	234
3 6	2.73	222
1 44	2.73	243
3 60	2.73	233
1 28	2.72	230
2 54	2.72	242
2 6	2.72	243
3 46	2.70	220
0 28	2.68	228
2 43	2.68	249
1 26	2.68	238
1 40	2.68	244
3 36	2.67	229
3 50	2.67	226
3 26	2.66	229
1 46	2.65	237
0 40	2.65	222
3 40	2.65	235
1 24	2.64	227
2 63	2.63	252
0 44	2.63	228
2 25	2.63	254
0 20	2.62	225
3 30	2.62	225
1 2	2.62	242
1 1	2.61	252
2 55	2.61	257
1 51	2.61	243
2 21	2.61	254
3 16	2.61	230
3 34	2.60	228
3 22	2.59	230
2 41	2.59	255
2 45	2.58	246
2 9	2.58	249
3 56	2.57	222
0 42	2.57	223
3 3	2.57	230
1 57	2.56	246
1 49	2.56	246
1 5	2.56	255
3 2	2.56	228
2 49	2.55	249
3 18	2.54	228
0 10	2.54	226
1 55	2.53	240
2 31	2.53	250
2 35	2.53	248
1 32	2.52	241
3 51	2.52	231
2 53	2.51	244
2 27	2.51	248
3 62	2.51	222
0 4	2.51	219
2 13	2.50	246
0 36	2.50	226
2 57	2.49	237
3 54	2.49	226
0 26	2.49	220
3 52	2.48	225
3 25	2.48	232
2 37	2.48	248
3 61	2.48	231
3 13	2.47	233
0 62	2.47	227
3 28	2.47	226
1 25	2.47	245
1 27	2.46	249
0 50	2.46	223
2 61	2.46	234
1 31	2.46	252
0 8	2.45	228
2 33	2.45	245
0 34	2.45	230
2 19	2.45	238
1 30	2.45	246
1 15	2.45	241
1 9	2.45	246
1 21	2.44	244
1 23	2.43	244
2 1	2.43	243
3 20	2.43	226
2 51	2.43	239
0 14	2.43	227
1 41	2.43	241
2 17	2.43	244
3 0	2.43	223
2 59	2.43	243
2 29	2.42	244
2 23	2.42	243
1 13	2.42	255
0 53	2.42	235
2 11	2.42	242
1 53	2.41	237
3 37	2.41	236
0 38	2.41	226
1 11	2.41	242
0 30	2.41	223
2 15	2.41	239
0 32	2.41	230
2 3	2.40	240
3 7	2.40	231
1 45	2.39	243
0 24	2.39	220
1 19	2.39	236
2 7	2.39	238
0 2	2.39	237
1 3	2.38	235
1 63	2.38	235
3 42	2.38	220
3 47	2.37	235
2 5	2.37	234
2 39	2.36	234
0 58	2.36	221
0 52	2.36	227
1 43	2.35	244
1 37	2.35	237
0 13	2.34	234
0 18	2.34	223
1 17	2.34	243
1 47	2.33	237
0 0	2.32	228
1 59	2.32	240
2 47	2.32	243
3 11	2.31	230
3 5	2.31	242
1 29	2.30	238
3 53	2.30	224
1 35	2.30	236
0 59	2.30	230
3 55	2.29	226
3 39	2.29	230
1 7	2.29	238
0 63	2.29	234
3 45	2.28	227
3 57	2.28	225
3 15	2.28	222
3 27	2.28	228
3 59	2.28	228
0 41	2.28	230
3 9	2.27	223
0 55	2.27	229
0 29	2.27	235
0 25	2.26	230
0 31	2.26	233
3 29	2.25	224
0 54	2.25	227
0 61	2.25	231
0 15	2.25	228
0 6	2.25	224
3 23	2.25	224
3 63	2.24	222
1 39	2.24	236
3 1	2.24	224
3 21	2.24	220
1 33	2.24	238
3 43	2.24	226
3 19	2.24	227
3 49	2.23	222
0 3	2.23	219
3 35	2.23	224
0 56	2.22	226
0 11	2.22	232
0 45	2.22	233
1 61	2.22	235
3 38	2.22	223
3 17	2.21	229
0 9	2.21	232
0 49	2.20	231
0 39	2.19	228
0 37	2.19	238
0 43	2.19	226
0 23	2.19	227
0 16	2.18	225
0 27	2.18	231
3 31	2.17	222
0 51	2.17	224
0 47	2.17	234
0 35	2.16	229
0 5	2.16	227
0 7	2.15	226
0 21	2.15	218
0 17	2.15	224
0 1	2.11	225
3 33	2.10	224
0 19	2.10	225
0 33	2.09	228
3 41	2.08	227
0 57	2.07	223
