hg
Chip Chan	RMS
2 10	1021.07	936
2 18	1017.40	929
2 12	1017.27	932
2 8	1017.21	926
2 20	1016.78	930
2 62	1015.67	931
2 32	1015.64	930
2 28	1015.63	928
2 38	1014.27	929
2 40	1014.21	930
2 30	1013.93	928
2 6	1013.65	928
2 48	1013.32	927
2 44	1012.62	926
2 42	1011.84	927
2 56	1010.68	927
2 36	1010.22	925
2 46	1010.04	927
0 32	1009.73	914
2 52	1009.61	924
2 54	1009.23	923
2 14	1008.90	917
2 50	1008.75	919
0 26	1008.60	914
0 14	1008.10	911
0 52	1007.76	915
0 24	1007.71	914
0 42	1007.34	913
0 18	1007.31	909
0 54	1006.99	912
0 38	1006.39	910
2 24	1006.13	916
0 30	1005.93	910
0 8	1005.55	910
0 16	1005.45	911
0 46	1005.34	910
2 58	1005.17	921
0 22	1005.15	909
0 6	1005.00	910
0 62	1004.84	910
0 40	1004.62	908
0 2	1004.51	912
0 44	1004.43	910
0 36	1004.38	910
0 34	1002.33	907
0 50	1002.00	907
0 56	1001.72	907
0 58	1000.58	908
0 4	998.68	902
2 4	998.58	923
3 6	993.21	901
3 4	993.15	901
3 18	992.00	904
3 22	991.92	903
2 0	991.45	916
3 12	990.86	899
3 20	990.57	902
3 8	990.49	898
1 48	990.46	908
3 62	990.12	902
1 4	989.72	907
3 48	989.40	898
3 2	989.24	898
3 28	988.95	899
1 36	988.51	905
3 54	988.44	899
3 16	987.91	898
1 26	987.87	905
1 60	987.69	903
3 38	987.61	898
3 44	987.53	896
3 52	987.31	898
1 30	987.24	903
3 14	987.19	895
1 2	987.16	903
1 32	987.09	902
1 20	986.98	900
3 24	986.96	896
1 40	986.81	903
3 30	986.81	895
1 58	986.78	904
1 46	986.45	903
3 0	986.40	896
3 40	986.39	900
3 34	986.10	897
1 50	986.09	902
1 14	985.92	902
3 42	985.79	897
1 6	985.17	902
3 36	985.11	895
1 10	984.67	900
3 32	984.26	892
1 22	984.13	898
1 56	982.73	900
3 58	982.42	892
1 28	982.41	898
1 24	982.32	898
1 52	982.31	899
1 38	982.28	897
1 8	982.02	896
1 18	981.88	897
1 34	980.62	895
3 60	962.51	879
3 26	952.88	868
0 28	952.37	860
2 2	945.27	860
1 44	943.06	866
0 0	878.21	731
1 0	876.45	694
2 22	680.70	648
2 26	678.15	644
2 60	674.72	641
0 48	665.71	625
0 12	663.93	624
3 10	663.73	628
1 62	663.43	627
3 50	661.25	626
1 16	658.90	627
0 10	658.66	617
1 54	657.18	620
3 56	653.60	617
2 16	520.82	509
2 34	509.46	496
0 20	505.51	487
3 46	500.27	486
0 60	497.34	478
1 12	493.05	482
1 42	238.22	275
0 57	64.59	222
0 55	63.39	214
3 57	63.29	230
0 63	62.94	229
0 59	62.90	212
0 61	62.65	224
0 51	62.33	224
0 53	62.29	229
3 55	62.25	219
0 41	61.90	219
0 43	61.80	222
0 47	61.75	216
3 47	61.71	225
3 49	61.65	235
0 45	61.63	224
3 53	61.62	224
0 49	61.61	218
0 39	61.49	221
3 51	61.36	227
0 15	61.32	229
3 45	61.25	235
3 43	61.01	228
3 59	60.78	234
3 15	60.70	237
3 63	60.60	233
3 39	60.45	227
0 35	60.40	228
0 37	60.25	216
3 61	60.13	225
0 33	60.13	227
0 27	60.11	224
3 37	60.04	234
0 31	59.78	231
1 55	59.69	226
3 35	59.68	230
3 25	59.64	231
0 29	59.59	221
3 19	59.52	222
0 25	59.50	220
1 59	59.49	241
1 57	59.47	230
3 33	59.46	233
3 41	59.45	241
1 61	59.32	232
0 23	59.30	232
0 21	59.10	224
0 17	59.03	226
1 63	58.96	224
0 13	58.93	228
0 7	58.90	216
2 55	58.89	239
3 27	58.86	223
0 11	58.80	224
1 53	58.78	234
3 23	58.77	229
1 51	58.77	231
3 21	58.71	226
3 17	58.64	225
2 49	58.54	239
3 31	58.53	226
0 19	58.46	227
3 29	58.46	224
1 47	58.45	236
1 49	58.26	237
2 53	58.26	231
0 9	58.20	226
2 57	58.18	239
3 13	58.17	220
1 45	58.02	237
2 45	58.00	259
2 47	57.87	233
2 43	57.86	247
2 51	57.80	240
2 15	57.77	238
3 7	57.68	235
3 11	57.64	223
1 41	57.57	229
0 5	57.45	232
3 9	57.20	227
2 37	57.18	245
1 43	57.14	235
2 35	57.06	241
2 41	56.98	248
2 61	56.88	240
2 59	56.87	244
3 5	56.82	232
2 63	56.79	236
1 39	56.73	224
2 39	56.54	236
0 3	56.49	236
1 35	56.47	226
1 29	56.12	244
1 37	56.10	237
2 29	56.09	245
0 1	56.03	231
1 25	56.02	239
1 33	55.93	235
1 31	55.78	234
2 27	55.77	239
1 21	55.67	229
2 33	55.62	232
1 23	55.52	235
2 31	55.49	242
1 27	55.21	227
1 9	55.09	240
1 15	55.07	235
3 3	55.01	234
1 19	55.00	232
2 25	54.94	248
2 17	54.83	241
1 11	54.80	231
2 19	54.66	240
1 17	54.63	236
2 21	54.57	243
3 1	54.31	225
1 5	54.17	233
2 23	54.16	247
2 13	54.15	248
1 13	54.00	237
1 7	53.90	227
2 9	53.89	227
2 11	53.78	241
2 5	53.60	237
2 7	53.38	247
1 3	53.01	237
1 1	52.94	228
2 3	52.26	249
2 1	51.81	243
