hg
Chip Chan	RMS
0 0	827.67	727
2 18	702.64	650
2 28	697.77	645
2 10	696.79	649
2 40	695.94	645
2 44	693.81	643
2 20	693.42	646
2 48	692.48	645
2 36	691.25	640
2 50	690.73	639
2 42	689.42	637
2 12	688.28	641
2 8	687.65	638
2 54	687.49	636
2 38	687.47	637
2 46	686.72	638
2 52	685.88	634
2 30	684.94	634
2 58	684.38	634
2 62	684.37	635
2 32	684.30	636
2 6	682.67	632
2 24	680.00	628
2 56	679.76	630
2 14	678.16	629
0 24	677.58	625
1 0	675.64	642
0 26	672.42	621
0 52	671.30	619
0 22	671.25	617
0 44	668.76	616
0 40	667.41	613
0 16	665.98	615
0 36	665.57	613
0 38	665.52	611
0 14	665.44	614
0 32	664.77	614
0 18	664.33	610
0 30	663.90	611
0 56	663.87	610
0 42	663.69	613
0 58	662.36	612
0 54	661.98	609
3 52	661.52	612
0 8	660.84	610
0 62	660.35	608
3 44	660.28	611
0 6	659.98	609
3 48	659.79	610
0 46	659.72	608
2 2	659.66	657
0 50	659.34	607
3 38	659.25	610
3 62	659.13	610
3 58	658.28	608
3 42	658.17	607
1 14	658.07	610
3 28	657.82	610
0 2	657.21	610
0 34	656.99	603
3 18	656.12	610
1 48	655.97	611
3 22	654.53	607
3 4	654.27	606
3 16	654.18	607
3 54	653.94	606
3 6	653.77	607
1 10	653.50	607
0 4	653.43	607
1 36	653.41	608
3 36	653.40	604
1 40	653.19	605
2 4	652.92	640
3 2	652.45	604
3 40	652.13	604
1 58	651.63	607
1 60	651.35	604
3 20	651.22	605
1 4	650.98	607
3 24	650.69	603
1 26	650.08	606
3 12	650.01	603
3 30	649.88	602
3 14	648.99	600
1 56	648.15	602
1 2	647.82	602
3 34	647.63	600
1 50	647.63	600
1 46	647.61	603
1 6	646.96	602
3 8	646.87	599
1 30	646.12	601
1 22	645.06	599
1 52	644.94	598
1 8	644.37	596
1 20	644.33	598
1 18	643.53	597
3 32	643.20	597
1 32	643.18	599
1 24	643.11	597
3 0	643.03	597
1 28	642.11	596
1 34	639.67	592
1 38	638.95	592
2 0	635.15	631
0 28	633.29	626
3 60	618.33	617
3 26	589.78	551
1 44	562.67	532
2 22	382.58	391
2 26	379.82	386
2 60	378.93	386
0 12	371.94	377
3 50	367.37	374
0 48	366.33	368
0 10	364.43	366
1 62	363.76	372
3 10	363.02	371
1 16	360.46	373
3 56	359.84	365
1 54	357.35	362
2 16	290.78	323
2 34	287.76	316
0 20	283.02	307
0 60	282.13	304
3 46	279.73	309
1 12	276.69	308
1 42	130.59	241
2 53	11.28	234
2 55	11.27	242
2 57	11.19	243
2 63	11.18	239
2 61	11.10	243
2 51	11.02	243
2 45	11.01	263
2 49	11.01	242
2 43	11.00	251
2 59	10.95	248
2 39	10.89	240
2 47	10.83	236
2 31	10.79	245
2 41	10.78	251
2 29	10.69	248
2 33	10.60	235
2 37	10.59	249
2 35	10.57	245
2 27	10.43	242
0 63	10.38	233
2 23	10.33	250
0 57	10.32	226
0 53	10.28	233
0 59	10.27	216
0 55	10.27	218
2 25	10.22	251
0 39	10.21	225
0 51	10.17	228
0 47	10.14	220
0 61	10.11	228
0 49	10.11	222
2 19	10.09	243
0 45	10.09	228
2 17	10.07	244
0 41	10.05	223
0 35	10.04	231
0 43	10.03	226
3 55	9.99	223
2 13	9.98	251
3 63	9.97	237
2 21	9.97	246
0 33	9.97	231
3 57	9.96	234
3 45	9.95	239
0 31	9.92	235
0 37	9.92	220
3 59	9.91	237
2 11	9.87	245
3 43	9.86	231
3 61	9.86	229
0 29	9.83	225
3 47	9.79	228
2 9	9.79	230
3 49	9.79	238
3 41	9.78	245
3 53	9.78	227
3 37	9.78	237
1 51	9.77	236
1 47	9.76	240
3 51	9.75	231
2 15	9.74	241
0 27	9.72	228
2 7	9.72	250
1 59	9.72	245
0 25	9.71	223
3 31	9.70	230
1 61	9.70	237
1 63	9.70	229
1 57	9.70	234
3 39	9.70	231
2 5	9.67	240
1 49	9.66	242
3 35	9.65	233
0 23	9.64	236
0 21	9.63	228
3 29	9.62	227
1 53	9.61	239
1 55	9.61	231
3 33	9.58	237
1 45	9.57	242
3 23	9.50	232
3 19	9.50	225
1 39	9.48	229
3 21	9.47	230
1 37	9.46	242
3 25	9.46	235
3 27	9.44	227
1 43	9.43	239
0 19	9.42	231
0 17	9.42	230
0 13	9.41	232
1 29	9.35	248
1 41	9.35	233
3 17	9.33	228
1 31	9.31	238
2 3	9.30	253
2 1	9.29	246
0 7	9.28	219
1 27	9.28	231
1 35	9.27	231
1 25	9.26	243
1 33	9.24	239
0 9	9.21	229
0 11	9.20	227
0 5	9.15	235
3 13	9.11	223
0 15	9.10	233
3 9	9.06	230
3 7	9.05	239
3 11	9.00	227
1 21	8.99	234
1 23	8.98	240
0 1	8.98	234
0 3	8.97	239
3 15	8.95	240
1 19	8.93	237
1 17	8.93	240
3 3	8.83	237
3 5	8.82	235
1 9	8.75	244
1 15	8.73	239
1 13	8.71	241
3 1	8.69	228
1 11	8.55	235
1 5	8.48	237
1 7	8.48	231
1 3	8.21	240
1 1	7.95	231
