hg
Chip Chan	RMS
0 0	778.39	704
1 0	499.50	463
2 2	322.44	329
0 28	287.56	291
3 60	229.16	267
2 0	187.48	256
2 4	162.74	252
0 2	137.33	234
0 4	137.07	222
0 16	128.85	234
0 6	128.81	231
0 14	128.47	231
0 18	127.63	223
0 8	126.30	233
0 22	125.09	232
0 24	125.02	239
0 52	124.58	239
0 54	124.25	227
0 56	122.19	224
0 26	121.67	238
0 62	121.48	227
0 30	121.35	228
0 34	120.60	221
0 42	120.02	237
0 36	119.86	231
0 40	119.37	226
0 38	119.37	222
0 32	119.31	238
0 44	119.19	236
1 30	118.10	238
0 46	117.53	232
0 50	116.97	231
1 32	115.86	239
0 58	115.44	235
1 2	114.57	233
1 46	114.27	241
1 48	114.06	245
3 42	113.83	227
1 24	113.82	232
1 4	113.53	245
1 52	113.24	234
1 26	113.16	244
1 60	113.09	238
1 40	112.75	232
3 40	112.63	236
1 34	112.40	224
2 42	112.39	238
3 22	112.31	235
3 20	112.28	240
1 38	112.27	226
1 22	111.89	233
1 50	111.85	231
1 36	111.82	243
3 2	111.65	227
3 38	111.61	233
3 34	111.46	233
3 54	111.30	238
3 32	111.20	231
3 30	110.83	232
1 58	110.83	240
1 28	110.65	234
2 40	110.44	248
1 18	110.35	234
3 62	110.16	234
1 20	110.08	234
3 18	110.06	244
3 28	109.94	240
1 56	109.89	238
2 6	109.69	241
3 36	109.60	231
3 0	109.60	232
3 4	109.29	234
2 56	109.24	242
3 16	109.11	233
3 14	108.85	225
2 10	108.82	258
3 48	108.71	231
3 52	108.61	235
3 44	108.13	234
1 14	108.01	237
1 10	107.93	240
3 24	107.91	233
1 8	107.91	227
2 30	107.43	244
2 62	107.18	248
1 6	106.96	240
2 38	106.76	244
3 8	106.74	229
3 12	106.53	234
2 52	106.06	239
2 12	105.73	255
2 46	105.22	251
2 28	105.21	244
1 44	105.10	231
2 36	105.02	244
2 54	105.00	242
2 20	104.62	256
2 44	104.46	250
2 58	104.29	245
2 32	104.11	252
3 26	103.82	224
2 18	103.24	247
3 6	102.81	237
3 58	102.02	230
2 24	101.66	234
2 48	101.13	256
2 8	100.20	245
2 50	99.19	244
2 14	96.76	242
0 12	92.60	235
0 10	90.71	221
0 48	83.39	224
1 62	77.69	235
1 54	77.04	223
3 50	76.47	232
3 56	75.36	225
1 16	74.30	245
2 26	74.10	238
3 10	72.55	233
2 60	72.40	239
2 22	72.26	245
0 60	69.70	225
0 20	68.15	228
1 12	58.79	239
2 34	58.67	238
2 16	55.70	246
3 46	55.63	234
1 42	36.18	234
2 15	9.27	243
3 15	8.80	242
0 15	8.32	234
2 61	7.49	246
2 9	7.46	232
2 25	7.37	253
2 63	7.32	242
2 1	7.32	248
2 59	7.30	250
2 41	7.29	254
2 47	7.28	239
2 45	7.25	265
2 55	7.22	244
2 57	7.21	245
2 21	7.19	248
2 33	7.18	237
2 23	7.18	253
2 29	7.18	250
2 11	7.17	246
2 51	7.17	245
2 19	7.16	245
2 53	7.15	237
2 3	7.13	255
2 35	7.11	247
2 27	7.10	244
2 43	7.10	253
2 17	7.10	246
2 7	7.09	252
2 5	7.09	242
2 13	7.04	253
2 39	6.98	242
2 49	6.97	244
2 37	6.97	251
2 31	6.96	248
3 57	6.85	236
3 63	6.85	239
0 1	6.84	235
3 59	6.84	239
3 61	6.82	231
3 47	6.78	230
3 55	6.77	225
3 43	6.76	233
3 51	6.73	233
3 27	6.70	228
3 11	6.69	228
0 3	6.68	241
3 45	6.64	241
3 7	6.63	241
3 53	6.61	229
3 23	6.61	234
3 33	6.61	239
0 7	6.56	221
3 9	6.56	231
3 5	6.56	237
0 11	6.55	229
0 19	6.55	233
3 3	6.55	239
0 5	6.54	237
3 1	6.54	229
0 17	6.53	231
3 19	6.53	227
3 31	6.51	232
3 21	6.50	232
0 31	6.50	237
3 17	6.49	229
3 13	6.48	225
3 25	6.47	237
3 39	6.46	233
3 35	6.46	235
3 49	6.45	240
3 37	6.45	239
0 63	6.44	235
0 13	6.44	233
0 25	6.43	225
3 41	6.43	247
3 29	6.42	229
0 39	6.40	226
0 23	6.39	237
0 21	6.33	229
0 55	6.32	219
0 61	6.31	229
0 9	6.30	231
0 53	6.29	235
0 51	6.26	230
0 27	6.26	230
0 35	6.25	233
0 29	6.25	226
0 41	6.24	225
1 61	6.24	238
0 57	6.24	228
0 33	6.24	233
0 43	6.23	228
1 59	6.21	246
0 59	6.21	218
0 49	6.16	223
0 45	6.14	230
0 47	6.13	222
1 53	6.10	240
1 57	6.08	235
1 63	6.08	230
1 49	6.04	242
0 37	6.03	222
1 51	5.98	237
1 45	5.96	243
1 35	5.91	232
1 31	5.90	239
1 47	5.90	241
1 55	5.89	232
1 23	5.88	241
1 29	5.87	249
1 37	5.81	242
1 43	5.79	240
1 39	5.79	230
1 13	5.78	242
1 33	5.78	240
1 41	5.78	234
1 21	5.77	235
1 7	5.77	231
1 19	5.73	237
1 17	5.72	241
1 15	5.69	240
1 5	5.68	238
1 3	5.66	241
1 27	5.62	232
1 9	5.61	245
1 25	5.59	244
1 1	5.55	232
1 11	5.40	236
