hg
Chip Chan	RMS
0 22	27.38	240
0 0	19.88	232
3 18	17.14	253
1 4	13.96	248
0 28	13.92	238
0 4	13.71	239
1 0	13.58	255
1 20	13.19	252
1 24	13.16	258
1 38	13.12	263
1 10	13.06	256
1 32	13.03	256
1 56	12.95	261
1 22	12.93	253
3 32	12.93	242
1 14	12.89	262
1 52	12.86	254
1 2	12.85	250
1 6	12.83	256
1 8	12.81	251
1 18	12.80	253
1 58	12.78	248
1 40	12.70	252
1 34	12.69	254
1 26	12.68	250
1 28	12.63	262
1 36	12.60	255
1 48	12.56	256
1 50	12.55	252
1 60	12.51	250
0 36	12.45	251
3 4	12.34	256
3 14	12.32	260
3 28	12.32	253
1 30	12.32	257
0 58	12.29	240
1 46	12.28	255
0 26	12.24	253
3 44	12.20	241
3 8	12.14	250
3 24	12.12	238
3 34	12.11	241
3 54	12.08	245
1 44	12.07	255
3 38	12.06	247
3 22	12.05	253
0 30	12.04	239
3 58	12.02	253
0 52	11.98	245
3 6	11.98	247
2 2	11.95	246
3 48	11.93	239
0 24	11.90	245
0 34	11.90	243
0 32	11.90	243
3 20	11.89	247
0 42	11.88	249
3 36	11.86	252
3 42	11.86	242
0 54	11.85	250
0 8	11.83	247
3 30	11.83	244
0 62	11.83	234
0 2	11.82	248
3 16	11.82	247
3 60	11.81	233
0 16	11.79	247
0 46	11.77	254
3 2	11.72	249
0 6	11.72	246
0 38	11.71	247
0 56	11.71	251
3 62	11.71	245
0 18	11.64	251
3 40	11.63	253
3 12	11.59	251
2 46	11.57	247
0 14	11.55	239
2 48	11.55	251
0 44	11.55	252
0 50	11.53	241
2 54	11.51	250
3 0	11.47	242
3 52	11.41	250
0 40	11.40	246
2 24	11.33	245
2 14	11.33	249
2 36	11.28	234
2 6	11.26	253
2 56	11.25	250
2 44	11.23	250
2 20	11.22	244
2 4	11.21	244
2 52	11.21	250
2 42	11.17	246
2 0	11.15	240
3 26	11.15	237
2 62	11.14	256
2 10	11.12	240
2 8	11.10	239
2 38	11.10	256
2 12	11.09	239
2 58	11.08	247
2 50	11.05	250
2 40	11.04	259
2 30	11.03	245
2 28	10.95	254
2 18	10.94	243
2 32	10.74	240
1 62	9.35	266
1 16	8.98	253
1 54	8.73	251
3 56	8.54	254
3 10	8.51	254
0 10	8.36	251
0 12	8.33	242
0 48	8.29	247
3 50	8.04	247
2 22	7.63	244
1 12	7.57	250
2 26	7.53	236
2 60	7.41	244
3 46	7.17	251
0 60	7.03	235
0 20	6.82	239
2 34	6.59	239
2 16	6.44	243
1 42	5.11	257
3 37	3.40	251
3 57	3.37	252
3 43	3.36	248
3 19	3.35	245
3 13	3.33	255
3 21	3.33	247
3 53	3.32	247
3 5	3.32	248
3 9	3.30	250
3 23	3.30	254
3 41	3.29	244
3 31	3.29	252
3 49	3.28	241
3 3	3.27	240
3 35	3.25	246
1 53	3.25	261
3 61	3.24	249
1 5	3.23	267
1 55	3.23	250
3 17	3.22	241
1 37	3.22	262
1 21	3.22	257
3 15	3.21	254
1 61	3.21	261
1 43	3.21	254
1 33	3.20	261
3 1	3.20	263
3 51	3.20	237
3 45	3.20	244
3 39	3.20	240
1 57	3.19	257
3 29	3.19	246
3 7	3.19	242
1 15	3.18	256
3 63	3.18	247
3 11	3.18	247
1 59	3.17	254
3 25	3.15	239
3 33	3.15	237
3 55	3.15	242
3 59	3.15	246
3 47	3.14	237
1 7	3.13	255
1 31	3.11	255
3 27	3.10	240
1 35	3.09	250
1 49	3.09	248
1 51	3.09	249
1 29	3.09	254
1 23	3.08	254
1 41	3.07	256
1 17	3.07	248
1 1	3.05	252
1 39	3.04	255
1 63	3.01	252
1 13	3.01	250
1 45	3.01	251
1 25	3.01	251
1 47	2.98	253
1 19	2.98	255
1 3	2.96	243
1 9	2.96	246
1 11	2.91	249
1 27	2.83	248
0 13	2.79	253
0 19	2.78	256
0 45	2.78	246
0 61	2.78	243
0 11	2.78	238
0 5	2.77	247
0 7	2.77	241
0 29	2.77	242
0 53	2.76	252
0 15	2.75	239
0 57	2.75	244
0 37	2.74	245
0 55	2.73	249
0 41	2.72	236
0 39	2.70	237
0 33	2.69	240
0 17	2.67	246
0 47	2.67	243
0 31	2.67	237
0 63	2.66	240
0 35	2.66	240
0 23	2.66	243
0 51	2.65	233
0 27	2.64	244
0 59	2.64	233
0 1	2.63	240
0 3	2.62	237
0 49	2.61	240
2 9	2.61	249
0 25	2.60	228
0 21	2.59	235
0 43	2.58	244
2 57	2.58	249
0 9	2.58	237
2 3	2.56	246
2 49	2.54	246
2 63	2.54	251
2 55	2.54	237
2 35	2.51	248
2 5	2.50	243
2 43	2.48	254
2 41	2.47	246
2 51	2.45	245
2 37	2.45	243
2 27	2.45	246
2 53	2.44	243
2 31	2.44	242
2 33	2.43	244
2 47	2.43	243
2 59	2.42	237
2 7	2.42	242
2 39	2.41	236
2 19	2.41	243
2 23	2.41	246
2 61	2.40	237
2 25	2.34	240
2 21	2.34	240
2 29	2.34	246
2 13	2.32	237
2 15	2.32	231
2 1	2.31	239
2 11	2.29	239
2 45	2.27	232
2 17	2.25	241
