hg
Chip Chan	RMS
0 0	791.51	690
1 0	506.23	464
2 2	324.34	332
0 28	279.82	285
3 60	224.84	264
2 0	177.74	251
2 4	137.13	252
0 4	92.56	217
0 2	86.74	231
0 6	72.79	228
0 16	69.80	231
0 14	65.95	228
0 8	65.44	231
0 18	64.40	221
0 22	61.27	229
0 56	61.16	222
0 40	60.93	223
0 46	60.74	229
0 24	59.47	237
0 52	59.44	236
0 62	58.94	224
0 34	57.64	218
0 54	57.34	224
0 42	57.31	234
0 26	56.70	236
0 50	56.69	228
0 30	56.59	226
0 36	55.88	229
0 32	55.47	236
0 44	55.22	234
0 58	53.46	233
0 38	53.29	220
0 10	51.23	219
3 62	44.32	240
3 58	43.94	234
0 12	43.70	235
3 32	42.89	235
0 48	42.13	223
2 56	40.55	246
3 54	40.54	243
2 58	40.30	248
2 62	39.64	252
3 0	39.55	237
3 42	39.52	231
3 52	39.51	240
2 20	39.50	260
3 44	38.93	238
3 2	38.86	232
2 42	38.75	241
2 46	38.64	254
2 6	38.32	244
3 40	38.27	240
3 34	38.14	237
3 30	38.05	236
3 48	38.00	236
2 52	37.96	242
3 36	37.94	236
3 12	37.88	238
3 38	37.48	237
3 4	37.47	238
2 50	37.25	247
3 6	37.21	242
2 18	37.20	251
2 48	37.20	260
3 16	37.18	238
2 40	36.98	252
3 22	36.84	240
0 60	36.34	224
3 8	36.14	233
3 14	35.90	229
3 18	35.88	248
3 28	35.86	244
2 54	35.81	245
3 20	35.45	245
2 8	35.13	248
2 10	35.11	262
3 24	35.11	237
2 28	35.10	247
2 30	34.85	247
2 14	34.74	245
2 38	34.68	248
2 12	34.35	259
0 20	34.32	228
2 32	34.29	255
2 24	34.23	237
2 36	33.85	247
2 44	33.30	253
3 26	32.29	227
2 60	28.83	242
3 56	27.07	228
3 10	26.21	237
1 58	25.99	243
1 2	25.85	237
1 30	25.58	241
2 22	25.34	247
3 50	25.32	235
1 56	25.28	241
1 24	25.01	235
1 4	24.58	248
1 48	24.07	249
1 46	23.66	245
2 26	23.65	241
1 32	23.57	242
1 50	23.56	234
1 38	23.46	229
1 36	23.44	246
1 40	23.30	235
1 52	23.28	237
1 60	23.11	240
1 34	22.90	227
1 22	22.46	236
1 26	22.29	247
1 28	22.15	236
3 46	22.15	237
1 44	21.92	233
2 16	21.70	249
1 20	21.61	237
1 6	21.41	241
1 8	21.36	229
1 18	21.23	236
1 10	20.91	243
1 14	20.88	240
2 34	20.06	240
1 54	14.47	225
1 62	14.30	237
1 42	13.25	236
1 16	12.64	247
1 12	10.26	240
0 1	5.16	236
2 15	5.05	244
2 53	4.98	237
2 1	4.97	248
2 7	4.97	253
2 55	4.97	245
2 57	4.94	246
2 3	4.93	255
2 59	4.92	251
2 63	4.90	243
2 45	4.89	266
2 51	4.89	246
2 37	4.88	252
2 43	4.87	254
2 17	4.85	247
2 29	4.84	251
2 13	4.83	253
2 27	4.82	245
2 31	4.82	248
2 47	4.81	239
2 21	4.81	249
2 5	4.81	243
0 5	4.81	237
2 61	4.80	247
2 9	4.79	233
2 11	4.79	247
0 3	4.79	241
2 39	4.77	243
2 19	4.77	246
0 13	4.77	233
0 11	4.76	229
2 33	4.76	238
2 25	4.76	254
2 41	4.75	255
2 49	4.74	245
2 23	4.74	253
0 7	4.74	221
2 35	4.68	248
0 19	4.62	233
0 9	4.61	231
0 23	4.53	237
0 17	4.49	231
0 63	4.47	235
0 53	4.44	235
0 21	4.42	230
0 43	4.36	228
0 25	4.36	225
0 41	4.31	225
0 33	4.31	233
0 51	4.30	230
0 31	4.29	237
0 57	4.25	228
0 35	4.23	233
0 47	4.22	222
0 27	4.22	230
0 37	4.22	222
0 45	4.20	230
0 55	4.18	219
3 57	4.17	236
0 29	4.15	227
0 59	4.15	218
3 63	4.15	240
0 39	4.14	227
0 49	4.14	224
0 61	4.14	230
3 61	4.14	231
3 47	4.11	231
3 45	4.11	241
3 55	4.08	226
3 1	4.07	230
3 7	4.07	241
3 15	4.06	243
3 5	4.06	238
3 43	4.05	234
3 59	4.05	240
3 23	4.03	235
3 3	4.02	240
3 35	4.01	236
3 41	4.01	247
3 33	3.99	240
3 39	3.98	233
3 49	3.97	241
0 15	3.97	235
3 19	3.97	227
3 51	3.96	233
3 53	3.96	230
3 9	3.93	232
3 11	3.92	229
3 25	3.92	237
3 29	3.92	230
3 37	3.90	240
3 21	3.90	232
3 31	3.88	232
3 13	3.88	225
1 53	3.87	240
3 17	3.83	230
1 51	3.83	237
3 27	3.82	229
1 61	3.79	238
1 23	3.76	241
1 59	3.74	246
1 63	3.73	230
1 57	3.73	235
1 41	3.73	234
1 45	3.72	243
1 55	3.70	232
1 31	3.70	239
1 29	3.69	249
1 49	3.67	243
1 27	3.67	232
1 25	3.66	244
1 33	3.63	240
1 17	3.62	241
1 5	3.60	238
1 35	3.59	232
1 37	3.59	243
1 47	3.58	241
1 21	3.57	235
1 9	3.57	245
1 39	3.56	230
1 13	3.56	241
1 7	3.55	232
1 43	3.54	240
1 15	3.53	240
1 11	3.49	236
1 3	3.48	241
1 1	3.48	232
1 19	3.45	237
