hg
Chip Chan	RMS
0 0	768.03	627
1 0	497.70	423
2 2	315.29	304
0 28	279.24	266
3 60	222.61	249
2 0	170.78	245
2 4	133.04	247
0 4	103.57	210
0 2	98.57	224
0 6	86.84	222
0 16	85.04	227
0 14	80.94	223
0 8	80.35	226
0 18	79.60	215
0 40	77.86	218
0 56	77.74	218
0 22	77.49	224
0 46	77.16	224
0 52	77.07	232
0 62	76.39	220
0 24	75.94	233
0 42	75.07	230
0 34	75.07	215
0 54	74.66	221
0 26	74.34	232
0 36	73.91	225
0 30	73.90	223
0 50	73.74	224
0 32	73.55	232
0 44	73.49	229
0 58	71.70	231
0 38	71.65	217
3 62	59.35	242
3 58	58.76	236
3 32	58.62	237
3 54	57.26	245
3 44	57.03	240
3 48	56.72	238
3 52	56.65	242
3 42	56.49	234
2 56	56.39	249
2 62	56.39	254
2 58	56.24	251
2 42	56.23	244
3 30	56.20	238
0 10	56.08	215
2 18	55.97	254
3 38	55.89	239
3 40	55.87	243
3 2	55.78	235
2 20	55.72	262
2 46	55.63	257
2 52	55.58	245
3 4	55.50	240
2 50	55.43	250
3 34	55.42	239
3 0	55.40	240
3 36	55.40	238
3 22	55.36	242
3 16	55.33	240
2 40	55.29	255
2 48	55.23	263
3 12	55.20	240
3 8	55.09	235
3 28	55.02	245
3 6	55.02	244
3 24	54.63	239
2 6	54.62	247
3 14	54.48	231
3 18	54.40	250
2 28	54.32	249
2 10	54.30	264
3 20	54.28	247
2 8	53.98	250
2 54	53.95	248
2 38	53.92	251
2 30	53.71	249
2 44	53.58	255
2 14	53.57	248
2 36	53.51	250
2 24	53.48	240
2 12	53.27	261
2 32	53.21	258
1 2	50.67	239
1 40	50.13	237
1 4	50.11	250
0 12	50.07	232
1 36	50.06	249
3 26	49.99	229
1 14	49.98	241
1 56	49.88	244
1 60	49.80	242
1 8	49.80	230
1 50	49.80	237
1 20	49.74	238
1 26	49.71	248
1 30	49.63	243
1 24	49.29	238
1 58	49.29	245
1 22	49.28	237
1 28	49.26	238
1 52	49.14	240
1 48	49.11	250
1 46	49.10	247
0 48	49.01	219
1 6	48.94	243
1 10	48.89	244
1 32	48.87	244
1 38	48.74	231
1 18	48.72	238
1 34	48.71	229
1 44	43.34	236
0 60	40.26	221
0 20	38.25	225
2 60	34.09	245
3 56	33.25	230
3 50	32.34	237
3 10	32.19	239
2 22	31.74	250
2 26	30.59	243
1 54	26.38	226
1 62	26.15	239
1 16	26.11	247
3 46	25.97	239
2 16	25.22	251
2 34	24.34	243
1 12	19.04	240
1 42	13.60	236
2 15	5.30	244
2 5	5.10	243
0 1	5.01	235
2 7	5.00	253
2 49	4.98	245
2 3	4.96	256
2 17	4.94	247
2 59	4.94	251
2 35	4.94	248
2 45	4.94	266
2 41	4.94	255
2 61	4.93	247
2 29	4.93	251
2 31	4.93	249
2 11	4.92	247
2 1	4.92	249
2 47	4.90	239
2 51	4.90	247
2 43	4.90	254
2 57	4.87	246
2 37	4.87	252
2 23	4.86	254
2 55	4.86	245
2 9	4.86	233
2 53	4.83	238
0 5	4.83	237
2 39	4.81	243
2 25	4.79	254
2 27	4.79	245
2 13	4.76	254
2 21	4.74	249
0 7	4.74	220
0 3	4.73	240
2 19	4.73	246
2 33	4.63	238
0 9	4.61	231
2 63	4.61	243
0 11	4.51	229
0 19	4.47	232
0 13	4.42	233
0 17	4.40	231
0 61	4.39	229
0 25	4.37	225
3 59	4.35	240
3 55	4.32	226
0 35	4.31	233
0 63	4.27	234
0 31	4.26	236
0 21	4.24	229
3 9	4.24	232
0 27	4.23	230
0 23	4.22	237
0 41	4.21	224
3 41	4.18	248
0 29	4.18	226
0 45	4.18	230
0 53	4.17	234
3 57	4.16	237
0 33	4.15	232
0 49	4.15	223
3 53	4.15	230
0 43	4.14	227
3 15	4.14	243
3 61	4.13	231
0 37	4.13	221
3 47	4.12	231
3 63	4.12	240
3 19	4.12	228
3 3	4.12	240
3 39	4.11	234
3 45	4.10	241
3 5	4.10	238
3 1	4.09	230
0 39	4.09	226
3 51	4.08	234
3 25	4.07	238
3 49	4.06	241
1 51	4.06	237
3 21	4.06	232
0 15	4.05	234
0 51	4.05	229
0 59	4.04	217
3 11	4.03	229
0 55	4.02	219
3 7	4.01	241
0 57	4.01	228
3 17	3.98	230
1 61	3.98	238
3 29	3.98	230
3 23	3.98	235
3 35	3.97	236
3 13	3.96	226
0 47	3.96	221
3 43	3.94	234
1 53	3.94	240
3 33	3.93	240
1 41	3.92	234
1 57	3.92	235
3 37	3.91	240
1 47	3.90	241
1 27	3.88	232
1 29	3.87	249
1 21	3.87	235
1 19	3.86	237
1 63	3.85	230
1 39	3.85	230
1 59	3.83	246
1 49	3.82	243
1 43	3.81	240
3 27	3.79	229
1 17	3.79	241
3 31	3.79	232
1 9	3.79	245
1 33	3.78	240
1 13	3.77	241
1 45	3.75	243
1 25	3.72	245
1 23	3.71	241
1 35	3.71	232
1 55	3.69	231
1 15	3.68	240
1 31	3.65	239
1 1	3.64	232
1 37	3.64	242
1 11	3.61	236
1 5	3.60	238
1 3	3.59	241
1 7	3.55	232
