hg
Chip Chan	RMS
0 0	783.94	683
1 0	506.89	436
2 2	323.47	311
0 28	283.54	274
3 60	224.55	246
2 0	173.41	237
2 4	132.01	241
0 4	92.46	218
0 2	86.15	233
0 6	70.88	230
0 16	67.56	233
0 14	62.13	231
0 8	61.78	234
0 18	60.57	224
0 22	58.39	231
0 56	58.10	225
0 46	56.96	233
0 40	56.96	226
0 52	56.20	239
0 24	55.50	240
0 62	55.08	227
0 42	53.83	237
0 34	53.73	221
0 26	53.02	238
0 50	53.01	231
0 54	52.94	227
0 30	52.51	229
0 36	51.83	231
0 44	51.19	237
0 32	50.79	239
0 58	50.57	236
0 10	48.96	220
0 38	48.82	223
0 12	41.70	236
0 48	40.48	224
3 62	39.58	235
3 58	38.77	230
3 32	37.97	231
2 56	35.64	243
3 54	35.35	239
2 58	35.31	244
2 62	34.96	248
0 60	34.65	225
3 0	34.44	234
3 42	34.27	228
3 52	34.25	236
2 20	34.06	256
2 46	33.76	251
3 2	33.57	229
3 44	33.39	235
2 42	33.34	238
3 48	33.05	233
3 40	32.75	237
2 52	32.72	239
3 34	32.63	234
0 20	32.60	228
3 12	32.57	235
2 48	32.46	256
2 6	32.45	242
3 30	32.37	233
3 6	32.35	239
2 50	32.30	244
2 40	32.25	249
3 36	32.11	233
3 38	31.90	234
2 18	31.87	248
3 16	31.67	235
3 4	31.63	235
3 22	31.41	237
3 8	31.25	230
2 54	30.73	242
3 28	30.53	241
3 14	30.43	226
2 28	30.30	244
2 10	29.96	259
3 20	29.94	242
3 24	29.92	234
2 38	29.81	245
3 18	29.78	246
2 8	29.39	244
2 30	29.36	244
2 24	29.35	234
2 14	29.32	243
2 32	28.80	253
2 12	28.71	256
2 36	28.48	244
2 44	27.97	251
2 60	27.70	240
3 26	27.08	225
3 56	25.00	226
2 22	24.06	246
3 10	23.94	235
3 50	23.39	233
2 26	21.84	239
2 16	21.22	247
3 46	20.86	235
1 2	19.61	236
1 58	19.47	242
2 34	19.18	239
1 30	18.71	240
1 56	18.69	241
1 4	18.13	248
1 24	17.63	235
1 48	17.02	248
1 46	16.51	245
1 50	16.49	234
1 60	16.10	240
1 52	16.05	237
1 36	16.04	246
1 40	15.83	235
1 38	15.83	229
1 34	15.78	227
1 32	15.75	242
1 44	15.51	233
1 26	14.94	247
1 22	14.47	236
1 28	14.39	236
1 20	14.06	237
1 6	14.00	242
1 10	13.79	243
1 18	13.52	236
1 8	13.33	229
1 14	13.31	240
1 42	12.98	235
1 54	11.38	225
1 62	11.32	237
1 16	9.62	247
1 12	8.19	240
2 59	5.05	251
2 57	5.04	246
2 15	5.01	244
2 63	5.01	243
2 55	5.00	245
2 53	4.98	237
2 1	4.97	248
2 39	4.96	243
0 1	4.96	236
2 19	4.96	246
2 3	4.95	256
2 25	4.93	254
2 9	4.92	233
2 35	4.89	248
2 7	4.88	253
2 61	4.88	247
2 45	4.88	266
2 13	4.88	254
2 37	4.87	252
2 23	4.87	253
2 17	4.86	247
2 11	4.86	247
2 29	4.85	251
2 51	4.85	247
2 21	4.84	249
2 31	4.82	248
2 5	4.82	243
2 49	4.82	245
2 33	4.82	238
2 43	4.81	254
2 47	4.80	240
2 27	4.75	245
2 41	4.72	255
0 7	4.54	221
0 3	4.53	241
0 5	4.49	237
0 9	4.46	231
0 11	4.39	229
0 13	4.26	233
0 17	4.23	232
3 57	4.21	236
3 59	4.20	240
0 23	4.17	238
3 53	4.16	230
3 15	4.13	243
3 37	4.13	240
3 3	4.09	239
3 19	4.09	227
3 23	4.08	235
3 55	4.07	226
0 21	4.07	230
3 41	4.07	248
3 7	4.07	241
3 63	4.06	240
3 49	4.05	241
3 17	4.04	230
3 61	4.03	232
3 1	4.03	230
0 19	4.03	233
3 5	4.02	238
0 63	4.01	235
3 13	4.01	226
3 35	4.00	236
0 51	4.00	230
3 27	4.00	229
0 25	3.99	225
3 11	3.98	229
0 37	3.98	222
0 55	3.98	220
0 59	3.98	218
3 33	3.97	240
0 45	3.97	230
3 45	3.97	241
0 53	3.96	235
3 43	3.96	234
3 21	3.96	233
3 47	3.95	231
0 57	3.95	228
0 29	3.95	227
0 35	3.95	233
3 31	3.95	232
0 15	3.95	235
3 51	3.94	234
0 47	3.94	222
0 33	3.93	233
3 9	3.93	232
0 41	3.90	225
0 31	3.89	237
0 27	3.89	230
0 61	3.88	230
3 25	3.88	238
3 39	3.87	234
0 49	3.87	224
0 39	3.85	227
0 43	3.85	228
3 29	3.78	230
1 61	3.75	238
1 59	3.74	247
1 63	3.72	230
1 55	3.72	232
1 57	3.69	235
1 45	3.69	243
1 37	3.65	243
1 49	3.64	243
1 25	3.61	245
1 47	3.60	242
1 51	3.58	237
1 41	3.56	234
1 13	3.54	242
1 43	3.52	241
1 53	3.51	240
1 9	3.49	245
1 5	3.48	238
1 17	3.48	241
1 23	3.47	241
1 7	3.47	232
1 19	3.47	238
1 27	3.47	233
1 3	3.47	242
1 15	3.47	240
1 29	3.47	250
1 39	3.45	230
1 35	3.45	232
1 31	3.44	239
1 33	3.44	240
1 21	3.44	235
1 11	3.43	236
1 1	3.32	233
